"DATAH","SECONDS","NANOSECONDS","NDX","DIAG","REMARK","H2O","CO2","CH4","CAVITY_P","CAVITY_T","LASER_PHASE_P","LASER_T","RESIDUAL","RING_DOWN_TIME","THERMAL_ENCLOSURE_T","PHASE_ERROR","LASER_T_SHIFT","INPUT_VOLTAGE","CHK","TIMESTAMP","TZ","SN","MODEL"
"DATA",1759140429,668426990,27,256,NA,NA,NA,NA,101.289,22.0425,101.323,24.9906,0,0,22.0038,-12000,0,24.0315,83,2025-09-29 06:07:09,"US/Eastern","TG10-01286","LI-7810"
"DATA",1759140430,668375968,31,256,NA,NA,NA,NA,101.504,22.043,101.546,34.5406,0,0,22.004,-16000,0,23.769,176,2025-09-29 06:07:10,"US/Eastern","TG10-01286","LI-7810"
"DATA",1759140431,668337106,35,256,NA,NA,NA,NA,101.616,22.0446,101.631,41.2662,0,0,22.0072,-16000,0,23.7717,62,2025-09-29 06:07:11,"US/Eastern","TG10-01286","LI-7810"
"DATA",1759140432,668298006,39,256,NA,NA,NA,NA,101.641,22.0493,101.648,45.4401,0,0,22.0156,-16000,0,23.778,33,2025-09-29 06:07:12,"US/Eastern","TG10-01286","LI-7810"
"DATA",1759140433,668286085,43,256,NA,NA,NA,NA,101.647,22.0581,101.651,46.1142,0,0,22.0298,-16000,0,23.7808,88,2025-09-29 06:07:13,"US/Eastern","TG10-01286","LI-7810"
"DATA",1759140434,668286085,47,256,NA,NA,NA,NA,101.648,22.0698,101.652,46.2473,0,0,22.0465,-16000,0,23.7823,106,2025-09-29 06:07:14,"US/Eastern","TG10-01286","LI-7810"
"DATA",1759140435,668286085,51,256,NA,NA,NA,NA,101.648,22.0851,101.652,46.307,0,0,22.0651,-16000,0,23.7835,40,2025-09-29 06:07:15,"US/Eastern","TG10-01286","LI-7810"
"DATA",1759140436,668286085,55,256,NA,NA,NA,NA,101.649,22.1025,101.652,46.3419,0,0,22.0847,-16000,0,23.7835,103,2025-09-29 06:07:16,"US/Eastern","TG10-01286","LI-7810"
"DATA",1759140437,668286085,59,256,NA,NA,NA,NA,101.65,22.1217,101.652,46.3648,0,0,22.1044,-16000,0,23.7847,53,2025-09-29 06:07:17,"US/Eastern","TG10-01286","LI-7810"
"DATA",1759140438,668286085,63,256,NA,NA,NA,NA,101.65,22.1426,101.652,46.381,0,0,22.1251,-16000,0,23.7843,247,2025-09-29 06:07:18,"US/Eastern","TG10-01286","LI-7810"
"DATA",1759140439,668286085,67,256,NA,NA,NA,NA,101.65,22.1647,101.652,46.3928,0,0,22.1459,-16000,0,23.7843,70,2025-09-29 06:07:19,"US/Eastern","TG10-01286","LI-7810"
"DATA",1759140440,667964935,71,256,NA,NA,NA,NA,101.649,22.186,101.652,46.4011,0,0,22.165,-16000,0,23.7835,246,2025-09-29 06:07:20,"US/Eastern","TG10-01286","LI-7810"
"DATA",1759140441,667964935,75,256,NA,NA,NA,NA,101.65,22.2107,101.652,46.4081,0,0,22.1862,-16000,0,23.7835,43,2025-09-29 06:07:21,"US/Eastern","TG10-01286","LI-7810"
"DATA",1759140442,667964935,79,256,NA,NA,NA,NA,101.651,22.2352,101.652,46.4129,0,0,22.2085,-16000,0,23.7843,100,2025-09-29 06:07:22,"US/Eastern","TG10-01286","LI-7810"
"DATA",1759140443,667964935,83,256,NA,NA,NA,NA,101.651,22.2599,101.652,46.417,0,0,22.2302,-16000,0,23.7835,51,2025-09-29 06:07:23,"US/Eastern","TG10-01286","LI-7810"
"DATA",1759140444,667964935,87,256,NA,NA,NA,NA,101.65,22.2849,101.651,46.4197,0,0,22.2519,-16000,0,23.7843,71,2025-09-29 06:07:24,"US/Eastern","TG10-01286","LI-7810"
"DATA",1759140445,667964935,91,256,NA,NA,NA,NA,101.65,22.3101,101.652,46.4219,0,0,22.2737,-16000,0,23.7827,50,2025-09-29 06:07:25,"US/Eastern","TG10-01286","LI-7810"
"DATA",1759140446,667964935,95,256,NA,NA,NA,NA,101.651,22.3355,101.651,46.4238,0,0,22.2956,-16000,0,23.7831,114,2025-09-29 06:07:26,"US/Eastern","TG10-01286","LI-7810"
"DATA",1759140447,667964935,99,256,NA,NA,NA,NA,101.651,22.361,101.652,46.4251,0,0,22.3176,-16000,0,23.7835,61,2025-09-29 06:07:27,"US/Eastern","TG10-01286","LI-7810"
