"","IDs","H2S_info"
"1","33","bdl"
"2","33","bdl"
"3","33","bdl"
"4","34","within range"
"5","34","within range"
"6","34","within range"
"7","35","within range"
"8","35","within range"
"9","35","within range"
"10","Dup 35","within range"
"11","Dup 35","within range"
"12","Dup 35","within range"
"13","36","within range"
"14","36","within range"
"15","36","within range"
"16","Spike 33","within range"
"17","Spike 33","within range"
"18","Spike 33","within range"
"19","37","bdl"
"20","37","bdl"
"21","37","bdl"
"22","38","bdl"
"23","38","bdl"
"24","38","bdl"
"25","39","bdl"
"26","39","bdl"
"27","39","bdl"
