"","IDs","H2S_mean","H2S_sd","H2S_cv","H2S_flag","QAQC_flag","Dilution","H2S_cv_flag"
"1","103",297.886884558559,15.6623460258027,5.25781658665934,"Within_Range","Std curve r2 low",25,"Within range"
"2","104",36.3911172782813,0.156623460258031,0.430389259720546,"Within_Range","Std curve r2 low",1,"Within range"
"3","105",13.687467555804,0.939740761548165,6.86570220325147,"Within_Range","Std curve r2 low",1,"Within range"
"4","105 Dup",15.0164616859002,0,0,"Within_Range","Std curve r2 low",1,"Within range"
"5","108",6.21187557401269,0.0783117301290134,1.26067770025256,"Within_Range","Std curve r2 low",1,"Within range"
"6","110",13.4659685341213,2.66259882438647,19.7727985004549,"Within_Range","Std curve r2 low",1,"High CV"
"7","112 Dup",1.7265203849379,0.156623460258028,9.07162531206727,"Within_Range","Std curve r2 low",1,"Within range"
"8","112",3.22163878129616,0.234935190387041,7.29241253709145,"Within_Range","Std curve r2 low",1,"Within range"
"9","95 Spike",23.5441740206844,1.09636422180619,4.65662639446598,"Within_Range","Std curve r2 low",1,"Within range"
"10","100",519.385906241265,82.2273166354643,15.8316418769492,"Within_Range","Std curve r2 low",25,"High CV"
"11","106 Spike",21.1076847821747,1.7228580628383,8.16223134189139,"Within_Range","Std curve r2 low",1,"Within range"
"12","101",0,0,0,"bdl","Std curve r2 low",1,"Within range"
"13","102",0,0,0,"bdl","Std curve r2 low",25,"Within range"
"14","106",5.60275326438525,0.469870380774083,8.38641929425815,"Within_Range","Std curve r2 low",1,"Within range"
"15","107",17.6744499460927,1.53858137622246,8.70511603424804,"Within_Range","Std curve r2 low",1,"Within range"
"16","109",0,0,0,"bdl","Std curve r2 low",1,"Within range"
"17","111",4.93825619933713,0.383647559381247,7.76888731355706,"Within_Range","Std curve r2 low",1,"Within range"
"18","95",0,0,0,"bdl","Std curve r2 low",1,"Within range"
"19","98",0,0,0,"bdl","Std curve r2 low",1,"Within range"
"20","99",0,0,0,"bdl","Std curve r2 low",25,"Within range"
