"","IDs","H2S_mean","H2S_sd","H2S_cv","abs_mean","Conc_mean","QAQC_flag","Dilution","H2S_cv_flag","H2S_flag"
"1","27",0.869132723976117,0.0598059561050697,6.88110739076407,0.0985,0.869132723976117,"",1,"Within range","Within_Range"
"2","28",4.42142528182425,0.0598059561050683,1.35263975512423,0.1405,4.42142528182425,"",1,"Within range","Within_Range"
"3","36 Spike",246.40021118667,15.9681902800536,6.48059115012538,3.0015,246.40021118667,"",1,"Within range","adl"
"4","37",1.79949506055539,0.0598059561050697,3.32348542744048,0.1095,1.79949506055539,"",1,"Within range","Within_Range"
"5","23",0,0,0,0.0646666666666667,-1.9924362809571,"",1,"Within range","bdl"
"6","24",0,0,0,0.0606666666666667,-2.33074985789502,"",1,"Within range","bdl"
"7","25",0,0,0,0.0623333333333333,-2.18978586750422,"",1,"Within range","bdl"
"8","26",4.71744966164493,0.146494076036709,3.10536596135354,0.144,4.71744966164493,"",1,"Within range","Within_Range"
"9","29",0,0,0,0.0606666666666667,-2.33074985789502,"",1,"Within range","bdl"
"10","30",0,0,0,0.0616666666666667,-2.24617146366054,"",1,"Within range","bdl"
"11","31",21.7740924989316,0.176063967567358,0.808593825786297,0.345666666666667,21.7740924989316,"",1,"Within range","Within_Range"
"12","32",12.4704691331389,0.41721531144149,3.34562643142901,0.235666666666667,12.4704691331389,"",1,"Within range","Within_Range"
"13","33",11.1454076234654,0.775173787474638,6.95509588938316,0.22,11.1454076234654,"",1,"Within range","Within_Range"
"14","34",4.71744966164493,0.507470365406876,10.7573032423186,0.144,4.71744966164493,"",1,"High CV","Within_Range"
"15","35",0,0,0,0.0573333333333333,-2.61267783867662,"",1,"Within range","bdl"
"16","35 Dup",0,0,0,0.0586666666666667,-2.49990664636398,"",1,"Within range","bdl"
"17","36",200.967517083715,2.8435620079647,1.41493612959361,2.46433333333333,200.967517083715,"",1,"Within range","adl"
"18","38",216.248013642078,12.8188594695918,5.92785073661247,2.645,216.248013642078,"",1,"Within range","adl"
"19","39",204.350652853095,15.1415012107928,7.40956830790155,2.50433333333333,204.350652853095,"",1,"Within range","adl"
"20","40",0,0,0,0.077,-0.949302752065192,"",1,"Within range","bdl"
"21","41",0,0,0,0.062,-2.21797866558238,"",1,"Within range","bdl"
"22","42",0,0,0,0.0626666666666667,-2.16159306942606,"",1,"Within range","bdl"
"23","43",218.136931113315,10.2281590854285,4.68887090013901,2.66733333333333,218.136931113315,"",1,"Within range","adl"
"24","44",180.358581688581,28.404534385121,15.7489231281305,2.22066666666667,180.358581688581,"",1,"High CV","adl"
