Year,Month,Site,Day
2022,May,GWI,5
2022,May,MSM,2
2022,May,GCW,NA
2022,June,GWI,9
2022,June,MSM,6
2022,June,GCW,NA
2022,July,GWI,12
2022,July,MSM,14
2022,July,GCW,13
2022,August,GWI,18
2022,August,MSM,31
2022,August,GCW,15
2022,September,GWI,22
2022,September,MSM,18
2022,September,GCW,19
2022,October,GWI,14
2022,October,MSM,27
2022,October,GCW,11
2022,November,GWI,17
2022,November,MSM,13
2022,November,GCW,15
2023,March,GCW,2
2023,April,GWI,25
2023,April,MSM,24
2023,April,GCW,6
2023,May,GWI,23
2023,May,MSM,19
2023,May,GCW,16
2023,June,GWI,22
2023,June,MSM,29
2023,June,GCW,30
2023,July,GWI,20
2023,July,MSM,13
2023,July,GCW,12
2023,August,GWI,24
2023,August,MSM,17
2023,August,GCW,14
2023,September,GWI,21
2023,September,MSM,14
2023,September,GCW,12
2023,October,GWI,19
2023,October,MSM,10
2023,October,GCW,3
2023,November,GWI,9
2023,November,MSM,7
2023,November,GCW,3
