"Date","Project","Curve","R2","Slope","Intercept","Top_STD"
"20260219","TEMPEST","FE_2_low",0.994784136492071,0.00281314678223667,0.0380601741884402,60
"20260219","TEMPEST","FE_2_high",0.989111894023527,0.00209443681624435,0.052555645390246,500
"20260219","TEMPEST","FE_Tot_low",0.9834995166121,0.00178557264595317,0.0391580382845073,60
"20260219","TEMPEST","FE_Tot_high",0.989234522578132,0.00167124621844687,0.0403968074332194,100
"20260219","TEMPEST","FE_2_abs2",0.994769832031452,0.00415259448964656,0.0424365787742663,100
"20260219","TEMPEST","FE_3_abs1",0.32653740898884,0.00000677654564977701,0.0392670676797402,500
"20260219","TEMPEST","FE_2_diff",0.967597042094531,0.00153924307030392,0.00220407870983934,100
"20260219","TEMPEST","FE_2_low",0.994784136492071,0.00281314678223667,0.0380601741884402,60
"20260219","TEMPEST","FE_2_high",0.989111894023527,0.00209443681624435,0.052555645390246,500
"20260219","TEMPEST","FE_Tot_low",0.9834995166121,0.00178557264595317,0.0391580382845073,60
"20260219","TEMPEST","FE_Tot_high",0.989234522578132,0.00167124621844687,0.0403968074332194,100
"20260219","TEMPEST","FE_2_abs2",0.994769832031452,0.00415259448964656,0.0424365787742663,100
"20260219","TEMPEST","FE_3_abs1",0.32653740898884,0.00000677654564977701,0.0392670676797402,500
"20260219","TEMPEST","FE_2_diff",0.967597042094531,0.00153924307030392,0.00220407870983934,100
"20260219","TEMPEST","FE_2_low",0.984504815388249,0.00288098549572819,0.0409564871845818,60
"20260219","TEMPEST","FE_2_high",0.996755835182371,0.00215104686725942,0.0553532063308383,500
"20260219","TEMPEST","FE_Tot_low",0.986771243013994,0.00170860598821514,0.0417063236215882,60
"20260219","TEMPEST","FE_Tot_high",0.991047322198892,0.00164925195573601,0.0423898664497875,100
"20260219","TEMPEST","FE_2_abs2",0.993016627661383,0.00396549665958463,0.0465192262883818,100
"20260219","TEMPEST","FE_3_abs1",0.126342015448382,0.0000061226307797863,0.040726903644067,500
"20260219","TEMPEST","FE_2_diff",0.977147634459985,0.00141181264353078,0.0010988247767503,100
"20260122","GENX2","FE_2_low",0.991821482,0.002907486,0.036292385,60
"20260122","GENX2","FE_2_high",0.988417093,0.002172543,0.051307959,500
"20260122","GENX2","FE_Tot_low",0.985017195,0.001819787,0.039788426,60
"20260122","GENX2","FE_Tot_high",0.99267386,0.001780843,0.040104615,100
"20260122","GENX2","FE_2_abs2",0.993974874,0.00435422,0.040401757,100
"20260122","GENX2","FE_3_abs1",0.087173087,0.0000199878,0.038397343,500
"20260122","GENX2","FE_2_diff",0.978069732,0.001608807,0.002473244,100
"20260120","GENX2","FE_2_low",0.992577695,0.002613736,0.038533332,60
"20260120","GENX2","FE_2_high",0.993418277,0.002134014,0.05111778,500
