"","IDs","H2S_info"
"1","47","bdl"
"2","47","bdl"
"3","47","bdl"
"4","55","Within_Range"
"5","55","Within_Range"
"6","55","Within_Range"
"7","60","Within_Range"
"8","60","Within_Range"
"9","60","Within_Range"
"10","48","bdl"
"11","48","bdl"
"12","48","bdl"
"13","61","Within_Range"
"14","61","Within_Range"
"15","61","Within_Range"
"16","49","Within_Range"
"17","49","Within_Range"
"18","49","Within_Range"
"19","Dup 55","Within_Range"
"20","Dup 55","Within_Range"
"21","Dup 55","Within_Range"
"22","62","Within_Range"
"23","62","Within_Range"
"24","62","Within_Range"
"25","50","bdl"
"26","50","bdl"
"27","50","bdl"
"28","Spike 47","Within_Range"
"29","Spike 47","Within_Range"
"30","Spike 47","Within_Range"
"31","51","bdl"
"32","51","bdl"
"33","51","bdl"
"34","56","Within_Range"
"35","56","Within_Range"
"36","56","Within_Range"
"37","Spike 56","Within_Range"
"38","Spike 56","Within_Range"
"39","Spike 56","Within_Range"
"40","52","Within_Range"
"41","52","Within_Range"
"42","52","Within_Range"
"43","57","Within_Range"
"44","57","Within_Range"
"45","57","Within_Range"
"46","53","bdl"
"47","53","bdl"
"48","53","bdl"
"49","58","Within_Range"
"50","58","Within_Range"
"51","58","Within_Range"
"52","Dup 62","Within_Range"
"53","Dup 62","Within_Range"
"54","Dup 62","Within_Range"
"55","54","bdl"
"56","54","bdl"
"57","54","bdl"
"58","59","Within_Range"
"59","59","Within_Range"
"60","59","Within_Range"
