"","IDs","H2S_info"
"1","63","Within_Range"
"2","63","Within_Range"
"3","63","Within_Range"
"4","71","Within_Range"
"5","71","Within_Range"
"6","71","Within_Range"
"7","76","Within_Range"
"8","76","Within_Range"
"9","76","Within_Range"
"10","64","bdl"
"11","64","bdl"
"12","64","bdl"
"13","77","Within_Range"
"14","77","Within_Range"
"15","77","Within_Range"
"16","65","Within_Range"
"17","65","Within_Range"
"18","65","Within_Range"
"19","Dup 71","Within_Range"
"20","Dup 71","Within_Range"
"21","Dup 71","Within_Range"
"22","78","Within_Range"
"23","78","Within_Range"
"24","78","Within_Range"
"25","66","adl"
"26","66","adl"
"27","66","adl"
"28","Spike 63","Within_Range"
"29","Spike 63","Within_Range"
"30","Spike 63","Within_Range"
"31","67","bdl"
"32","67","bdl"
"33","67","bdl"
"34","72","Within_Range"
"35","72","Within_Range"
"36","72","Within_Range"
"37","Spike 72","adl"
"38","Spike 72","adl"
"39","Spike 72","Within_Range"
"40","68","Within_Range"
"41","68","Within_Range"
"42","68","Within_Range"
"43","73","Within_Range"
"44","73","Within_Range"
"45","73","Within_Range"
"46","69","Within_Range"
"47","69","Within_Range"
"48","69","Within_Range"
"49","74","Within_Range"
"50","74","Within_Range"
"51","74","Within_Range"
"52","Dup 78","Within_Range"
"53","Dup 78","Within_Range"
"54","Dup 78","Within_Range"
"55","70","bdl"
"56","70","bdl"
"57","70","bdl"
"58","75","Within_Range"
"59","75","Within_Range"
"60","75","Within_Range"
