"","IDs","H2S_info"
"1","97","Within_Range"
"2","97","Within_Range"
"3","97","Within_Range"
"4","105","bdl"
"5","105","bdl"
"6","105","bdl"
"7","66","Within_Range"
"8","66","Within_Range"
"9","66","Within_Range"
"10","98","bdl"
"11","98","bdl"
"12","98","bdl"
"13","99","Within_Range"
"14","99","Within_Range"
"15","99","Within_Range"
"16","Dup 105","bdl"
"17","Dup 105","bdl"
"18","Dup 105","bdl"
"19","100","Within_Range"
"20","100","Within_Range"
"21","100","Within_Range"
"22","Spike 97","Within_Range"
"23","Spike 97","Within_Range"
"24","Spike 97","Within_Range"
"25","101","bdl"
"26","101","bdl"
"27","101","bdl"
"28","106","bdl"
"29","106","bdl"
"30","106","bdl"
"31","Spike 106","Within_Range"
"32","Spike 106","Within_Range"
"33","Spike 106","Within_Range"
"34","102","Within_Range"
"35","102","Within_Range"
"36","102","Within_Range"
"37","107","bdl"
"38","107","bdl"
"39","107","bdl"
"40","103","Within_Range"
"41","103","Within_Range"
"42","103","Within_Range"
"43","108","bdl"
"44","108","bdl"
"45","108","bdl"
"46","Dup 66","Within_Range"
"47","Dup 66","Within_Range"
"48","Dup 66","Within_Range"
"49","104","Within_Range"
"50","104","Within_Range"
"51","104","Within_Range"
"52","109","bdl"
"53","109","bdl"
"54","109","bdl"
