"","Wells","Abs","IDs","Dilution","H2S_Dilute","Conc","H2S_Conc_Final","H2S_info"
"1","A04",0.113,"97",1,"Ok",2.56307712908409,2.56307712908409,"Within_Range"
"2","A05",0.099,"97",1,"Ok",1.32366095340118,1.32366095340118,"Within_Range"
"3","A06",0.096,"97",1,"Ok",1.05807177289769,1.05807177289769,"Within_Range"
"4","A07",0.079,"105",1,"Ok",-0.4469335832887,0,"bdl"
"5","A08",0.077,"105",1,"Ok",-0.623993036957688,0,"bdl"
"6","A09",0.079,"105",1,"Ok",-0.4469335832887,0,"bdl"
"7","A10",0.146,"66",25,"Ok",137.11395286556,137.11395286556,"Within_Range"
"8","A11",0.151,"66",25,"Ok",148.180168719871,148.180168719871,"Within_Range"
"9","A12",0.146,"66",25,"Ok",137.11395286556,137.11395286556,"Within_Range"
"10","B04",0.069,"98",1,"Ok",-1.33223085163364,0,"bdl"
"11","B05",0.07,"98",1,"Ok",-1.24370112479914,0,"bdl"
"12","B06",0.07,"98",1,"Ok",-1.24370112479914,0,"bdl"
"13","C04",0.112,"99",1,"Ok",2.4745474022496,2.4745474022496,"Within_Range"
"14","C05",0.115,"99",1,"Ok",2.74013658275308,2.74013658275308,"Within_Range"
"15","C06",0.122,"99",1,"Ok",3.35984467059453,3.35984467059453,"Within_Range"
"16","C07",0.079,"Dup 105",1,"Ok",-0.4469335832887,0,"bdl"
"17","C08",0.078,"Dup 105",1,"Ok",-0.535463310123194,0,"bdl"
"18","C09",0.082,"Dup 105",1,"Ok",-0.181344402785219,0,"bdl"
"19","D04",0.149,"100",1,"Ok",5.75014729512587,5.75014729512587,"Within_Range"
"20","D05",0.172,"100",1,"Ok",7.78633101231923,7.78633101231923,"Within_Range"
"21","D06",0.138,"100",1,"Ok",4.77632029994644,4.77632029994644,"Within_Range"
"22","D10",0.136,"Spike 97",1,"Ok",4.59926084627745,4.59926084627745,"Within_Range"
"23","D11",0.137,"Spike 97",1,"Ok",4.68779057311194,4.68779057311194,"Within_Range"
"24","D12",0.127,"Spike 97",1,"Ok",3.802493304767,3.802493304767,"Within_Range"
"25","E04",0.069,"101",1,"Ok",-1.33223085163364,0,"bdl"
"26","E05",0.069,"101",1,"Ok",-1.33223085163364,0,"bdl"
"27","E06",0.08,"101",1,"Ok",-0.358403856454207,0,"bdl"
"28","E07",0.072,"106",1,"Ok",-1.06664167113016,0,"bdl"
"29","E08",0.078,"106",1,"Ok",-0.535463310123194,0,"bdl"
"30","E09",0.074,"106",1,"Ok",-0.88958221746117,0,"bdl"
"31","E10",0.116,"Spike 106",1,"Ok",2.82866630958757,2.82866630958757,"Within_Range"
"32","E11",0.101,"Spike 106",1,"Ok",1.50072040707016,1.50072040707016,"Within_Range"
"33","E12",0.125,"Spike 106",1,"Ok",3.62543385109802,3.62543385109802,"Within_Range"
"34","F04",0.161,"102",1,"Ok",6.8125040171398,6.8125040171398,"Within_Range"
"35","F05",0.135,"102",1,"Ok",4.51073111944295,4.51073111944295,"Within_Range"
"36","F06",0.141,"102",1,"Ok",5.04190948044992,5.04190948044992,"Within_Range"
"37","F07",0.057,"107",1,"Ok",-2.39458757364756,0,"bdl"
"38","F08",0.053,"107",1,"Ok",-2.74870648098554,0,"bdl"
"39","F09",0.056,"107",1,"Ok",-2.48311730048206,0,"bdl"
"40","G04",0.112,"103",1,"Ok",2.4745474022496,2.4745474022496,"Within_Range"
"41","G05",0.122,"103",1,"Ok",3.35984467059453,3.35984467059453,"Within_Range"
"42","G06",0.125,"103",1,"Ok",3.62543385109802,3.62543385109802,"Within_Range"
"43","G07",0.061,"108",1,"Ok",-2.04046866630959,0,"bdl"
"44","G08",0.056,"108",1,"Ok",-2.48311730048206,0,"bdl"
"45","G09",0.054,"108",1,"Ok",-2.66017675415105,0,"bdl"
"46","G10",0.157,"Dup 66",25,"Ok",161.459627745045,161.459627745045,"Within_Range"
"47","G11",0.143,"Dup 66",25,"Ok",130.474223352973,130.474223352973,"Within_Range"
"48","G12",0.149,"Dup 66",25,"Ok",143.753682378147,143.753682378147,"Within_Range"
"49","H04",0.085,"104",1,"Ok",0.0842447777182631,0.0842447777182631,"Within_Range"
"50","H05",0.092,"104",1,"Ok",0.703952865559719,0.703952865559719,"Within_Range"
"51","H06",0.087,"104",1,"Ok",0.26130423138725,0.26130423138725,"Within_Range"
"52","H07",0.055,"109",1,"Ok",-2.57164702731655,0,"bdl"
"53","H08",0.054,"109",1,"Ok",-2.66017675415105,0,"bdl"
"54","H09",0.057,"109",1,"Ok",-2.39458757364756,0,"bdl"
