Year,Month,Day,Site,Transect Location,Lysimeter,Depth_cm,Time (24hr),Time Zone_EDT/EST,    DIC     (if >50mL),SO4,FE,DOC,NUTR,GHG Shake,GHG Fill,Temp_c,pH,Conductivity_uScm,DO_mgL,Field Notes
2022,5,5,GWI,Upland,A,10,,,,,,,,,,,,,,
2022,5,5,GWI,Upland,A,20,,,,,,,,,,,,,,
2022,5,5,GWI,Upland,A,45,,,,,,,,,,,,,,
2022,5,5,GWI,Upland,B,10,,,,,,,,,,,,,,
2022,5,5,GWI,Upland,B,20,,,,,,,,,,,,,,
2022,5,5,GWI,Upland,B,45,,,,,,,,,,,,,,
2022,5,5,GWI,Upland,C,10,,,,,,,,,,,,,,
2022,5,5,GWI,Upland,C,20,,,,,,,,,,,,,,
2022,5,5,GWI,Upland,C,45,,,,,,,,,,,,,,
2022,5,5,GWI,Transition,A,10,,,,,,,,,,,,,,
2022,5,5,GWI,Transition,A,20,,,,,,,,,,,,,,
2022,5,5,GWI,Transition,A,45,,,,,,,,,,,,,,
2022,5,5,GWI,Transition,B,10,,,,,,,,,,,,,,
2022,5,5,GWI,Transition,B,20,,,,,,,,,,,,,,
2022,5,5,GWI,Transition,B,45,,,,,,,,,,,,,,
2022,5,5,GWI,Transition,C,10,,,,,,,,,,,,,,
2022,5,5,GWI,Transition,C,20,,,,,,,,,,,,,,
2022,5,5,GWI,Transition,C,45,,,,,,,,,,,,,,
2022,5,5,GWI,Wetland,A,10,,,x,x,x,x,x,x,x,17.7,,,5.47,sipper
2022,5,5,GWI,Wetland,A,20,,,,,,,,,,,,,,
2022,5,5,GWI,Wetland,A,45,,,,,,,,,,,,,,
2022,5,5,GWI,Wetland,B,10,,,x,x,x,x,x,x,x,17.6,,,6.05,sipper
2022,5,5,GWI,Wetland,B,20,,,,,,,,,,,,,,
2022,5,5,GWI,Wetland,B,45,,,x,x,x,x,x,x,x,18.5,,,3.28,sipper
2022,5,5,GWI,Wetland,C,10,,,,,,,,,,,,,,
2022,5,5,GWI,Wetland,C,20,,,,,,,,,,,,,,
2022,5,5,GWI,Wetland,C,45,,,,,,,,,,,,,,
2022,5,5,GWI,Surface Water,A,0,,,,,,,,,,,,,,
2022,5,5,GWI,Surface Water,B,0,,,,,,,,,,,,,,
2022,5,5,GWI,Surface Water,C,0,,,,,,,,,,,,,,
2022,5,2,MSM,Upland,A,10,,,,,,,,,,,,,,
2022,5,2,MSM,Upland,A,20,,,,,,,,,,,,,,
2022,5,2,MSM,Upland,A,45,,,,,,,,,,,,,,
2022,5,2,MSM,Upland,B,10,,,,,,,,,,,,,,
2022,5,2,MSM,Upland,B,20,,,,,,,,,,,,,,
2022,5,2,MSM,Upland,B,45,,,,,,,,,,,,,,
2022,5,2,MSM,Upland,C,10,,,,,,,,,,,,,,
2022,5,2,MSM,Upland,C,20,,,,,,,,,,,,,,
2022,5,2,MSM,Upland,C,45,,,,,,,,,,,,,,
2022,5,2,MSM,Transition,A,10,,,,,,,,,,,,,,
2022,5,2,MSM,Transition,A,20,,,,,,,,,,,,,,
2022,5,2,MSM,Transition,A,45,,,,,,,,,,,,,,
2022,5,2,MSM,Transition,B,10,,,,,,,,,,,,,,
2022,5,2,MSM,Transition,B,20,,,,,,,,,,,,,,
2022,5,2,MSM,Transition,B,45,,,,,,,,,,,,,,
2022,5,2,MSM,Transition,C,10,,,,,,,,,,,,,,
2022,5,2,MSM,Transition,C,20,,,,,,,,,,,,,,
2022,5,2,MSM,Transition,C,45,,,,,,,,,,,,,,
2022,5,2,MSM,Wetland,A,10,,,x,x,x,x,x,x,x,14.7,7.15,15715,0.77,
2022,5,2,MSM,Wetland,A,20,,,x,x,x,x,x,x,x,18.2,7.74,8964,2.43,
2022,5,2,MSM,Wetland,A,45,,,,,,,,,,,,,,
2022,5,2,MSM,Wetland,B,10,,,x,x,x,x,x,x,x,15.6,7.16,16076,1.64,
2022,5,2,MSM,Wetland,B,20,,,x,x,x,x,x,x,x,14,7.33,16109,1.32,
2022,5,2,MSM,Wetland,B,45,,,,,,,,,,,,,,
2022,5,2,MSM,Wetland,C,10,,,x,x,x,x,x,x,x,15.7,7.19,16582,3.27,
2022,5,2,MSM,Wetland,C,20,,,x,x,x,x,x,x,x,16.4,7.39,16940,2.35,
2022,5,2,MSM,Wetland,C,45,,,,x,,x,x,x,x,,,,,
2022,5,2,MSM,Surface Water,A,0,,,,,,,,,,,,,,
2022,5,2,MSM,Surface Water,B,0,,,,,,,,,,,,,,
2022,5,2,MSM,Surface Water,C,0,,,,,,,,,,,,,,
2022,6,6,MSM,Upland,A,10,,,x,x,x,x,x,x,,,,,0.051,
2022,6,6,MSM,Upland,A,20,,,x,x,x,x,x,x,,,,,0.112,
2022,6,6,MSM,Upland,A,45,,,,x,x,x,x,,,,,,0.606,
2022,6,6,MSM,Upland,B,10,,,x,x,x,x,x,x,,,,,0.155,
2022,6,6,MSM,Upland,B,20,,,x,x,x,x,x,,,,,,,
2022,6,6,MSM,Upland,B,45,,,,x,,,,x,,,,,1.253,
2022,6,6,MSM,Upland,C,10,,,x,x,x,x,x,,,,,,0.069,
2022,6,6,MSM,Upland,C,20,,,x,x,x,x,x,,,,,,0.197,
2022,6,6,MSM,Upland,C,45,,,,x,x,,x,,,,,,,
2022,6,6,MSM,Transition,A,10,,,x,x,x,x,x,x,,,,,0.308,
2022,6,6,MSM,Transition,A,20,,,x,x,x,x,x,x,,,,,0.117,
2022,6,6,MSM,Transition,A,45,,,,x,x,,x,,,,,,,
2022,6,6,MSM,Transition,B,10,,,,x,,,x,,,,,,0.098,
2022,6,6,MSM,Transition,B,20,,,,x,,,,x,,,,,0.073,
2022,6,6,MSM,Transition,B,45,,,x,x,x,x,x,x,x,,,,0.166,
2022,6,6,MSM,Transition,C,10,,,x,x,x,x,x,x,x,,,,0.166,
2022,6,6,MSM,Transition,C,20,,,x,x,x,x,x,x,x,,,,0.147,
2022,6,6,MSM,Transition,C,45,,,x,x,x,x,x,x,x,,,,0.174,
2022,6,6,MSM,Wetland,A,10,,,x,x,x,x,x,x,x,21.7,,20270,0.064,
2022,6,6,MSM,Wetland,A,20,,,x,x,x,x,x,x,x,22,,18936,0.091,
2022,6,6,MSM,Wetland,A,45,,,,,,,,,,22.3,,,0.026,
2022,6,6,MSM,Wetland,B,10,,,x,x,x,x,x,x,x,21.5,,19877,0.112,
2022,6,6,MSM,Wetland,B,20,,,x,x,x,x,x,x,x,22.5,,19303,0.034,
2022,6,6,MSM,Wetland,B,45,,,,x,,,x,x,,29.8,,18485,0.012,
2022,6,6,MSM,Wetland,C,10,,,x,x,x,x,x,x,x,22.2,,19155,0.033,
2022,6,6,MSM,Wetland,C,20,,,x,x,x,x,x,,,23.3,,18486,0.018,
2022,6,6,MSM,Wetland,C,45,,,,x,x,,x,,x,23.9,,20436,0.018,
2022,6,6,MSM,Surface Water,A,0,,,,,,,,,,,,,,
2022,6,6,MSM,Surface Water,B,0,,,,,,,,,,,,,,
