"","IDs","H2S_info"
"1","51","Within_Range"
"2","51","Within_Range"
"3","51","Within_Range"
"4","59","Within_Range"
"5","59","Within_Range"
"6","59","bdl"
"7","64","bdl"
"8","64","bdl"
"9","64","bdl"
"10","52","bdl"
"11","52","bdl"
"12","52","bdl"
"13","65","bdl"
"14","65","bdl"
"15","65","bdl"
"16","53","bdl"
"17","53","bdl"
"18","53","bdl"
"19","59 Dup","bdl"
"20","59 Dup","bdl"
"21","59 Dup","bdl"
"22","66","Within_Range"
"23","66","Within_Range"
"24","66","Within_Range"
"25","54","bdl"
"26","54","bdl"
"27","54","bdl"
"28","51 Spike","Within_Range"
"29","51 Spike","Within_Range"
"30","51 Spike","Within_Range"
"31","55","bdl"
"32","55","bdl"
"33","55","bdl"
"34","60","bdl"
"35","60","bdl"
"36","60","bdl"
"37","60 Spike","Within_Range"
"38","60 Spike","Within_Range"
"39","60 Spike","Within_Range"
"40","56","Within_Range"
"41","56","Within_Range"
"42","56","Within_Range"
"43","61","bdl"
"44","61","bdl"
"45","61","bdl"
"46","57","bdl"
"47","57","Within_Range"
"48","57","bdl"
"49","62","bdl"
"50","62","bdl"
"51","62","bdl"
"52","66 Dup","Within_Range"
"53","66 Dup","Within_Range"
"54","66 Dup","Within_Range"
"55","58","Within_Range"
"56","58","Within_Range"
"57","58","Within_Range"
"58","63","bdl"
"59","63","bdl"
"60","63","bdl"
