"","Wells","Abs","IDs","Dilution","H2S_Dilute","Conc","H2S_Conc_Final","H2S_info"
"1","A04",0.101,"58",1,"Ok",2.01968760013328,2.01968760013328,"Within_Range"
"2","A05",0.097,"58",1,"Ok",1.60500674386,1.60500674386,"Within_Range"
"3","A06",0.099,"58",1,"Ok",1.81234717199664,1.81234717199664,"Within_Range"
"4","B04",0.094,"59",1,"Ok",1.29399610165504,1.29399610165504,"Within_Range"
"5","B05",0.087,"59",1,"Ok",0.568304603176798,0.568304603176798,"Within_Range"
"6","B06",0.09,"59",1,"Ok",0.879315245381758,0.879315245381758,"Within_Range"
"7","C04",0.25,"80",1,"Ok",17.466549496313,17.466549496313,"Within_Range"
"8","C05",0.247,"80",1,"Ok",17.155538854108,17.155538854108,"Within_Range"
"9","C06",0.292,"80",1,"Ok",21.8206984871824,21.8206984871824,"Within_Range"
"10","D04",0.276,"85",1,"Ok",20.1619750620893,20.1619750620893,"Within_Range"
"11","D05",0.279,"85",1,"Ok",20.4729857042942,20.4729857042942,"Within_Range"
"12","D06",0.264,"85",1,"Ok",18.9179324932694,18.9179324932694,"Within_Range"
"13","E04",0.396,"28",100,"Ok",3260.24007502877,3260.24007502877,"Within_Range"
"14","E05",0.421,"28",100,"Ok",3519.41561019957,3519.41561019957,"Within_Range"
"15","E06",0.444,"28",100,"Ok",3757.85710255671,3757.85710255671,"Within_Range"
"16","F04",0.154,"WC-2",1,"Ok",7.51420894575424,7.51420894575424,"Within_Range"
"17","F05",0.209,"WC-2",1,"Ok",13.2160707195118,13.2160707195118,"Within_Range"
"18","F06",0.155,"WC-2",1,"Ok",7.61787915982256,7.61787915982256,"Within_Range"
"19","G04",0.095,"WC-3",1,"Ok",1.39766631572336,1.39766631572336,"Within_Range"
"20","G05",0.092,"WC-3",1,"Ok",1.0866556735184,1.0866556735184,"Within_Range"
"21","G06",0.092,"WC-3",1,"Ok",1.0866556735184,1.0866556735184,"Within_Range"
