"","Wells","Abs","IDs","Dilution","H2S_Dilute","Conc","H2S_Conc_Final","H2S_info"
"1","A04",0.058,"99",1,"Ok",-1.06243395792997,0,"bdl"
"2","A05",0.061,"99",1,"Ok",-0.797653660617591,0,"bdl"
"3","A06",0.055,"99",1,"Ok",-1.32721425524234,0,"bdl"
"4","A07",0.627,"36",100,"Ok",4915.75624323171,4915.75624323171,"Within_Range"
"5","A08",0.601,"36",100,"Ok",4686.27998556099,4686.27998556099,"Within_Range"
"6","A09",0.599,"36",100,"Ok",4668.62796574016,4668.62796574016,"Within_Range"
"7","B04",0.055,"100",1,"Ok",-1.32721425524234,0,"bdl"
"8","B05",0.055,"100",1,"Ok",-1.32721425524234,0,"bdl"
"9","B06",0.056,"100",1,"Ok",-1.23895415613822,0,"bdl"
"10","C04",0.055,"101",1,"Ok",-1.32721425524234,0,"bdl"
"11","C05",0.058,"101",1,"Ok",-1.06243395792997,0,"bdl"
"12","C06",0.054,"101",1,"Ok",-1.41547435434647,0,"bdl"
"13","C07",0.618,"36 Dup",100,"Ok",4836.322154038,4836.322154038,"Within_Range"
"14","C08",0.608,"36 Dup",100,"Ok",4748.06205493387,4748.06205493387,"Within_Range"
"15","C09",0.577,"36 Dup",100,"Ok",4474.45574771109,4474.45574771109,"Within_Range"
"16","D04",0.59,"29",100,"Ok",4589.19387654645,4589.19387654645,"Within_Range"
"17","D05",0.532,"29",100,"Ok",4077.28530174253,4077.28530174253,"Within_Range"
"18","D06",0.575,"29",100,"Ok",4456.80372789026,4456.80372789026,"Within_Range"
"19","D10",0.093,"99 Spike",1,"Ok",2.02666951071441,2.02666951071441,"Within_Range"
"20","D11",0.092,"99 Spike",1,"Ok",1.93840941161028,1.93840941161028,"Within_Range"
"21","D12",0.089,"99 Spike",1,"Ok",1.67362911429791,1.67362911429791,"Within_Range"
"22","E04",0.81,"30",100,"Ok",6530.9160568372,6530.9160568372,"Within_Range"
"23","E05",0.78,"30",100,"Ok",6266.13575952483,6266.13575952483,"Within_Range"
"24","E06",0.883,"30",100,"Ok",7175.21478029731,7175.21478029731,"Within_Range"
"25","E07",0.598,"81",5,"Ok",232.990097791487,232.990097791487,"Within_Range"
"26","E08",0.723,"81",5,"Ok",288.152659731566,288.152659731566,"Within_Range"
"27","E09",0.591,"81",5,"Ok",229.900994322843,229.900994322843,"Within_Range"
"28","E10",0.75,"81 Spike",5,"Ok",300.067773110623,300.067773110623,"Within_Range"
"29","E11",0.604,"81 Spike",5,"Ok",235.637900764611,235.637900764611,"Within_Range"
"30","E12",0.719,"81 Spike",5,"Ok",286.387457749483,286.387457749483,"Within_Range"
"31","F04",0.36,"31",100,"Ok",2559.21159715158,2559.21159715158,"Within_Range"
"32","F05",0.384,"31",100,"Ok",2771.03583500148,2771.03583500148,"Within_Range"
"33","F06",0.343,"31",100,"Ok",2409.16942867456,2409.16942867456,"Within_Range"
"34","G04",0.6,"32",100,"Ok",4677.45397565057,4677.45397565057,"Within_Range"
"35","G05",0.503,"32",100,"Ok",3821.33101434056,3821.33101434056,"Within_Range"
"36","G06",0.556,"32",100,"Ok",4289.10953959243,4289.10953959243,"Within_Range"
"37","H04",0.72,"33",100,"Ok",5736.57516490007,5736.57516490007,"Within_Range"
"38","H05",0.762,"33",100,"Ok",6107.2675811374,6107.2675811374,"Within_Range"
"39","H06",0.733,"33",100,"Ok",5851.31329373544,5851.31329373544,"Within_Range"
