"","IDs","H2S_info"
"1","35","Within_Range"
"2","35","Within_Range"
"3","35","Within_Range"
"4","43","bdl"
"5","43","bdl"
"6","43","bdl"
"7","48","Within_Range"
"8","48","bdl"
"9","48","bdl"
"10","36","adl"
"11","36","adl"
"12","36","adl"
"13","49","bdl"
"14","49","bdl"
"15","49","bdl"
"16","37","bdl"
"17","37","bdl"
"18","37","bdl"
"19","43 Dup","bdl"
"20","43 Dup","bdl"
"21","43 Dup","bdl"
"22","50","Within_Range"
"23","50","Within_Range"
"24","50","Within_Range"
"25","38","bdl"
"26","38","bdl"
"27","38","bdl"
"28","35 Spike","Within_Range"
"29","35 Spike","Within_Range"
"30","35 Spike","Within_Range"
"31","39","bdl"
"32","39","bdl"
"33","39","bdl"
"34","44","bdl"
"35","44","bdl"
"36","44","bdl"
"37","44 Spike","Within_Range"
"38","44 Spike","Within_Range"
"39","44 Spike","Within_Range"
"40","40","bdl"
"41","40","bdl"
"42","40","bdl"
"43","45","bdl"
"44","45","bdl"
"45","45","bdl"
"46","41","bdl"
"47","41","bdl"
"48","41","bdl"
"49","46","bdl"
"50","46","bdl"
"51","46","bdl"
"52","50 Dup","Within_Range"
"53","50 Dup","Within_Range"
"54","50 Dup","Within_Range"
"55","42","bdl"
"56","42","bdl"
"57","42","bdl"
"58","47","bdl"
"59","47","bdl"
"60","47","Within_Range"
