...1,1,2,3,4,5,6,7,8,9,10,11,12
A,0.056,0.049,0.049,1.501,1.346,1.314,0.058,0.061,0.064,1.685,1.401,1.857
B,0.235,0.229,0.205,0.181,0.173,0.176,0.057,0.054,0.057,1.874,1.627,1.69
C,0.278,0.365,0.337,0.052,0.053,0.054,1.112,0.999,0.75,0.7,0.665,0.552
D,0.709,0.713,0.638,0.053,0.053,0.054,1.677,1.492,1.517,0.713,0.684,0.658
E,1.223,1.138,1.209,0.053,0.051,0.056,1.829,1.795,1.747,1.555,1.404,1.278
F,1.734,1.687,1.807,0.056,0.056,0.058,1.868,1.739,1.793,0.051,0.052,0.055
G,1.867,1.742,1.664,0.055,0.056,0.055,1.615,1.514,1.459,0.052,0.055,0.066
H,1.644,1.745,1.628,0.051,0.053,0.052,1.855,1.899,1.819,0.052,0.055,0.053
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,MSM_WC_LysC_20cm,MSM_WC_LysC_20cm,MSM_WC_LysC_20cm,GCW_TR_LysB_20cm,GCW_TR_LysB_20cm,GCW_TR_LysB_20cm,GCW_WC_LysB_20cm,GCW_WC_LysB_20cm,GCW_WC_LysB_20cm
B,Std 1,Std 1,Std 1,MSM_WC_LysC_45cm,MSM_WC_LysC_45cm,MSM_WC_LysC_45cm,GCW_TR_LysC_45cm,GCW_TR_LysC_45cm,GCW_TR_LysC_45cm,GCW_WC_LysB_45cm,GCW_WC_LysB_45cm,GCW_WC_LysB_45cm
C,Std 2,Std 2,Std 2,MSM_SW_A,MSM_SW_A,MSM_SW_A,GCW_WC_LysA_10cm,GCW_WC_LysA_10cm,GCW_WC_LysA_10cm,GCW_WC_LysC_10cm,GCW_WC_LysC_10cm,GCW_WC_LysC_10cm
D,Std 3,Std 3,Std 3,MSM_SW_B,MSM_SW_B,MSM_SW_B,GCW_WC_LysA_20cm,GCW_WC_LysA_20cm,GCW_WC_LysA_20cm,GCW_WC_LysC_20cm,GCW_WC_LysC_20cm,GCW_WC_LysC_20cm
E,Std 4,Std 4,Std 4,MSM_SW_C,MSM_SW_C,MSM_SW_C,GCW_WC_LysA_45cm,GCW_WC_LysA_45cm,GCW_WC_LysA_45cm,GCW_WC_LysC_45cm,GCW_WC_LysC_45cm,GCW_WC_LysC_45cm
F,Std 5,Std 5,Std 5,GCW_TR_LysA_20m,GCW_TR_LysA_20m,GCW_TR_LysA_20m,GCW_WC_LysA_45cm_dup,GCW_WC_LysA_45cm_dup,GCW_WC_LysA_45cm_dup,GCW_SW_A,GCW_SW_A,GCW_SW_A
G,MC: 10ppt,MC: 10ppt,MC: 10ppt,GCW_TR_LysA_45cm,GCW_TR_LysA_45cm,GCW_TR_LysA_45cm,GCW_WC_LysB_10cm,GCW_WC_LysB_10cm,GCW_WC_LysB_10cm,GCW_SW_B,GCW_SW_B,GCW_SW_B
H,MC: 20ppt,MC: 20ppt,MC: 20ppt,GCW_TR_LysB_10cm,GCW_TR_LysB_10cm,GCW_TR_LysB_10cm,GCW_WC_LysB_10cm_spk,GCW_WC_LysB_10cm_spk,GCW_WC_LysB_10cm_spk,GCW_SW_C,GCW_SW_C,GCW_SW_C
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,25,25,25,1,1,1,25,25,25
B,1,1,1,1,1,1,1,1,1,25,25,25
C,1,1,1,1,1,1,25,25,25,25,25,25
D,1,1,1,1,1,1,25,25,25,25,25,25
E,1,1,1,1,1,1,25,25,25,25,25,25
F,1,1,1,1,1,1,25,25,25,1,1,1
G,1,1,1,1,1,1,25,25,25,1,1,1
H,1,1,1,1,1,1,25,25,25,1,1,1
