,1,2,3,4,5,6,7,8,9,10,11,12
A,0.054,0.055,0.057,2.492,2.286,2.661,0.815,0.762,0.721,0.929,0.786,0.763
B,0.117,0.118,0.113,2.472,2.323,2.613,0.054,0.053,0.056,0.989,0.96,0.873
C,0.218,0.293,0.233,0.357,0.303,0.298,0.785,0.755,0.72,0.848,0.741,0.853
D,0.38,0.428,0.352,0.057,0.057,0.059,0.528,0.485,0.513,2.656,2.355,2.503
E,0.633,0.629,0.685,0.06,0.072,0.059,0.351,0.365,0.303,0.466,0.419,0.375
F,1.188,1.182,1.097,0.06,0.061,0.062,0.217,0.205,0.231,0.059,0.061,0.056
G,1.232,1.247,1.092,1.263,1.228,1.225,0.163,0.167,0.171,0.75,0.758,0.789
H,1.285,1.131,1.081,0.651,0.565,0.569,0.88,0.873,0.834,0.582,0.577,0.673
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,113,113,113,20,20,20,111,111,111
B,Std 1,Std 1,Std 1,114,114,114,ChkStd 0,ChkStd 0,ChkStd 0,113 x25,113 x25,113 x25
C,Std 2,Std 2,Std 2,107,107,107,20 Dup,20 Dup,20 Dup,114 x25,114 x25,114 x25
D,Std 3,Std 3,Std 3,116,116,116,ChkStd 3,ChkStd 3,ChkStd 3,113 Spike,113 Spike,113 Spike
E,Std 4,Std 4,Std 4,117,117,117,43,43,43,43 Spike,43 Spike,43 Spike
F,Std 5,Std 5,Std 5,118,118,118,44,44,44,ChkStd 0,ChkStd 0,ChkStd 0
G,MC: 10ppt S5,MC: 10ppt S5,MC: 10ppt S5,14,14,14,50,50,50,114  x25 Dup,114  x25 Dup,114  x25 Dup
H,MC: 20ppt S5,MC: 20ppt S5,MC: 20ppt S5,108,108,108,110,110,110,ChkStd 4,ChkStd 4,ChkStd 4
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,50,50,50,25,25,25
B,1,1,1,1,1,1,1,1,1,25,25,25
C,1,1,1,25,25,25,50,50,50,25,25,25
D,1,1,1,1,1,1,1,1,1,1,1,1
E,1,1,1,1,1,1,1,1,1,1,1,1
F,1,1,1,1,1,1,25,25,25,1,1,1
G,1,1,1,50,50,50,25,25,25,25,25,25
H,1,1,1,25,25,25,25,25,25,1,1,1
