"Project","Region","Sample_ID","Year","Month","Day","Time","Time_Zone","Site","Zone","Replicate","Depth_cm","npoc_mgL","npoc_uM","npoc_flag","tdn_mgL","tdn_uM","tdn_flag","Analysis_rundate","Run_notes","Field_notes"
"COMPASS: Synoptic","CB","MSM_202305_UP_LysA_20cm",2023,5,19,NA,NA,"MSM","UP","A",20,58.74,4890.51702605945,"NPOC checks out of range",3.33,237.743365674998,"value above cal curve","6/3/2023 8:10:25 AM","Standard Curve was assessed manually on the instrument.
    One duplicate out of range. A few samples above standard curve top standard.",NA
"COMPASS: Synoptic","CB","MSM_202305_UP_LysB_10cm",2023,5,19,NA,NA,"MSM","UP","B",10,78.95,6573.14128715344,"NPOC checks out of range",1.586,113.231524913077,"","6/3/2023 8:37:43 AM","Standard Curve was assessed manually on the instrument.
    One duplicate out of range. A few samples above standard curve top standard.",NA
"COMPASS: Synoptic","CB","MSM_202305_UP_LysB_20cm",2023,5,19,NA,NA,"MSM","UP","B",20,71.11,5920.40629423029,"NPOC checks out of range",1.958,139.790243240735,"","6/3/2023 9:04:39 AM","Standard Curve was assessed manually on the instrument.
    One duplicate out of range. A few samples above standard curve top standard.",NA
"COMPASS: Synoptic","CB","MSM_202305_UP_LysC_10cm",2023,5,19,NA,NA,"MSM","UP","C",10,88.78,7391.55773873949,"NPOC checks out of range",2.395,170.989597835322,"","6/3/2023 9:31:29 AM","Standard Curve was assessed manually on the instrument.
    One duplicate out of range. A few samples above standard curve top standard.",NA
"COMPASS: Synoptic","CB","MSM_202305_UP_LysC_20cm",2023,5,19,NA,NA,"MSM","UP","C",20,87.99,7325.78469736075,"NPOC checks out of range",3.892,277.867020782911,"value above cal curve","6/3/2023 9:50:38 AM","Standard Curve was assessed manually on the instrument.
    One duplicate out of range. A few samples above standard curve top standard.",NA
"COMPASS: Synoptic","CB","GWI_202305_UP_LysA_20cm",2023,5,23,NA,NA,"GWI","UP","A",20,28.82,2399.46715510782,"NPOC checks out of range",0.8315,59.364447014643,"","6/3/2023 7:11:59 PM","Standard Curve was assessed manually on the instrument.
    One duplicate out of range. A few samples above standard curve top standard.",NA
"COMPASS: Synoptic","CB","GWI_202305_UP_LysA_45cm",2023,5,23,NA,NA,"GWI","UP","A",45,18.19,1514.445091999,"NPOC checks out of range",0.6729,48.0412945233353,"","6/3/2023 7:38:37 PM","Standard Curve was assessed manually on the instrument.
    One duplicate out of range. A few samples above standard curve top standard.",NA
"COMPASS: Synoptic","CB","GWI_202305_UP_LysB_10cm",2023,5,23,NA,NA,"GWI","UP","B",10,28.99,2413.62084755641,"NPOC checks out of range",0.7714,55.073643327836,"","6/3/2023 8:05:28 PM","Standard Curve was assessed manually on the instrument.
    One duplicate out of range. A few samples above standard curve top standard.",NA
"COMPASS: Synoptic","CB","GWI_202305_UP_LysB_20cm",2023,5,23,NA,NA,"GWI","UP","B",20,39.43,3282.82407792857,"NPOC checks out of range",1.032,73.6790250380175,"","6/3/2023 8:32:10 PM","Standard Curve was assessed manually on the instrument.
    One duplicate out of range. A few samples above standard curve top standard.",NA
"COMPASS: Synoptic","CB","GWI_202305_UP_LysB_45cm",2023,5,23,NA,NA,"GWI","UP","B",45,46.58,3878.11173091333,"NPOC checks out of range",1.188,84.8165520786481,"","6/3/2023 8:59:01 PM","Standard Curve was assessed manually on the instrument.
    One duplicate out of range. A few samples above standard curve top standard.",NA
"COMPASS: Synoptic","CB","GWI_202305_UP_LysC_10cm",2023,5,23,NA,NA,"GWI","UP","C",10,52.29,4353.50928315711,"NPOC checks out of range",1.468,104.806985228498,"","6/3/2023 9:26:47 PM","Standard Curve was assessed manually on the instrument.
    One duplicate out of range. A few samples above standard curve top standard.",NA
"COMPASS: Synoptic","CB","GWI_202305_UP_LysC_20cm",2023,5,23,NA,NA,"GWI","UP","C",20,73.54,6122.72083923071,"NPOC checks out of range",1.804,128.795505008317,"","6/3/2023 9:54:08 PM","Standard Curve was assessed manually on the instrument.
    One duplicate out of range. A few samples above standard curve top standard.",NA
"COMPASS: Synoptic","CB","SWH_202305_SWAMP_LysA_10cm",2023,5,24,NA,NA,"SWH","SWAMP","A",10,43.61,3630.83839813504,"NPOC checks out of range",3.206,228.890459565779,"value above cal curve","6/4/2023 9:49:50 AM","Standard Curve was assessed manually on the instrument.
    One duplicate out of range. A few samples above standard curve top standard.",NA
"COMPASS: Synoptic","CB","SWH_202305_SWAMP_LysA_20cm",2023,5,24,NA,NA,"SWH","SWAMP","A",20,23.04,1918.2416118558,"NPOC checks out of range",2.039,145.57318997337,"","6/4/2023 10:16:49 AM","Standard Curve was assessed manually on the instrument.
    One duplicate out of range. A few samples above standard curve top standard.",NA
"COMPASS: Synoptic","CB","SWH_202305_SWAMP_LysA_45cm",2023,5,24,NA,NA,"SWH","SWAMP","A",45,14.45,1203.06385813005,"NPOC checks out of range",1.562,111.518059214519,"","6/4/2023 10:39:13 AM","Standard Curve was assessed manually on the instrument.
    One duplicate out of range. A few samples above standard curve top standard.",NA
"COMPASS: Synoptic","CB","SWH_202305_SWAMP_LysB_10cm",2023,5,24,NA,NA,"SWH","SWAMP","B",10,132.8,11056.53151278,"NPOC checks out of range; value above cal curve",4.827,344.620788622588,"value above cal curve","6/4/2023 11:02:08 AM","Standard Curve was assessed manually on the instrument.
    One duplicate out of range. A few samples above standard curve top standard.",NA
"COMPASS: Synoptic","CB","SWH_202305_SWAMP_LysB_20cm",2023,5,24,NA,NA,"SWH","SWAMP","B",20,52.21,4346.84872200483,"NPOC checks out of range",1.866,133.221958062927,"","6/4/2023 11:29:48 AM","Standard Curve was assessed manually on the instrument.
    One duplicate out of range. A few samples above standard curve top standard.",NA
"COMPASS: Synoptic","CB","SWH_202305_SWAMP_LysB_45cm",2023,5,24,NA,NA,"SWH","SWAMP","B",45,5.2,432.93647489801,"NPOC checks out of range",1.389,99.1668273040759,"","6/4/2023 11:54:45 AM","Standard Curve was assessed manually on the instrument.
    One duplicate out of range. A few samples above standard curve top standard.",NA
"COMPASS: Synoptic","CB","SWH_202305_SWAMP_LysC_10cm",2023,5,24,NA,NA,"SWH","SWAMP","C",10,14.06,1170.5936225127,"NPOC checks out of range",1.412,100.808898598528,"","6/4/2023 12:43:24 PM","Standard Curve was assessed manually on the instrument.
    One duplicate out of range. A few samples above standard curve top standard.",NA
"COMPASS: Synoptic","CB","SWH_202305_SWAMP_LysC_20cm",2023,5,24,NA,NA,"SWH","SWAMP","C",20,16.64,1385.39671967363,"NPOC checks out of range",1.06,75.6780683530025,"","6/4/2023 1:10:07 PM","Standard Curve was assessed manually on the instrument.
    One duplicate out of range. A few samples above standard curve top standard.",NA
"COMPASS: Synoptic","CB","SWH_202305_SWAMP_LysC_45cm",2023,5,24,NA,NA,"SWH","SWAMP","C",45,18.33,1526.10107401549,"NPOC checks out of range",1.287,91.8845980852021,"","6/4/2023 1:36:24 PM","Standard Curve was assessed manually on the instrument.
    One duplicate out of range. A few samples above standard curve top standard.",NA
"COMPASS: Synoptic","CB","GCW_202305_TR_LysA_20cm",2023,5,18,NA,NA,"GCW","TR","A",20,36.34,3025.55990342186,"NPOC checks out of range",1.919,137.005861480577,"","6/3/2023 12:12:25 AM","Standard Curve was assessed manually on the instrument.
    One duplicate out of range. A few samples above standard curve top standard.",NA
"COMPASS: Synoptic","CB","GCW_202305_TR_LysB_10cm",2023,5,18,NA,NA,"GCW","TR","B",10,20.86,1736.74132045625,"NPOC checks out of range",0.8044,57.429658663354,"","6/3/2023 12:37:36 AM","Standard Curve was assessed manually on the instrument.
    One duplicate out of range. A few samples above standard curve top standard.",NA
"COMPASS: Synoptic","CB","GCW_202305_TR_LysB_20cm",2023,5,18,NA,NA,"GCW","TR","B",20,22.08,1838.31487802847,"NPOC checks out of range",1.46,104.235829995645,"","6/3/2023 1:04:36 AM","Standard Curve was assessed manually on the instrument.
    One duplicate out of range. A few samples above standard curve top standard.",NA
"COMPASS: Synoptic","CB","GCW_202305_TR_LysC_10cm",2023,5,18,NA,NA,"GCW","TR","C",10,83.88,6983.59836816252,"NPOC checks out of range",2.241,159.994859602904,"","6/3/2023 1:23:43 AM","Standard Curve was assessed manually on the instrument.
    One duplicate out of range. A few samples above standard curve top standard.",NA
"COMPASS: Synoptic","CB","MSM_202305_TR_LysA_10cm",2023,5,19,NA,NA,"MSM","TR","A",10,21.86,1819.99833485971,"NPOC checks out of range",0.7861,56.1231410682031,"","6/3/2023 10:17:24 AM","Standard Curve was assessed manually on the instrument.
    One duplicate out of range. A few samples above standard curve top standard.",NA
