"","Site","Zone","Depth_cm","min_npoc_mgL","max_npoc_mgL","mean_npoc_mgL","sd_npoc_mgL","min_tdn_mgL","max_tdn_mgL","mean_tdn_mgL","sd_tdn_mgL"
"1","GCW","SW",0,-0.1982,8.815,5.85966060606061,1.64276052384762,-0.00266,0.9115,0.532531515151515,0.174498059876772
"2","GCW","TR",10,-0.04784,83.88,17.4018505263158,18.7460408717875,0.03846,2.241,0.565413684210526,0.466162469295971
"3","GCW","TR",20,2.417,89.21,19.472,23.21938621411,0.1089,2.977,0.865742307692308,0.839484204103008
"4","GCW","TR",45,3.355,115.7,20.6894166666667,32.5842534877824,0.4123,3.604,1.20134166666667,0.914702490587994
"5","GCW","UP",10,21.33,39.9,26.04,7.81880745382568,0.00022,1.017,0.582564,0.383096729926007
"6","GCW","UP",20,7.732,49.11,22.332,15.2936750325094,0.1922,2.079,0.7557,0.684338045120977
"7","GCW","WC",10,-0.1777,31.24,11.2625242424242,5.35732062818196,0.4259,4.855,1.25843939393939,1.02827393235564
"8","GCW","WC",20,-0.2012,18.31,10.3862666666667,3.90225128729131,0.3279,3.279,1.39425454545455,0.820101549386915
"9","GCW","WC",45,6.621,50.18,18.6150625,11.4332570358398,-0.01174,5.942,2.9569925,1.69800916555716
"10","GWI","SW",0,2.031,9.979,4.60727272727273,1.50845884250962,-0.00384,0.5004,0.301522121212121,0.139651850590978
"11","GWI","TR",10,-0.6195,82.91,41.7529060606061,23.5041174030735,0.00549,2.337,1.13800272727273,0.618553638479885
"12","GWI","TR",20,-0.681,135.3,55.7992606060606,30.3256266753152,-0.00603,2.897,1.51307666666667,0.785730673273557
"13","GWI","TR",45,23.49,77.47,38.94,15.1906776968274,0.0235,1.231,0.84755,0.348533225739591
"14","GWI","UP",10,24.71,84.48,46.8177777777778,16.5298647927126,-0.00416,2.057,1.06873,0.467479003831754
"15","GWI","UP",20,19.54,121.5,52.4796774193548,27.2271922268738,-0.00923,3.056,1.18574419354839,0.657331856684147
"16","GWI","UP",45,16.04,63.09,35.9686363636364,12.7406287859537,0.6045,1.993,0.969459090909091,0.380450908739931
"17","GWI","WC",10,7.406,89.08,35.5898709677419,19.8523124223887,-0.00216,3.05,1.32441741935484,0.688775827929367
"18","GWI","WC",20,-0.5307,98.74,50.074772,18.9557621749412,0.03074,2.851,1.6939396,0.626804388641837
"19","GWI","WC",45,32.46,108.4,53.1459090909091,20.0699969533039,-0.00923,2.16,1.46582590909091,0.512063391078163
"20","MSM","SW",0,-0.1941,8.398,6.002996875,1.54946291849672,0.2775,0.7616,0.4999625,0.120346965465583
"21","MSM","TR",10,17.91,127.2,42.1248148148148,26.9095322502255,0.00177,3.603,1.95999888888889,0.928980234799814
"22","MSM","TR",20,23.56,65.3,36.3981818181818,11.6107930539179,0.01339,4.342,2.86734515151515,0.99114280001711
"23","MSM","TR",45,11.93,47.28,25.8948148148148,10.2684877810971,-0.01257,3.949,2.21849740740741,0.928931516990572
"24","MSM","UP",10,24.69,88.78,45.2,19.9217630270331,0.6857,2.395,1.11166,0.412651081614837
"25","MSM","UP",20,24.39,105.1,51.395,23.3044421986555,0.7263,4.067,1.80216818181818,1.04095222907927
"26","MSM","UP",45,18.29,36.86,27.0338461538462,4.81326559011921,0.6721,2.614,1.33148461538462,0.64960972237972
"27","MSM","WC",10,10.07,25.55,16.1336666666667,4.24267602876504,-0.00904,3.993,1.31861866666667,0.795909674288325
"28","MSM","WC",20,12.07,43.62,23.9828125,8.26146407175332,0.848,4.427,2.150271875,0.983124989997539
"29","MSM","WC",45,75.21,103.8,89.0975,9.33442591394121,1.838,4.623,2.481625,0.900881146037431
"30","SWH","SW",0,4.959,12.65,6.37402564102564,1.82493021477505,0.1492,0.6054,0.376417948717949,0.101660238751687
"31","SWH","SWAMP",10,3.31,132.8,34.83775,37.8743606135419,0.3276,4.827,1.50777,1.32239248221761
"32","SWH","SWAMP",20,2.986,52.21,18.0882857142857,10.5594806235121,0.2421,2.249,1.14385238095238,0.566123048435411
"33","SWH","SWAMP",45,4.935,43.4,12.4154047619048,7.85310003743907,0.4777,1.72,1.00662857142857,0.377169451007792
"34","SWH","TR",10,4.462,73.2,19.3343571428571,14.6935849945236,0.2036,3.363,1.1204,0.711660721781685
"35","SWH","TR",20,6.394,54.11,20.2605238095238,10.4103845252149,0.8434,5.518,2.67158095238095,1.18702612013057
"36","SWH","TR",45,8.443,66.84,19.4548333333333,11.2080832849673,1.55,5.45,3.36845238095238,1.10375371065047
"37","SWH","UP",10,7.694,101.3,28.9467941176471,23.3490365199696,0.272,2.976,0.832597058823529,0.568075108395858
"38","SWH","UP",20,7.945,171.8,38.0404285714286,38.5806918094372,0.2183,4.84,1.04085714285714,0.931992899099626
"39","SWH","UP",45,13.47,114,41.4947368421053,28.1738481130364,0.2362,2.37,1.02191315789474,0.594027615233525
"40","SWH","WC",10,5.862,28.45,11.4513636363636,5.42629831709761,0.2366,1.181,0.509054545454545,0.236039309611383
"41","SWH","WC",20,5.421,41.28,15.49635,8.59380967095073,0.211,1.444,0.531465,0.286951652401218
"42","SWH","WC",45,7.477,33.33,14.0080833333333,5.53970156876835,0.2231,0.8994,0.485133333333333,0.155014503295285
