,1,2,3,4,5,6,7,8,9,10,11,12
A,0.053,0.047,0.05,0.058,0.058,0.055,0.078,0.078,0.078,1.548,1.552,1.708
B,0.138,0.132,0.408,0.055,0.058,0.056,0.809,0.844,0.842,0.398,0.36,0.376
C,0.316,0.244,0.233,0.111,0.112,0.11,1.188,1.18,0.983,0.293,0.46,0.422
D,0.36,0.517,0.668,0.097,0.094,0.082,1.756,1.731,1.675,1.069,1.246,1.02
E,0.845,1.002,0.751,0.129,0.134,0.121,0.933,0.889,0.866,0.054,0.048,0.053
F,1.494,1.409,1.713,0.073,0.071,0.065,0.997,0.559,1.094,0.053,0.055,0.052
G,1.252,1.249,1.255,0.059,0.052,0.059,1.145,1.152,1.055,0.05,0.048,0.053
H,1.194,1.462,1.462,0.11,0.114,0.116,1.602,1.498,1.203,0.056,0.045,0.055
,,,,,,,,,,,,
IDs,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,GCW_UP_LysB_10cm,GCW_UP_LysB_10cm,GCW_UP_LysB_10cm,GCW_TR_LysC_20cm,GCW_TR_LysC_20cm,GCW_TR_LysC_20cm,GCW_WC_LysB_45cm,GCW_WC_LysB_45cm,GCW_WC_LysB_45cm
B,Std 1,Std 1,Std 1,GCW_UP_LysB_20cm,GCW_UP_LysB_20cm,GCW_UP_LysB_20cm,GCW_WC_LysA_10cm,GCW_WC_LysA_10cm,GCW_WC_LysA_10cm,GCW_WC_LysC_10cm,GCW_WC_LysC_10cm,GCW_WC_LysC_10cm
C,Std 2,Std 2,Std 2,GCW_TR_LysA_20cm,GCW_TR_LysA_20cm,GCW_TR_LysA_20cm,GCW_WC_LysA_20cm,GCW_WC_LysA_20cm,GCW_WC_LysA_20cm,GCW_WC_LysC_20cm,GCW_WC_LysC_20cm,GCW_WC_LysC_20cm
D,Std 3,Std 3,Std 3,GCW_TR_LysA_45cm,GCW_TR_LysA_45cm,GCW_TR_LysA_45cm,GCW_WC_LysA_45cm,GCW_WC_LysA_45cm,GCW_WC_LysA_45cm,GCW_WC_LysC_45cm,GCW_WC_LysC_45cm,GCW_WC_LysC_45cm
E,Std 4,Std 4,Std 4,GCW_TR_LysB_10cm,GCW_TR_LysB_10cm,GCW_TR_LysB_10cm,GCW_WC_LysB_10cm,GCW_WC_LysB_10cm,GCW_WC_LysB_10cm,GCW_SW_A,GCW_SW_A,GCW_SW_A
F,Std 5,Std 5,Std 5,GCW_TR_LysB_20cm,GCW_TR_LysB_20cm,GCW_TR_LysB_20cm,GCW_WC_LysB_10cm_dup,GCW_WC_LysB_10cm_dup,GCW_WC_LysB_10cm_dup,GCW_SW_B,GCW_SW_B,GCW_SW_B
G,MC: 10ppt,MC: 10ppt,MC: 10ppt,GCW_TR_LysB_45cm,GCW_TR_LysB_45cm,GCW_TR_LysB_45cm,GCW_WC_LysB_20cm,GCW_WC_LysB_20cm,GCW_WC_LysB_20cm,GCW_SW_C,GCW_SW_C,GCW_SW_C
H,MC: 20ppt,MC: 20ppt,MC: 20ppt,GCW_TR_LysC_10cm,GCW_TR_LysC_10cm,GCW_TR_LysC_10cm,GCW_WC_LysB_20cm_spk,GCW_WC_LysB_20cm_spk,GCW_WC_LysB_20cm_spk,,,
,,,,,,,,,,,,
Dilutions,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,25,25,25
B,1,1,1,1,1,1,25,25,25,25,25,25
C,1,1,1,1,1,1,25,25,25,25,25,25
D,1,1,1,1,1,1,25,25,25,25,25,25
E,1,1,1,1,1,1,25,25,25,1,1,1
F,1,1,1,1,1,1,25,25,25,1,1,1
G,1,1,1,1,1,1,25,25,25,1,1,1
H,1,1,1,1,1,1,25,25,25,1,1,1
