"","Site","Zone","Depth_cm","min_Cl_ppm","max_Cl_ppm","mean_Cl_ppm","sd_Cl_ppm","min_SO4_ppm","max_SO4_ppm","mean_SO4_ppm","sd_SO4_ppm"
"1","GCW","SW",0,2391.5744,9214.8406,5692.1944,1922.748,319.6307,1235.1054,747.6378,271.7658
"2","GCW","TR",10,0,5788.8372,737.7973,1476.678,0,766.8754,94.5162,172.7131
"3","GCW","TR",20,1.5851,4799.3341,448.6086,1030.9676,0,520.6013,41.8049,89.9971
"4","GCW","TR",45,1.9038,2891.2196,289.1713,564.6389,0.9206,158.7476,18.3813,26.764
"5","GCW","UP",10,0,96.1308,10.7786,22.8639,0.2337,25.2283,5.6398,5.4862
"6","GCW","UP",20,0,72.3197,8.2117,16.1496,0.3311,24.7076,5.8796,4.8516
"7","GCW","UP",45,1.2722,80.6304,18.4158,25.5171,1.3993,13.7793,7.3603,3.2375
"8","GCW","WC",10,1707.6564,7799.589,5424.7618,1410.2341,31.6015,1044.0764,487.5961,239.9372
"9","GCW","WC",20,2213.8176,8833.1347,5511.6385,1304.7163,134.6521,990.5352,455.0437,208.2533
"10","GCW","WC",45,4733.9492,8642.368,5666.1987,738.4739,25.4716,848.2726,310.0513,163.8969
"11","GWI","SW",0,108.1539,19356.5144,12010.5065,3799.7461,34.0571,2659.6013,1677.8508,463.579
"12","GWI","TR",10,2889.3903,14578.7194,8872.351,3029.8952,393.6444,1927.0838,1137.2102,427.7646
"13","GWI","TR",20,5199.8928,13512.9722,9349.1893,1777.3053,150.2146,1616.3877,912.9869,341.8572
"14","GWI","TR",45,136.1891,14243.4464,9000.9515,1908.7966,12.6031,1665.617,1026.9017,263.25
"15","GWI","UP",10,0,8981.3661,3963.1391,2101.5624,0,1143.0658,501.7167,268.9515
"16","GWI","UP",20,6.9319,9289.2814,4814.3195,1911.6398,1.8771,1144.9459,601.7495,211.2954
"17","GWI","UP",45,7.0467,9581.8268,5039.2861,1715.8461,0,1185.7101,614.8282,214.4011
"18","GWI","WC",10,0,16941.3424,11152.3908,3665.7481,19.8885,2799.2596,1465.6472,581.4789
"19","GWI","WC",20,0,20448.131,11739.6731,4003.7198,0.002,2556.713,1384.5413,595.2343
"20","GWI","WC",45,0,21806.253,12372.0502,3476.1882,18.5313,2368.0439,1468.2746,410.5138
"21","MSM","SW",0,3725.7517,19169.2282,9226.9242,3115.2947,502.3477,2568.7298,1250.3382,453.6912
"22","MSM","TR",10,1078.225,9276.7225,5591.1185,2059.742,103.6062,1244.6733,651.0925,260.474
"23","MSM","TR",20,2694.2745,7707.0974,4985.1177,1268.3013,169.541,1325.3953,509.0807,182.7975
"24","MSM","TR",45,3028.6085,7314.8545,4927.298,1042.1517,254.7283,1387.9801,534.2985,174.9584
"25","MSM","UP",10,0,3270.8644,1028.5842,634.7055,28.5873,264.6481,107.9568,46.7573
"26","MSM","UP",20,499.9943,3696.9521,1584.9996,668.3474,37.6811,386.0512,150.6442,55.6461
"27","MSM","UP",45,0,3709.1606,2156.4914,630.2313,0,647.3701,205.627,96.852
"28","MSM","WC",10,5340.6275,12882.3394,8542.677,1453.6421,367.5355,1521.8959,899.5869,264.6183
"29","MSM","WC",20,6070.555,12668.0913,8371.9067,1208.586,456.3583,1448.9153,801.0302,227.1331
"30","MSM","WC",45,7008.8131,11859.1742,8654.1721,1181.9732,22.1616,276.8845,113.2238,64.0098
"31","SWH","SW",0,8.0174,4234.3898,1669.7967,1380.4999,3.8311,551.2815,211.0282,174.6193
"32","SWH","SWAMP",10,1.1391,2446.147,312.9486,500.44,0,215.0081,35.1313,51.5973
"33","SWH","SWAMP",20,0,2248.7667,212.9451,422.9877,0,194.5441,21.9536,42.7445
"34","SWH","SWAMP",45,0.9155,2490.4222,184.2608,491.3967,0,243.4826,16.3238,46.7422
"35","SWH","TR",10,32.286,3529.3181,1103.2947,891.1658,1.4057,353.5336,102.1962,91.4874
"36","SWH","TR",20,62.521,3804.7573,1057.9961,885.7172,0,325.2863,59.6756,82.3227
"37","SWH","TR",45,0,3881.3203,885.2451,810.9296,0,398.147,25.6024,68.284
"38","SWH","UP",10,0.9723,2467.4455,362.3745,637.4653,0,211.8524,41.4321,49.8998
"39","SWH","UP",20,0.6823,2716.1041,347.6228,679.0355,0.1084,249.2534,45.5829,54.7376
"40","SWH","UP",45,4.0092,2663.314,303.7348,662.6908,0.1223,204.1464,26.2967,48.8425
"41","SWH","WC",10,0,4119.4921,1303.8957,1129.3391,0,461.0451,57.4679,97.2465
"42","SWH","WC",20,0,4119.7001,980.1827,1041.3437,0,438.8225,36.5569,105.1643
"43","SWH","WC",45,0,3950.1737,946.0423,823.2685,0,416.781,28.7304,92.4717
