"","Site","Zone","min_Cl_ppm","max_Cl_ppm","mean_Cl_ppm","sd_Cl_ppm","min_SO4_ppm","max_SO4_ppm","mean_SO4_ppm","sd_SO4_ppm"
"1","SWH","UP",0.6823,1353.7206,135.5011,244.1025,0,136.2152,23.7961,25.7932
"2","SWH","SWAMP",0,1445.3825,173.7855,317.0811,0,154.5028,18.7668,36.6386
"3","SWH","TR",0,2690.5223,897.1345,737.5752,0,273.6427,50.8772,72.1973
"4","SWH","WC",0,3319.8437,879.7251,754.7545,0,374.4658,20.4691,53.8162
"5","SWH","SW",8.0174,4102.1062,1474.016,1299.8027,3.8311,551.2815,200.0445,175.9104
"6","GCW","UP",0,96.1308,7.5031,15.7508,0.2163,25.2283,5.6253,5.0272
"7","GCW","TR",0,5788.8372,459.1282,1039.8112,0,766.8754,45.7404,107.2635
"8","GCW","WC",1707.6564,8833.1347,5485.2408,1244.8734,25.4716,1044.0764,418.6696,219.8491
"9","GCW","SW",2166.0136,9214.8406,5646.4139,1973.9527,325.2328,1235.1054,756.3953,261.5102
"10","MSM","UP",0,3709.1606,1629.1974,788.6725,0,647.3701,160.7784,82.5607
"11","MSM","TR",1078.225,9276.7225,5122.2234,1577.3863,103.6062,1387.9801,562.9339,217.2486
"12","MSM","WC",5340.6275,12882.3394,8425.6775,1360.855,22.1616,1521.8959,654.1232,393.0855
"13","MSM","SW",3725.7517,19169.2282,9201.1299,3133.6273,502.3477,2568.7298,1260.8403,443.4205
"14","GWI","UP",0,9581.8268,4508.4624,2006.4222,0,1185.7101,569.0828,238.1873
"15","GWI","TR",1764.9857,14578.7194,9086.1286,2290.6847,150.2146,1927.0838,1032.9255,359.1707
"16","GWI","WC",6438.5843,21806.253,12273.0206,2319.7145,0.002,2799.2596,1516.645,398.5267
"17","GWI","SW",108.1539,19356.5144,12571.0513,2676.3831,1193.2984,2659.6013,1752.8721,271.1766
