Date,Month,Year,Campaign,Site,Zone,Depth,Time_24hr,Time_Zone,1_mV,2_mV,3_mV,4_mV,5_mV,6_mV,Notes
15,May,2025,Monthly Monitoring,MSM,Upland,10,1412,NA,116.7,106.1,17.1,-89.1,18.2,NA,
15,May,2025,Monthly Monitoring,MSM,Upland,20,1420,NA,-217.1,-297.3,-133.7,-178.9,-67.2,NA,
15,May,2025,Monthly Monitoring,MSM,Upland,35,1434,NA,-220.1,-216.9,9.3,-268.2,-289.1,NA,
15,May,2025,Monthly Monitoring,MSM,Transition,10,1312,NA,-75.9,-22.9,-96.7,-30.1,43.2,NA,
15,May,2025,Monthly Monitoring,MSM,Transition,20,1327,NA,-119.2,-21.1,-140.5,-50.5,-38.1,NA,
15,May,2025,Monthly Monitoring,MSM,Transition,35,1340,NA,-77.6,-54.8,-1552.9,-49.2,-52.9,NA,
15,May,2025,Monthly Monitoring,MSM,Wetland,10,1153,NA,-18.6,-29.6,0.6,87.6,97.8,NA,
15,May,2025,Monthly Monitoring,MSM,Wetland,20,1210,NA,-83.8,-108.4,-158.9,-157.2,-128.9,NA,
15,May,2025,Monthly Monitoring,MSM,Wetland,35,1228,NA,-140.1,-105.9,-169.4,20,-160.1,NA,4|45 pos change
20,May,2025,Monthly Monitoring,GWI ,Upland,10,1406,EDT,281.2,323.1,305.3,269.6,309.6,NA,
20,May,2025,Monthly Monitoring,GWI ,Upland,20,1412,EDT,297.7,365.1,373.2,306.7,327.5,NA,
20,May,2025,Monthly Monitoring,GWI ,Upland,35,1417,EDT,390,249.2,26.1,231.2,327,NA,
20,May,2025,Monthly Monitoring,GWI ,Transition,10,1339,EDT,85.1,29.9,90.6,-28.7,58,NA,
20,May,2025,Monthly Monitoring,GWI ,Transition,20,1345,EDT,-111.8,-38.6,-20.6,-23.4,-47.1,NA,
20,May,2025,Monthly Monitoring,GWI ,Transition,35,1352,EDT,-131.8,-230.8,-204.8,-23.7,-330.8,NA,
20,May,2025,Monthly Monitoring,GWI ,Wetland,10,1241,EDT,47.7,235,41.6,34.4,16.3,NA,WC very dry
20,May,2025,Monthly Monitoring,GWI ,Wetland,20,1250,EDT,22.8,45.3,13.4,-27.1,-7.9,NA,WC very dry
20,May,2025,Monthly Monitoring,GWI ,Wetland,35,1258,EDT,-88.9,-32.6,-185.6,-46.2,-28.5,NA,WC very dry
14,May,2025,Monthly Monitoring,GCW,Upland,10,1442,NA,-81.9,348.2,-80.8,381.1,50.9,NA,
14,May,2025,Monthly Monitoring,GCW,Upland,20,1448,NA,-98.3,389.3,-92.6,-98.4,-101.7,NA,
14,May,2025,Monthly Monitoring,GCW,Upland,35,1455,NA,-90.4,-64.6,-60,-90.4,-99.6,NA,5 mV measurement was done at 30 cm
14,May,2025,Monthly Monitoring,GCW,Transition,10,1415,NA,101.3,142.1,-61,-49.2,-66.8,NA,
14,May,2025,Monthly Monitoring,GCW,Transition,20,1424,NA,-76,-35.4,-100.5,19.3,-85.8,NA,
14,May,2025,Monthly Monitoring,GCW,Transition,35,1430,NA,-22.7,-55.3,-109.3,-95.7,-89.3,NA,
14,May,2025,Monthly Monitoring,GCW,Wetland,10,1047,NA,-137.1,-158.9,-160.3,-167.9,-112.3,NA,About 6 cm standing water on marsh
14,May,2025,Monthly Monitoring,GCW,Wetland,20,1102,NA,-427,-250.7,-247.3,-242.8,-182.5,NA,About 6 cm standing water on marsh
14,May,2025,Monthly Monitoring,GCW,Wetland,35,1116,NA,-229.6,-172,-246.7,-269.8,-247.4,NA,About 6 cm standing water on marsh
22,May,2025,Monthly Monitoring,SWH,Upland,10,946,EDT,-49.1,58,81,-36.8,-90.1,NA,changed batteries in unit; 35 cm reps had bubbles come up when sank to 35 cm
