Location,Site,Zone,pH
CB,MSM,Upland,4.38
CB,MSM,Transition,5.31
CB,MSM,Wetland,4.72
CB,GWI,Upland,4.64
CB,GWI,Transition,6.14
CB,GWI,Wetland,5.93
CB,Gcrew,Upland,4.5
CB,Gcrew,Transition,5.5
CB,Gcrew,Wetland,6
CB,SWH,Upland-Control,4.9
CB,SWH,Upland,4.9
CB,SWH,Transition-Hummock,6.2
CB,SWH,Transition-Hollow,6.2
CB,SWH,Wetland,5.9
