"","IDs","H2S_mean","H2S_sd","H2S_cv","H2S_flag","Dilution","H2S_cv_flag","Top_STD"
"1","16 Dup",164.985404080278,4.361315059971,2.64345508882039,"adl",1,"Within range",100
"2","15",208.861851991701,15.938606617635,7.63117173655451,"adl",1,"Within range",100
"3","16",192.316400826888,6.18903248486755,3.21815116040912,"adl",1,"Within range",100
