"","Wells","Abs","IDs","Dilution","H2S_Dilute","Conc","H2S_Conc_Final","H2S_info"
"1","A04",0.051,"49",25,"Ok",-113.815528815398,0,"bdl"
"2","A05",0.061,"49",25,"Ok",-86.3853111673308,0,"bdl"
"3","A06",0.06,"49",25,"Ok",-89.1283329321375,0,"bdl"
"4","A07",0.077,"57",1,"Ok",-1.69987851721694,0,"bdl"
"5","A08",0.074,"57",1,"Ok",-2.02904112899374,0,"bdl"
"6","A09",0.082,"57",1,"Ok",-1.1512741642556,0,"bdl"
"7","A10",0.06,"62",1,"Ok",-3.5651333172855,0,"bdl"
"8","A11",0.062,"62",1,"Ok",-3.34569157610096,0,"bdl"
"9","A12",0.061,"62",1,"Ok",-3.45541244669323,0,"bdl"
"10","B04",0.059,"50",1,"Ok",-3.67485418787777,0,"bdl"
"11","B05",0.056,"50",1,"Ok",-4.00401679965457,0,"bdl"
"12","B06",0.058,"50",1,"Ok",-3.78457505847004,0,"bdl"
"13","B10",0.2,"63",1,"Ok",11.7957885656321,11.7957885656321,"Within_Range"
"14","B11",0.191,"63",1,"Ok",10.8083007303017,10.8083007303017,"Within_Range"
"15","B12",0.193,"63",1,"Ok",11.0277424714862,11.0277424714862,"Within_Range"
"16","C04",0.056,"51",1,"Ok",-4.00401679965457,0,"bdl"
"17","C05",0.054,"51",1,"Ok",-4.22345854083911,0,"bdl"
"18","C06",0.054,"51",1,"Ok",-4.22345854083911,0,"bdl"
"19","C07",0.08,"57 Dup",1,"Ok",-1.37071590544013,0,"bdl"
"20","C08",0.08,"57 Dup",1,"Ok",-1.37071590544013,0,"bdl"
"21","C09",0.078,"57 Dup",1,"Ok",-1.59015764662467,0,"bdl"
"22","C10",0.157,"64",1,"Ok",7.07779113016453,7.07779113016453,"Within_Range"
"23","C11",0.155,"64",1,"Ok",6.85834938898,6.85834938898,"Within_Range"
"24","C12",0.135,"64",1,"Ok",4.66393197713463,4.66393197713463,"Within_Range"
"25","D04",0.059,"52",1,"Ok",-3.67485418787777,0,"bdl"
"26","D05",0.056,"52",1,"Ok",-4.00401679965457,0,"bdl"
"27","D06",0.061,"52",1,"Ok",-3.45541244669323,0,"bdl"
"28","D10",0.283,"49 Spike",25,"Ok",522.565520619759,522.565520619759,"Within_Range"
"29","D11",0.308,"49 Spike",25,"Ok",591.141064739926,591.141064739926,"Within_Range"
"30","D12",0.342,"49 Spike",25,"Ok",684.403804743355,684.403804743355,"Within_Range"
"31","E04",0.054,"53",1,"Ok",-4.22345854083911,0,"bdl"
"32","E05",0.056,"53",1,"Ok",-4.00401679965457,0,"bdl"
"33","E06",0.055,"53",1,"Ok",-4.11373767024684,0,"bdl"
"34","E07",0.057,"58",1,"Ok",-3.89429592906231,0,"bdl"
"35","E08",0.059,"58",1,"Ok",-3.67485418787777,0,"bdl"
"36","E09",0.057,"58",1,"Ok",-3.89429592906231,0,"bdl"
"37","E10",0.283,"58 Spike",1,"Ok",20.9026208247903,20.9026208247903,"Within_Range"
"38","E11",0.239,"58 Spike",1,"Ok",16.0749025187305,16.0749025187305,"Within_Range"
"39","E12",0.274,"58 Spike",1,"Ok",19.9151329894599,19.9151329894599,"Within_Range"
"40","F04",0.143,"54",1,"Ok",5.54169894187277,5.54169894187277,"Within_Range"
"41","F05",0.131,"54",1,"Ok",4.22504849476555,4.22504849476555,"Within_Range"
"42","F06",0.117,"54",1,"Ok",2.6889563064738,2.6889563064738,"Within_Range"
"43","F07",0.067,"59",1,"Ok",-2.79708722313962,0,"bdl"
"44","F08",0.064,"59",1,"Ok",-3.12624983491643,0,"bdl"
"45","F09",0.066,"59",1,"Ok",-2.90680809373189,0,"bdl"
"46","G04",0.058,"55",1,"Ok",-3.78457505847004,0,"bdl"
"47","G05",0.055,"55",1,"Ok",-4.11373767024684,0,"bdl"
"48","G06",0.059,"55",1,"Ok",-3.67485418787777,0,"bdl"
"49","G07",0.084,"60",1,"Ok",-0.931832423071059,0,"bdl"
"50","G08",0.074,"60",1,"Ok",-2.02904112899374,0,"bdl"
"51","G09",0.085,"60",1,"Ok",-0.82211155247879,0,"bdl"
"52","G10",0.132,"64 Dup",1,"Ok",4.33476936535782,4.33476936535782,"Within_Range"
"53","G11",0.134,"64 Dup",1,"Ok",4.55421110654236,4.55421110654236,"Within_Range"
"54","G12",0.125,"64 Dup",1,"Ok",3.56672327121194,3.56672327121194,"Within_Range"
"55","H04",0.06,"56",1,"Ok",-3.5651333172855,0,"bdl"
"56","H05",0.058,"56",1,"Ok",-3.78457505847004,0,"bdl"
"57","H06",0.056,"56",1,"Ok",-4.00401679965457,0,"bdl"
"58","H07",0.072,"61",1,"Ok",-2.24848287017828,0,"bdl"
"59","H08",0.07,"61",1,"Ok",-2.46792461136282,0,"bdl"
"60","H09",0.068,"61",1,"Ok",-2.68736635254735,0,"bdl"
