"","IDs","H2S_info"
"1","49","bdl"
"2","49","bdl"
"3","49","bdl"
"4","57","bdl"
"5","57","bdl"
"6","57","bdl"
"7","62","bdl"
"8","62","bdl"
"9","62","bdl"
"10","50","bdl"
"11","50","bdl"
"12","50","bdl"
"13","63","Within_Range"
"14","63","Within_Range"
"15","63","Within_Range"
"16","51","bdl"
"17","51","bdl"
"18","51","bdl"
"19","57 Dup","bdl"
"20","57 Dup","bdl"
"21","57 Dup","bdl"
"22","64","Within_Range"
"23","64","Within_Range"
"24","64","Within_Range"
"25","52","bdl"
"26","52","bdl"
"27","52","bdl"
"28","49 Spike","Within_Range"
"29","49 Spike","Within_Range"
"30","49 Spike","Within_Range"
"31","53","bdl"
"32","53","bdl"
"33","53","bdl"
"34","58","bdl"
"35","58","bdl"
"36","58","bdl"
"37","58 Spike","Within_Range"
"38","58 Spike","Within_Range"
"39","58 Spike","Within_Range"
"40","54","Within_Range"
"41","54","Within_Range"
"42","54","Within_Range"
"43","59","bdl"
"44","59","bdl"
"45","59","bdl"
"46","55","bdl"
"47","55","bdl"
"48","55","bdl"
"49","60","bdl"
"50","60","bdl"
"51","60","bdl"
"52","64 Dup","Within_Range"
"53","64 Dup","Within_Range"
"54","64 Dup","Within_Range"
"55","56","bdl"
"56","56","bdl"
"57","56","bdl"
"58","61","bdl"
"59","61","bdl"
"60","61","bdl"
