,1,2,3,4,5,6,7,8,9,10,11,12
A,0.036,0.055,0.054,0.2,0.231,0.187,0.747,0.751,0.722,0.065,0.066,0.069
B,0.182,0.131,0.108,0.303,0.41,0.317,0.633,0.809,0.692,0.121,0.145,0.126
C,0.209,0.196,0.207,0.277,0.277,0.317,0.195,0.224,0.262,0.257,0.273,0.244
D,0.391,0.427,0.35,0.484,0.58,0.389,0.445,0.361,0.384,0.297,0.376,0.414
E,0.614,0.689,0.742,0.23,0.209,0.201,0.374,0.392,0.385,0.668,0.563,0.566
F,1.163,1.148,1.039,0.595,0.497,0.496,0.422,0.359,0.322,0.987,0.97,0.985
G,0.886,0.944,0.966,0.881,1.076,0.971,0.271,0.28,0.268,0.07,0.07,0.068
H,1.012,1.1,1.143,1.025,1.121,1.002,0.649,0.657,0.591,0.07,0.067,0.066
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,35,35,35,11,11,11,Std 0,Std 0,Std 0
B,,,,36,36,36,12,12,12,Std 1,Std 1,Std 1
C,,,,37,37,37,15,15,15,Std 2,Std 2,Std 2
D,,,,38,38,38,16,16,16,Std 3,Std 3,Std 3
E,,,,39,39,39,13,13,13,Std 4,Std 4,Std 4
F,,,,40,40,40,13 Dup,13 Dup,13 Dup,Std 5,Std 5,Std 5
G,MC: 10ppt S5,MC: 10ppt S5,MC: 10ppt S5,9,9,9,14,14,14,TMP 1,TMP 1,TMP 1
H,MC: 20ppt S5,MC: 20ppt S5,MC: 20ppt S5,10,10,10,14 Spike,14 Spike,14 Spike,TMP 2,TMP 2,TMP 2
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,50,50,50,50,50,50,1,1,1
B,1,1,1,50,50,50,50,50,50,1,1,1
C,1,1,1,50,50,50,50,50,50,1,1,1
D,1,1,1,50,50,50,50,50,50,1,1,1
E,1,1,1,50,50,50,250,250,250,1,1,1
F,1,1,1,50,50,50,250,250,250,1,1,1
G,1,1,1,50,50,50,50,50,50,1,1,1
H,1,1,1,50,50,50,50,50,50,1,1,1
