"","Analysis_No","Site","Date","Zone","Replicate","Depth","Sample_ID","SO4_ppm","Cl_ppm","SO4_mM","Cl_mM","salinity"
"1","100","GWI","202305","WC","LysB","20cm","100_GWI_202305_WC_LysB_20cm",1227.5264,9239.3442,38.2884092326887,260.630301833568,16.6955209694
"2","101","GWI","202305","WC","LysB","45cm","101_GWI_202305_WC_LysB_45cm",1376.7938,8628.6595,42.9442857142857,243.40365303244,15.5920137165
"3","102","GWI","202305","WC","LysC","10cm","102_GWI_202305_WC_LysC_10cm",958.8118,7841.2804,29.9067935121647,221.192677009873,14.1692196828
"4","103","GWI","202305","WC","LysC","20cm","103_GWI_202305_WC_LysC_20cm",1411.9603,9624.5536,44.0411821584529,271.496575458392,17.3915943552
"5","104","GWI","202305","SW","A","104","104_GWI_202305_SW_A",1574.3848,11468.6765,49.1074485339987,323.516967559944,20.7239244355
"6","105","GWI","202305","SW","B","105","105_GWI_202305_SW_B",1609.8636,11757.4226,50.2140860885839,331.6621325811,21.2456886382
"7","106","GWI","202305","SW","C","106","106_GWI_202305_SW_C",1426.7353,11314.7585,44.5020368059888,319.175133991537,20.4457946095
"8","107","SWH","202305","UP","LysA","10cm","107_SWH_202305_UP_LysA_10cm",0.925,83.4151,0.0288521522145976,2.35303526093089,0.1507570857
"9","108","SWH","202305","UP","LysA","20cm","108_SWH_202305_UP_LysA_20cm",0.1078,90.5649,0.00336244541484716,2.5547221438646,0.1636767743
"10","109","SWH","202305","UP","LysA","45cm","109_SWH_202305_UP_LysA_45cm",0.0364,79.9109,0.0011353711790393,2.25418617771509,0.1444249963
"11","110","SWH","202305","UP","LysB","10cm","110_SWH_202305_UP_LysB_10cm",0.3694,39.5784,0.0115221459762944,1.11645698166432,0.0715441688
"12","111","SWH","202305","UP","LysB","20cm","111_SWH_202305_UP_LysB_20cm",0.1088,26.3485,0.00339363693075483,0.743258110014104,0.0476377395
"13","112","SWH","202305","UP","LysB","45cm","112_SWH_202305_UP_LysB_45cm",0.28,113.1482,0.00873362445414847,3.19176868829337,0.2044847974
"14","113","SWH","202305","UP","LysC","10cm","113_SWH_202305_UP_LysC_10cm",10.5164,68.3732,0.328022457891454,1.9287221438646,0.1235763724
"15","114","SWH","202305","UP","LysC","20cm","114_SWH_202305_UP_LysC_20cm",2.9596,31.3645,0.0923144104803493,0.88475317348378,0.0567016515
"16","115","SWH","202305","UP","LysC","45cm","115_SWH_202305_UP_LysC_45cm",1.2593,19.0912,0.0392794759825328,0.538538787023977,0.0345237984
"17","116","SWH","202305","UPCON","LysA","10cm","116_SWH_202305_UPCON_LysA_10cm",3.6309,4.7325,0.11325327510917,0.133497884344147,0.0085776275
"18","117","SWH","202305","UPCON","LysA","20cm","117_SWH_202305_UPCON_LysA_20cm",20.1577,13.0425,0.628749220212102,0.367912552891396,0.0235937975
"19","118","SWH","202305","UPCON","LysA","45cm","118_SWH_202305_UPCON_LysA_45cm",21.4853,4.4029,0.670159076731129,0.124200282087447,0.0079820403
"20","119","SWH","202305","UPCON","LysB","10cm","119_SWH_202305_UPCON_LysB_10cm",10.2016,9.8772,0.318203368683718,0.27862341325811,0.0178741004
"21","120","SWH","202305","UPCON","LysB","20cm","120_SWH_202305_UPCON_LysB_20cm",15.8897,5.2152,0.495623830318153,0.147114245416079,0.0094498664
"22","121","SWH","202305","UPCON","LysB","45cm","121_SWH_202305_UPCON_LysB_45cm",27.7212,8.2705,0.864666250779788,0.233300423131171,0.0149707935
"23","122","SWH","202305","UPCON","LysC","10cm","122_SWH_202305_UPCON_LysC_10cm",11.4036,14.7441,0.355695570804741,0.415912552891396,0.0266685887
"24","123","SWH","202305","UPCON","LysC","20cm","123_SWH_202305_UPCON_LysC_20cm",26.4198,11.8243,0.824073611977542,0.333548660084626,0.0213925101
"25","124","SWH","202305","UPCON","LysC","45cm","124_SWH_202305_UPCON_LysC_45cm",25.0282,8.9026,0.780667498440424,0.251131170662905,0.0161129982
"26","125","SWH","202305","TR","LysA","10cm","125_SWH_202305_TR_LysA_10cm",10.7976,300.7515,0.336793512164691,8.48382228490832,0.5434839605
"27","126","SWH","202305","TR","LysA","20cm","126_SWH_202305_TR_LysA_20cm",1.1559,262.0045,0.0360542732376793,7.39081805359661,0.4734681315
"28","127","SWH","202305","TR","LysA","45cm","127_SWH_202305_TR_LysA_45cm",1.8433,311.9145,0.0574953212726138,8.79871650211565,0.5636555015
