"","Project","Region","Site","Zone","Replicate","Depth_cm","Sample_ID","Year","Month","Day","Time","Time_Zone","ic_mgL","ic_uM","ic_flag","Analysis_rundate","Run_notes","Field_notes"
"1","COMPASS: Synoptic","CB","MSM","UP","A",20,"202505_MSM_UP_LysA_20cm",2025,5,15,"14:09","EDT",18.99,1581.05070352177,NA,"5/27/2025 3:51:58 AM",NA,""
"2","COMPASS: Synoptic","CB","MSM","UP","B",10,"202505_MSM_UP_LysB_10cm",2025,5,15,"14:13","EDT",9.081,756.056947797852,NA,"5/27/2025 4:04:23 AM",NA,""
"3","COMPASS: Synoptic","CB","MSM","UP","B",20,"202505_MSM_UP_LysB_20cm",2025,5,15,"14:16","EDT",11,915.827158438098,NA,"5/27/2025 4:17:16 AM",NA,""
"4","COMPASS: Synoptic","CB","MSM","UP","C",10,"202505_MSM_UP_LysC_10cm",2025,5,15,"14:22","EDT",14.05,1169.76105236866,NA,"5/27/2025 4:30:21 AM",NA,""
"5","COMPASS: Synoptic","CB","MSM","UP","C",20,"202505_MSM_UP_LysC_20cm",2025,5,15,"14:24","EDT",21.34,1776.70468736991,NA,"5/27/2025 5:12:37 AM",NA,""
"6","COMPASS: Synoptic","CB","GWI","UP","A",45,"202505_GWI_UP_LysA_45cm",2025,5,20,"13:48","EDT",10.21,850.054117059362,NA,"5/27/2025 9:31:43 AM",NA,""
"7","COMPASS: Synoptic","CB","GWI","UP","B",20,"202505_GWI_UP_LysB_20cm",2025,5,20,"13:53","EDT",13.01,1083.17375738906,NA,"5/27/2025 9:45:09 AM",NA,""
"8","COMPASS: Synoptic","CB","GWI","UP","B",45,"202505_GWI_UP_LysB_45cm",2025,5,20,"13:55","EDT",18.05,1502.78910998252,NA,"5/27/2025 9:58:46 AM",NA,""
"9","COMPASS: Synoptic","CB","SWH","UP","A",10,"202505_SWH_UP_LysA_10cm",2025,5,21,"10:20","EDT",11.86,987.428190825077,NA,"5/27/2025 12:33:44 PM",NA,""
"10","COMPASS: Synoptic","CB","SWH","UP","A",20,"202505_SWH_UP_LysA_20cm",2025,5,21,"10:24","EDT",18.54,1543.58504704021,NA,"5/27/2025 12:50:37 PM",NA,""
"11","COMPASS: Synoptic","CB","SWH","UP","A",45,"202505_SWH_UP_LysA_45cm",2025,5,21,"10:26","EDT",16.45,1369.57788693697,NA,"5/27/2025 1:04:03 PM",NA,""
"12","COMPASS: Synoptic","CB","SWH","UP","B",20,"202505_SWH_UP_LysB_20cm",2025,5,21,"10:31","EDT",25.53,2125.55157772042,NA,"5/27/2025 1:17:47 PM",NA,""
"13","COMPASS: Synoptic","CB","SWH","UP","C",10,"202505_SWH_UP_LysC_10cm",2025,5,21,"10:36","EDT",11.05,919.990009158272,NA,"5/27/2025 1:30:46 PM",NA,""
"14","COMPASS: Synoptic","CB","SWH","UP","C",20,"202505_SWH_UP_LysC_20cm",2025,5,21,"10:39","EDT",24.06,2003.16376654733,NA,"5/27/2025 1:51:04 PM",NA,""
"15","COMPASS: Synoptic","CB","SWH","SWAMP","A",10,"202505_SWH_SWAMP_LysA_10cm",2025,5,21,"11:29","EDT",13.83,1151.4445091999,NA,"5/27/2025 2:04:20 PM",NA,""
"16","COMPASS: Synoptic","CB","SWH","SWAMP","A",20,"202505_SWH_SWAMP_LysA_20cm",2025,5,21,"11:34","EDT",16.83,1401.21555241029,NA,"5/27/2025 2:17:36 PM",NA,""
"17","COMPASS: Synoptic","CB","SWH","SWAMP","B",10,"202505_SWH_SWAMP_LysB_10cm",2025,5,21,"11:37","EDT",11.85,986.595620681042,NA,"5/28/2025 11:08:18 AM",NA,""
"18","COMPASS: Synoptic","CB","SWH","SWAMP","B",20,"202505_SWH_SWAMP_LysB_20cm",2025,5,21,"11:40","EDT",13.84,1152.27707934393,NA,"5/28/2025 11:21:29 AM",NA,""
"19","COMPASS: Synoptic","CB","SWH","SWAMP","B",45,"202505_SWH_SWAMP_LysB_45cm",2025,5,21,"11:42","EDT",13.17,1096.49487969361,NA,"5/28/2025 12:00:42 PM",NA,""
"20","COMPASS: Synoptic","CB","SWH","SWAMP","C",10,"202505_SWH_SWAMP_LysC_10cm",2025,5,21,"11:48","EDT",7.694,640.579468820248,NA,"5/28/2025 12:13:10 PM",NA,""
"21","COMPASS: Synoptic","CB","SWH","SWAMP","C",20,"202505_SWH_SWAMP_LysC_20cm",2025,5,21,"11:51","EDT",7.611,633.669136624761,NA,"5/28/2025 12:25:41 PM",NA,""
"22","COMPASS: Synoptic","CB","SWH","SWAMP","C",45,"202505_SWH_SWAMP_LysC_45cm",2025,5,21,"11:53","EDT",9.059,754.225293480976,NA,"5/28/2025 12:38:27 PM",NA,""
"23","COMPASS: Synoptic","CB","GCW","TR","A",20,"202505_GCW_TR_LysA_20cm",2025,5,14,"12:59","EDT",13.31,1108.1508617101,NA,"5/26/2025 10:43:57 PM",NA,""
"24","COMPASS: Synoptic","CB","GCW","TR","B",10,"202505_GCW_TR_LysB_10cm",2025,5,14,"12:41","EDT",11.02,917.492298726168,NA,"5/26/2025 10:56:35 PM",NA,""
"25","COMPASS: Synoptic","CB","GCW","TR","B",20,"202505_GCW_TR_LysB_20cm",2025,5,14,"12:44","EDT",16.11,1341.2705020398,NA,"5/26/2025 11:09:42 PM",NA,""
"26","COMPASS: Synoptic","CB","GCW","TR","C",10,"202505_GCW_TR_LysC_10cm",2025,5,14,"12:49","EDT",11.46,954.125385063692,NA,"5/26/2025 11:22:34 PM",NA,""
"27","COMPASS: Synoptic","CB","GCW","TR","C",20,"202505_GCW_TR_LysC_20cm",2025,5,14,"12:53","EDT",11.02,917.492298726168,NA,"5/26/2025 11:35:16 PM",NA,""
"28","COMPASS: Synoptic","CB","MSM","TR","A",10,"202505_MSM_TR_LysA_10cm",2025,5,15,"13:05","EDT",18.06,1503.62168012655,NA,"5/27/2025 5:25:57 AM",NA,""
