"file_name","file_description","standard","file_version","data_orientation","header_rows","column_or_row_name_position","notes"
"COMPASS_SynopticCB_Sipper_2022.csv","Porewater samples collected with Sippers from the COMPASS CB synoptic sites in 2022","","","horizontal","1","1",""
"dd.csv","Data dictionary file for Sipper porewater sample analysis data file describing each column in the dataset","","","horizontal","1","1",""
