"","IDs","H2S_info"
"1","1","bdl"
"2","1","bdl"
"3","1","bdl"
"4","9","Within_Range"
"5","9","Within_Range"
"6","9","Within_Range"
"7","14","Within_Range"
"8","14","Within_Range"
"9","14","Within_Range"
"10","2","bdl"
"11","2","bdl"
"12","2","bdl"
"13","15","Within_Range"
"14","15","Within_Range"
"15","15","Within_Range"
"16","3","Within_Range"
"17","3","Within_Range"
"18","3","Within_Range"
"19","9 Dup","Within_Range"
"20","9 Dup","Within_Range"
"21","9 Dup","Within_Range"
"22","16","bdl"
"23","16","bdl"
"24","16","bdl"
"25","4","bdl"
"26","4","bdl"
"27","4","bdl"
"28","1 Spike","Within_Range"
"29","1 Spike","Within_Range"
"30","1 Spike","Within_Range"
"31","5","bdl"
"32","5","bdl"
"33","5","bdl"
"34","10","Within_Range"
"35","10","Within_Range"
"36","10","Within_Range"
"37","10 Spike","Within_Range"
"38","10 Spike","Within_Range"
"39","10 Spike","Within_Range"
"40","6","Within_Range"
"41","6","Within_Range"
"42","6","Within_Range"
"43","11","Within_Range"
"44","11","Within_Range"
"45","11","Within_Range"
"46","7","bdl"
"47","7","bdl"
"48","7","bdl"
"49","12","Within_Range"
"50","12","Within_Range"
"51","12","Within_Range"
"52","16 Dup","bdl"
"53","16 Dup","bdl"
"54","16 Dup","bdl"
"55","8","bdl"
"56","8","bdl"
"57","8","bdl"
"58","13","Within_Range"
"59","13","Within_Range"
"60","13","Within_Range"
