"Project","Region","Year","Month","Day","Site","Plot","Depth_cm","Sample_ID","Sampler_Type","SO4_ppm","SO4_mM","SO4_flag","Cl_ppm","Cl_mM","Cl_flag","Salinity","H2S_mean_uM","H2S_sd_uM","H2S_flag","NH3_mgL","NH3_uM","NH3_flag","PO4_mgL","PO4_uM","PO4_flag","NOx_mgL","NOx_uM","NOx_flag","FE_2_mean_uM","FE_2_sd_uM","FE_2_flag","FE_3_mean_uM","FE_3_sd_uM","FE_3_flag"
"COMPASS: Synoptic","CB",2022,10,27,"MSM","UP",14,"MSM_202210_UP_PPR_14cm","Depth segmented peeper well",56.4808,1.7617,"",1046.1222,29.5098,"",1.8904,NA,NA,"",0.313359,22.372079,"",0.003792,0.270728,"",0.003577,0.255378,"bdl",74.825,2.559,NA,171.601,81.882,""
"COMPASS: Synoptic","CB",2022,10,27,"MSM","UP",25,"MSM_202210_UP_PPR_25cm","Depth segmented peeper well",56.9315,1.7758,"",1042.8043,29.4162,"",1.8844,NA,NA,"",0.343022,24.489851,"",0.003947,0.281794,"",0.001753,0.125154,"bdl",656.113,58.742,NA,355.12,31.528,""
"COMPASS: Synoptic","CB",2022,10,27,"MSM","UP",36,"MSM_202210_UP_PPR_36cm","Depth segmented peeper well",70.1598,2.1884,"",1104.8402,31.1662,"",1.9965,NA,NA,"",0.467758,33.395304,"",0.00706,0.504044,"",0.003841,0.274226,"bdl",806.375,3.602,NA,161.062,19.901,""
"COMPASS: Synoptic","CB",2022,10,27,"MSM","UP",47,"MSM_202210_UP_PPR_47cm","Depth segmented peeper well",82.4729,2.5725,"",1330.7842,37.5398,"",2.4048,NA,NA,"",0.645589,46.091442,"",0.009802,0.699808,"",0.006355,0.453711,"bdl",1868.394,104.45,NA,136.333,61.804,""
"COMPASS: Synoptic","CB",2022,10,27,"MSM","UP",58,"MSM_202210_UP_PPR_58cm","Depth segmented peeper well",94.551,2.9492,"",1353.2643,38.1739,"",2.4454,NA,NA,"",0.79449,56.72214,"",0.009451,0.674749,"",0.003096,0.221037,"bdl",2665.545,154.874,NA,30.924,43.733,"bdl"
"COMPASS: Synoptic","CB",2022,10,27,"MSM","UP",69,"MSM_202210_UP_PPR_69cm","Depth segmented peeper well",95.2751,2.9718,"",1491.5376,42.0744,"",2.6952,NA,NA,"",0.450865,32.189238,"",0.005077,0.362469,"",1.1e-05,0.000785,"bdl",2897.304,162.078,NA,0,0,"bdl"
"COMPASS: Synoptic","CB",2022,10,27,"MSM","UP",87,"MSM_202210_UP_PPR_87cm","Depth segmented peeper well",101.5296,3.1669,"",1765.9643,49.8156,"",3.1911,NA,NA,"",0.45069,32.176744,"",0.015779,1.126532,"",0.005841,0.417015,"bdl",2169.766,36.936,NA,50.102,29.075,""
"COMPASS: Synoptic","CB",2022,10,27,"MSM","UP",98,"MSM_202210_UP_PPR_98cm","Depth segmented peeper well",112.9602,3.5234,"",2132.855,60.1652,"",3.8541,NA,NA,"",0.361354,25.798654,"",-0.0053,-0.37839,"bdl",0.001839,0.131294,"bdl",2274.61,99.048,NA,98.931,59.929,""
"COMPASS: Synoptic","CB",2022,10,27,"MSM","UP",109,"MSM_202210_UP_PPR_109cm","Depth segmented peeper well",138.9142,4.3329,"",2589.1649,73.0371,"",4.6786,NA,NA,"",0.304009,21.704541,"",0.015861,1.132387,"",0.008685,0.62006,"bdl",1583.151,118.857,NA,255.609,109.335,""
"COMPASS: Synoptic","CB",2022,10,27,"MSM","UP",120,"MSM_202210_UP_PPR_120cm","Depth segmented peeper well",133.0179,4.149,"",2447.1084,69.0299,"",4.422,NA,NA,"",0.338749,24.184783,"",0.019816,1.414752,"",0.00576,0.411232,"bdl",2177.831,138.667,NA,120.795,127.014,""
"COMPASS: Synoptic","CB",2022,10,27,"MSM","UP",131,"MSM_202210_UP_PPR_131cm","Depth segmented peeper well",146.819,4.5795,"",2371.4323,66.8951,"",4.2852,NA,NA,"",0.345049,24.634568,"",0.017267,1.232767,"",0.004157,0.296787,"bdl",1611.166,97.247,NA,146.916,155.925,""
"COMPASS: Synoptic","CB",2022,10,27,"MSM","UP",142,"MSM_202210_UP_PPR_142cm","Depth segmented peeper well",141.9209,4.4267,"",2376.4229,67.0359,"",4.2942,NA,NA,"",0.34512,24.639637,"",0.021077,1.50478,"",0.004426,0.315992,"bdl",1879.854,102.649,NA,242.432,37.452,""
"COMPASS: Synoptic","CB",2022,10,27,"MSM","TR",-1,"MSM_202210_TR_PPR_-1cm","Depth segmented peeper well",234.3596,7.31,"",2538.4834,71.6074,"",4.5871,NA,NA,"",0.492415,35.155675,"",0.006604,0.471489,"",0.030207,2.156611,"",156.836,25.207,NA,31.919,2.941,""
"COMPASS: Synoptic","CB",2022,10,27,"MSM","TR",10,"MSM_202210_TR_PPR_10cm","Depth segmented peeper well",244.5354,7.6274,"",2577.2622,72.7013,"",4.6571,1.926,0.19,"",0.493272,35.216861,"",0.011991,0.85609,"",0.024336,1.737454,"bdl",113.244,3.839,NA,47.866,17.938,""
"COMPASS: Synoptic","CB",2022,10,27,"MSM","TR",21,"MSM_202210_TR_PPR_21cm","Depth segmented peeper well",422.5919,13.1813,"",3501.0406,98.76,"",6.3264,3.312,0.299,"",0.61463,43.881143,"",0.020532,1.46587,"",0.020434,1.458873,"bdl",2530.564,122.459,NA,56.198,19.772,""
