"","IDs","FE_2_mean","FE_3_mean"
"1","50",0.859060872631547,0
"2","51",1.95459142229246,0
"3","54",0.493884022744577,8.60405765612445
"4","55",0.128707172857606,9.97967731697858
"5","58",2155.29768210942,0
"6","62",1029.56525110892,0
"7","66",9147.07543814691,0
"8","45",5.36290868790418,0
"9","46",2.80667073869539,0
"10","47",2.56321950543741,0
"11","49",3.29357320521135,0
"12","52",7.67569540385499,0
"13","57",5141.3674814476,0
"14","59",2030.878107137,0
"15","63",1609.96933223028,0
"16","64",4686.50131413553,0
