"","IDs","FE_2_mean","FE_2_sd","FE_2_cv","FE_3_mean","FE_3_sd","FE_3_cv","FE_2_flag","FE_3_flag","Dilution","FE_2_cv_flag","FE_3_cv_flag"
"1","161",4.60410938998518,0.502910296666901,10.9230744551992,0,0,0,"within range","bdl",1,"High cv rerun","ok"
"2","168",1.93702478172239,0.25145514833345,12.9815142638422,1.73851163073644,0.215659513830346,12.4048358387451,"within range","within range",1,"High cv rerun","High cv rerun"
"3","177",103.853364300059,21.1374736746415,20.3531910758038,0,0,0,"within range","bdl",1,"High cv rerun","ok"
