"","Wells","Abs1","Abs2","IDs","Dilutions","FE_2_Curve","FE_Tot_Curve"
"1","B04",0.682,1.103,"95",1,"Within range","High"
"2","B05",1.027,1.31,"95",1,"Within range","High"
"3","B06",1.108,1.373,"95",1,"High","High"
"4","C04",0.598,0.642,"96",1,"Within range","High"
"5","C05",0.571,0.635,"96",1,"Within range","High"
"6","C06",0.571,0.629,"96",1,"Within range","High"
"7","D04",0.457,0.593,"97",1,"Within range","High"
"8","D05",0.324,0.574,"97",1,"Within range","High"
"9","D06",0.357,0.575,"97",1,"Within range","High"
"10","E04",0.531,0.574,"98",1,"Within range","High"
"11","E05",0.511,0.527,"98",1,"Within range","High"
"12","E06",0.511,0.529,"98",1,"Within range","High"
"13","F04",0.512,0.537,"99",1,"Within range","High"
"14","F06",0.498,0.509,"99",1,"Within range","High"
"15","H04",0.571,0.879,"101",1,"Within range","High"
"16","H05",0.799,0.906,"101",1,"Within range","High"
"17","H06",0.825,0.96,"101",1,"Within range","High"
