"","Wells","Abs1","Abs2","IDs","Dilutions","FE_2_Curve","FE_Tot_Curve"
"1","B10",0.569,1.391,"87",1,"Within range","High"
"2","B11",1.089,1.543,"87",1,"High","High"
"3","B12",0.98,1.56,"87",1,"Within range","High"
"4","C04",0.61,1.1,"74",1,"Within range","High"
"5","C05",0.764,1.16,"74",1,"Within range","High"
"6","C06",0.639,1.109,"74",1,"Within range","High"
"7","C10",0.751,1.096,"88",1,"Within range","High"
"8","C11",0.656,1.08,"88",1,"Within range","High"
"9","C12",0.804,1.18,"88",1,"Within range","High"
"10","E10",0.486,0.572,"90",1,"Within range","High"
"11","E11",0.382,0.562,"90",1,"Within range","High"
"12","E12",0.541,0.573,"90",1,"Within range","High"
"13","F10",0.097,0.576,"91",1,"Within range","High"
"14","F11",0.111,0.508,"91",1,"Within range","High"
"15","G07",0.066,0.591,"84",1,"Within range","High"
"16","G08",0.068,0.745,"84",1,"Within range","High"
"17","G09",0.068,0.759,"84",1,"Within range","High"
"18","H04",0.1,0.824,"79",1,"Within range","High"
"19","H05",0.099,0.641,"79",1,"Within range","High"
"20","H06",0.1,0.608,"79",1,"Within range","High"
"21","H07",0.482,0.929,"85",1,"Within range","High"
"22","H08",0.587,0.847,"85",1,"Within range","High"
"23","H09",0.471,0.927,"85",1,"Within range","High"
