"","IDs","FE_2_mean","FE_2_sd","FE_2_cv","FE_3_mean","FE_3_sd","FE_3_cv","FE_2_flag","FE_3_flag","Dilution","FE_2_cv_flag","FE_3_cv_flag"
"1","73",1.58941457240549,0,0,0,0,0,"within range","bdl",1,"ok","ok"
"2","74",284.551028229072,10.1782971944885,3.57696728696925,0,0,0,"within range","bdl",1,"ok","ok"
"3","75",1.77200299734897,0.258219026887417,14.5721551980289,0,0,0,"within range","bdl",1,"High cv rerun","ok"
"4","76",1.58941457240549,0,0,0,0,0,"within range","bdl",1,"ok","ok"
"5","77",2.6849451220664,1.03287610754967,38.469170154016,0,0,0,"within range","bdl",1,"High cv rerun","ok"
"6","78",3.05012197195337,0,0,0,0,0,"within range","bdl",1,"ok","ok"
"7","79",22.6479462492208,0.21083495258406,0.93092305264242,222.630520013692,13.3619711880125,6.0018595775596,"within range","high",1,"ok","ok"
"8","81",2.31976827217943,0,0,0,0,0,"within range","within range",1,"ok","ok"
"9","84",10.8405614362087,0.421669905168124,3.88974231315822,334.427890558994,5.24768836652831,1.56915392366254,"within range","high",1,"ok","ok"
"10","85",211.090534495354,3.86073341859909,1.82894672555016,0,0,0,"within range","bdl",1,"ok","ok"
"11","87",488.056450058968,38.2563584206638,7.83851097881025,0,0,0,"within range","bdl",1,"ok","ok"
"12","88",360.493295399741,18.6017155623411,5.16007254495933,0,0,0,"within range","bdl",1,"ok","ok"
"13","89",72.3593993698515,1.40390306130877,1.94018064485718,0,0,0,"within range","bdl",1,"ok","ok"
"14","90",229.455657928783,19.3036670929955,8.4128093712062,0,0,0,"within range","bdl",1,"ok","ok"
"15","91",26.7866172146064,0,0,134.397206131182,14.6185604496145,10.8771312071366,"within range","high",1,"ok","High cv rerun"
"16","92",87.4982173352462,18.6017155623411,21.2595366269799,0,0,0,"within range","bdl",1,"High cv rerun","ok"
"17","72",1.58941457240549,0,0,0,0,0,"within range","bdl",1,"ok","ok"
"18","80",8.04087225374196,0.210834952584062,2.62204081759844,0,0,0,"within range","bdl",1,"ok","ok"
"19","82",5.72808553779115,0.421669905168124,7.36144567650307,0,0,0,"within range","bdl",1,"ok","ok"
"20","83",18.6310009004641,1.52035246440371,8.16033702389996,0,0,0,"within range","bdl",1,"ok","ok"
"21","86",76.1647853065081,2.73370845727651,3.58920260363803,0,0,0,"within range","bdl",1,"ok","ok"
"22","93",72.1939478073882,2.005993586647,2.77861738770533,0,0,0,"within range","bdl",1,"ok","ok"
