"","Wells","Abs1","Abs2","IDs","Dilutions","FE_2_Curve","FE_Tot_Curve"
"1","G10",0.311,0.948,"21",1,"Within range","High"
"2","G11",0.307,0.91,"21",1,"Within range","High"
"3","G12",0.4,0.896,"21",1,"Within range","High"
