"","Wells","Abs1","Abs2","IDs","Dilutions","FE_2_Curve","FE_Tot_Curve"
"1","A10",0.528,1.363,"59",8,"Within range","High"
"2","A11",0.599,1.263,"59",8,"Within range","High"
"3","A12",0.561,1.271,"59",8,"Within range","High"
"4","B10",0.341,0.639,"60",8,"Within range","High"
"5","B11",0.388,0.561,"60",8,"Within range","High"
"6","B12",0.258,0.537,"60",8,"Within range","High"
"7","C10",0.405,0.923,"61",8,"Within range","High"
"8","C11",0.492,0.79,"61",8,"Within range","High"
"9","C12",0.352,0.825,"61",8,"Within range","High"
"10","D10",0.318,0.546,"62",8,"Within range","High"
"11","D11",0.303,0.509,"62",8,"Within range","High"
"12","D12",0.372,0.515,"62",8,"Within range","High"
"13","E10",0.473,0.865,"63",8,"Within range","High"
"14","E11",0.467,0.836,"63",8,"Within range","High"
"15","E12",0.43,0.787,"63",8,"Within range","High"
"16","F10",0.595,1.509,"64",16,"Within range","High"
"17","F11",0.695,1.371,"64",16,"Within range","High"
"18","F12",0.634,1.37,"64",16,"Within range","High"
"19","G07",1.289,1.626,"57",8,"High","High"
"20","G08",1.409,1.69,"57",8,"High","High"
"21","G09",1.34,1.708,"57",8,"High","High"
"22","G10",1.265,1.591,"65",16,"High","High"
"23","G11",1.51,1.691,"65",16,"High","High"
"24","G12",0.947,1.711,"65",16,"Within range","High"
"25","H07",0.332,0.933,"58",8,"Within range","High"
"26","H08",0.575,0.86,"58",8,"Within range","High"
"27","H09",0.613,0.803,"58",8,"Within range","High"
"28","H10",1.17,1.7,"66",16,"High","High"
"29","H11",1.016,1.644,"66",16,"Within range","High"
"30","H12",1.236,1.709,"66",16,"High","High"
