"","IDs","FE_2_mean","FE_2_sd","FE_2_cv","FE_3_mean","FE_3_sd","FE_3_cv","FE_2_flag","FE_3_flag","Dilution","FE_2_cv_flag","FE_3_cv_flag"
"1","117",1.79856529859383,0,0,44.7838987749624,0.504361690424525,1.12621210796971,"within range","within range",1,"ok","ok"
"2","118",0.418408785713162,0,0,4.49876875743432,0.347551341722858,7.72547691295584,"within range","within range",1,"ok","ok"
"3","119",0.76344791393333,0,0,2.97441240731281,0.695102683445714,23.3694117781634,"within range","within range",1,"ok","High cv rerun"
"4","120",0.76344791393333,0,0,3.07293800644879,0.170651343549677,5.55336108934032,"within range","within range",1,"ok","ok"
"5","124",23.5895658079551,1.59366746847095,6.75581518305653,17.4718021202887,16.6824644026972,95.4822192229678,"within range","bdl",8,"ok","High cv rerun"
"6","127",1061.57277208098,87.0901209297844,8.20387666490947,1060.37026480701,320.663898144412,30.2407478582752,"within range","high",8,"ok","High cv rerun"
"7","128",20.8292527821938,1.59366746847094,7.65110244297056,799.910212446108,81.0427650736029,10.1314827355155,"within range","within range",8,"ok","High cv rerun"
"8","129",343.785876796271,6.94663544467313,2.02062851138871,3194.90153834977,55.2801974649832,1.73026294555345,"within range","high",8,"ok","ok"
"9","130",13.00836587587,1.95183605871341,15.0044677197617,0,0,0,"within range","bdl",8,"High cv rerun","ok"
"10","131",3.34727028570529,0,0,2.56734622566518,0,0,"within range","within range",8,"ok","ok"
"11","132",4066.41286102321,7.68442243498132,0.188973001453859,0,0,0,"high","bdl",8,"ok","ok"
"12","134",6.10758331146664,0,0,4.13482641508521,0,0,"within range","within range",8,"ok","ok"
"13","116",6.16906092271596,0.199208433558868,3.2291532869344,689.748624639945,14.2680852799037,2.06859205951324,"within range","high",1,"ok","ok"
"14","121",57.6334264590117,4.21644779410798,7.31597625400022,0,0,0,"within range","bdl",8,"ok","ok"
"15","122",3414.97174067588,201.571361143939,5.90257772101049,0,0,0,"within range","bdl",8,"ok","ok"
"16","123",67.7545742201366,4.21644779410799,6.2231190183686,0,0,0,"within range","bdl",8,"ok","ok"
"17","125",352.986920215475,34.5131126389572,9.77744801928899,0,0,0,"within range","bdl",8,"ok","ok"
"18","126",1897.15619243382,101.580025488991,5.35433117705909,0,0,0,"within range","bdl",8,"ok","ok"
"19","133",3.34727028570529,0,0,0,0,0,"within range","bdl",8,"ok","ok"
"20","135",6318.98637354953,351.964319552929,5.56994901945361,NA,NA,NA,"high",NA,8,"ok",NA
"21","136",8.86789633722799,0,0,0,0,0,"within range","bdl",8,"ok","ok"
