"","Wells","Abs1","Abs2","IDs","Dilutions","FE_2_Curve","FE_Tot_Curve"
"1","A10",0.765,0.889,"175",1,"Within range","High"
"2","A11",0.694,0.95,"175",1,"Within range","High"
"3","A12",0.53,0.897,"175",1,"Within range","High"
"4","B07",0.454,0.821,"169",1,"Within range","High"
"5","B08",0.501,0.931,"169",1,"Within range","High"
"6","B09",0.523,0.864,"169",1,"Within range","High"
"7","B10",0.652,0.666,"176",1,"Within range","High"
"8","B11",0.528,0.667,"176",1,"Within range","High"
"9","B12",0.641,0.649,"176",1,"Within range","High"
"10","C10",0.306,0.536,"177",1,"Within range","High"
"11","C11",0.392,0.532,"177",1,"Within range","High"
"12","C12",0.242,0.51,"177",1,"Within range","High"
"13","E07",0.099,1.509,"172",1,"Within range","High"
"14","E08",0.098,1.568,"172",1,"Within range","High"
"15","E09",0.096,1.59,"172",1,"Within range","High"
"16","E10",0.141,1.415,"179",1,"Within range","High"
"17","E11",0.138,0.917,"179",1,"Within range","High"
"18","E12",0.137,1.26,"179",1,"Within range","High"
"19","F07",0.097,1.523,"172 dup",1,"Within range","High"
"20","F08",0.099,1.379,"172 dup",1,"Within range","High"
"21","F09",0.095,1.534,"172 dup",1,"Within range","High"
