"","Wells","Abs1","Abs2","IDs","Dilutions","FE_2_Curve","FE_Tot_Curve"
"1","A04",0.055,1.385,"116",1,"Within range","High"
"2","A05",0.055,1.355,"116",1,"Within range","High"
"3","A06",0.054,1.33,"116",1,"Within range","High"
"4","C07",0.559,1.191,"126",8,"Within range","High"
"5","C08",0.562,1.042,"126",8,"Within range","High"
"6","C09",0.609,1.099,"126",8,"Within range","High"
"7","C10",1.174,3.086,"132",8,"High","High"
"8","C11",0.752,3.12,"132",8,"Within range","High"
"9","C12",1.177,3.089,"132",8,"High","High"
"10","D07",0.485,1.04,"126 dup",8,"Within range","High"
"11","D08",0.623,1.202,"126 dup",8,"Within range","High"
"12","D09",0.461,0.987,"126 dup",8,"Within range","High"
"13","E07",0.363,1.209,"127",8,"Within range","High"
"14","E08",0.329,1.208,"127",8,"Within range","High"
"15","E09",0.267,1.181,"127",8,"Within range","High"
"16","F07",0.233,0.621,"127 spk",8,"Within range","High"
"17","F08",0.252,0.657,"127 spk",8,"Within range","High"
"18","F09",0.25,0.755,"127 spk",8,"Within range","High"
"19","F10",1.865,NA,"135",8,"High",NA
"20","F11",1.841,NA,"135",8,"High",NA
"21","F12",1.686,3.9,"135",8,"High","High"
"22","G04",0.951,1.485,"122",8,"Within range","High"
"23","G05",1.058,1.586,"122",8,"Within range","High"
"24","G06",0.978,1.515,"122",8,"Within range","High"
"25","H07",0.164,1.097,"129",8,"Within range","High"
"26","H08",0.159,1.102,"129",8,"Within range","High"
"27","H09",0.161,0.885,"129",8,"Within range","High"
