"","Column_Names","Description","Units","Instrument_ifapplicable","Method_ifapplicable"
"1","Project","Project name: Project component","NA","NA","NA"
"2","Region","Region samples originated from: CB = Chesapeake Bay","NA","NA","NA"
"3","Year","Year (YYYY) of sample collection","NA","NA","NA"
"4","Month","Month (#) of sample collection","NA","NA","NA"
"5","Day","Day (#) of sample collection","NA","NA","NA"
"6","Site","Name of sampling transect location (GCW, SWH, MSM, GWI), see dataset locations for coordinates","NA","NA","NA"
"7","Zone","Zone within space-for-time transect (UP=Upland, TR=Transition, WC= Wetland Control, SWAMP = Swamp)","NA","NA","NA"
"8","Sample_ID","Porewater sample ID","NA","NA","NA"
"9","Sampler_Type","Collection device used to sample porewater: RHZ = Rhizon sampler","NA","Rhizosphere Rhizon MOM Soil Moisture Sampler (19.21.21)","NA"
"10","Rep_Number","Rhizon replicate number (# 1-8)","NA","NA","NA"
"11","SO4_ppm","Sulfate concentration","ppm","NA","Sulfate concentration"
"12","Cl_ppm","Chloride concentration","ppm","NA","Chloride concentration"
"13","SO4_mM","Sulfate concentration","umoles/L","NA","Sulfate concentration"
"14","Cl_mM","Chloride concentration","umoles/L","NA","Chloride concentration"
"15","salinity","Salinity","ppt","Calculated with Knudsen equation (Strickland and Parsons, 1972)","Calculated with Knudsen equation (Strickland and Parsons, 1972)"
"16","H2S_mean_uM","Sulfide concentration mean","umoles/L","Agilent BioTek PowerWave Microplate Reader","Adapted from Cline, 1969, Ehrhardt et al., 1999"
"17","H2S_sd_uM","Sulfide concentration standard deviation","umoles/L","Standard deviation of analytical triplicates","Adapted from Cline, 1969, Ehrhardt et al., 1999"
"18","H2S_conc_flag","Sulfide concentration flag (adl = above detection limit (100 umoles/L), bdl = below detection limit (0 umoles/L))","NA","NA","Adapted from Cline, 1969, Ehrhardt et al., 1999"
"19","NH3_mgL","Ammonia (NH3) concentration","mg/L","SEAL Instrument: SEAL AQ300 Discrete Analyzer (https://seal-analytical.com/en/products/discrete-analyzers/aq300-discrete-analyzer/)","EPA-103-A Rev. 10"
"20","NH3_uM","Ammonia (NH3) concentration","umoles/L","SEAL Instrument: SEAL AQ300 Discrete Analyzer (https://seal-analytical.com/en/products/discrete-analyzers/aq300-discrete-analyzer/)","EPA-103-A Rev. 10"
"21","NH3_conc_flag","Ammonia (NH3) concentration flag (adl = above detection limit (2 mg/L), bdl = below detection limit (0.02 mg/L))","NA","NA","EPA-103-A Rev. 10"
"22","PO4_mgL","Phosphate (PO4) concentration","mg/L","SEAL Instrument: SEAL AQ300 Discrete Analyzer (https://seal-analytical.com/en/products/discrete-analyzers/aq300-discrete-analyzer/)","EPA-155-D Rev. 0"
"23","PO4_uM","Phosphate (PO4) concentration","umoles/L","SEAL Instrument: SEAL AQ300 Discrete Analyzer (https://seal-analytical.com/en/products/discrete-analyzers/aq300-discrete-analyzer/)","EPA-155-D Rev. 0"
"24","PO4_conc_flag","Phosphate (PO4) concentration flag (adl = above detection limit (0.3 mg/L), bdl = below detection limit (0.003 mg/L))","NA","NA","EPA-155-D Rev. 0"
"25","NOx_mgL","Nitrate–N + Nitrite–N (NOx) concentration","mg/L","SEAL Instrument: SEAL AQ300 Discrete Analyzer (https://seal-analytical.com/en/products/discrete-analyzers/aq300-discrete-analyzer/)","EPA-160-A Rev. 0"
"26","NOx_uM","Nitrate–N + Nitrite–N (NOx) concentration","umoles/L","SEAL Instrument: SEAL AQ300 Discrete Analyzer (https://seal-analytical.com/en/products/discrete-analyzers/aq300-discrete-analyzer/)","EPA-160-A Rev. 0"
"27","NOx_conc_flag","Nitrate–N + Nitrite–N (NOx) concentration flag (adl = above detection limit (1 mg/L), bdl = below detection limit (0.025 mg/L))","NA","NA","EPA-160-A Rev. 0"
"28","FE_2_mean_uM","Iron (II) concentration mean","umoles/L","Agilent BioTek PowerWave Microplate Reader","Adapted from Stookey, 1970, Violler et al., 2000, Charbonnier & Anschutz 2021, Gong 2020"
"29","FE_2_sd_uM","Iron (II) concentration standard deviation","umoles/L","Agilent BioTek PowerWave Microplate Reader","Adapted from Stookey, 1970, Violler et al., 2000, Charbonnier & Anschutz 2021, Gong 2020"
"30","FE_2_conc_flag","Iron (II) concentration concentration flag (adl = above detection limit (500 umoles/L), bdl = below detection limit (0.6 umoles/L))","NA","NA","Adapted from Stookey, 1970, Violler et al., 2000, Charbonnier & Anschutz 2021, Gong 2020"
"31","FE_3_mean_uM","Iron (III) concentration mean","umoles/L","Agilent BioTek PowerWave Microplate Reader","Adapted from Stookey, 1970, Violler et al., 2000, Charbonnier & Anschutz 2021, Gong 2020"
"32","FE_3_sd_uM","Iron (III) concentration standard deviation","umoles/L","Agilent BioTek PowerWave Microplate Reader","Adapted from Stookey, 1970, Violler et al., 2000, Charbonnier & Anschutz 2021, Gong 2020"
"33","FE_3_conc_flag","Iron (III) concentration concentration flag (adl = above detection limit (500 umoles/L), bdl = below detection limit (0.6 umoles/L))","NA","NA","Adapted from Stookey, 1970, Violler et al., 2000, Charbonnier & Anschutz 2021, Gong 2020"
