Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height	Type
No.	Selected Peak:		min	µg/mL	%	µS*min	µS	
			CD	CD	CD	CD	CD	CD
			IC-Cl	IC-Cl	IC-Cl	IC-Cl	IC-Cl	IC-Cl
1	Lab Blank	Unknown	3.163	0.0179	15.16	0.0216	0.04	 M 
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	3.17	4.9297	93.11	5.9478	54.13	BMB
6	Standard 2	Calibration Standard	3.167	9.9609	93.55	12.0179	108.08	BMB
7	Standard 3	Calibration Standard	3.167	19.5423	93.32	23.5779	209.2	BMB
8	Standard 4	Calibration Standard	3.153	99.6269	93.06	120.2004	1038.2	BMB
9	Standard 5	Calibration Standard	3.147	200.236	92.99	241.5859	2081.28	BMB
10	Lab Blank	Unknown	3.163	0.0199	100	0.024	0.18	BMB
11	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
12	1_GCW_202605_UP_LYSA_10CM	Unknown	3.17	0.9972	0.28	0.0241	0.29	bMb*
13	2_GCW_202605_TR_LYSA_10CM	Unknown	3.167	121.6319	25.67	2.935	27.8	bMb*
14	3_GCW_202605_TR_LYSA_20CM	Unknown	3.17	54.5721	12.01	1.3168	12.55	bMb*
15	4_GCW_202605_TR_LYSA_45CM	Unknown	3.167	213.9301	40.39	5.1622	48.21	bMb*
16	5_GCW_202605_TR_LYSB_10CM	Unknown	3.17	714.1374	65.8	17.2322	156.46	bMB*^
17	6_GCW_202605_TR_LYSB_20CM	Unknown	3.167	249.1996	41	6.0132	56.19	bMb*
18	7_GCW_202605_TR_LYSB_45CM	Unknown	3.163	725.6694	64.8	17.5105	159.02	 MB*^
19	8_GCW_202605_TR_LYSC_10CM	Unknown	3.163	497.817	54.97	12.0124	110.01	bMb*
20	9_GCW_202605_TR_LYSC_20CM	Unknown	3.163	532.964	57.06	12.8605	117.62	bMb*
21	10_GCW_202605_TR_LYSC_45CM	Unknown	3.17	1073.8836	74.5	25.9129	232.45	bMB*^
22	10_GCW_202605_TR_LYSC_45CM_dup	Unknown	3.167	1072.0378	74.47	25.8684	232.02	bMB*^
23	11_GCW_202605_WC_LYSA_10CM	Unknown	3.16	5321.3045	84.35	64.2018	558.8	 MB
24	11_GCW_202605_WC_LYSA_10CM_spk	Spiked	3.153	5183.6002	82.58	62.5404	544.61	 MB
25	Standard 1	Check Standard	3.163	4.9551	92.87	5.9783	54.46	BMB
26	Lab Blank	Unknown	3.17	0.0273	19.61	0.0329	0.07	 M 
27	12_GCW_202605_WC_LYSA_20CM	Unknown	3.177	5808.3417	85.67	70.078	605.77	 MB
