"","IDs","H2S_mean","H2S_sd","H2S_cv","abs_mean","Conc_mean","QAQC_flag","Dilution","H2S_cv_flag","H2S_flag","Top_STD"
"1","12",5197.45604526369,523.451956112715,10.0713108789005,1.26166666666667,5197.45604526369,"",50,"High CV","adl",100
"2","15",4912.073807129,309.909947532694,6.30914680237326,1.19766666666667,4912.073807129,"",50,"Within range","adl",100
"3","19",220.83692927461,2.9877062262362,1.35290154416203,2.57233333333333,220.83692927461,"",1,"Within range","adl",100
"4","20",236.503225055546,2.42437155882808,1.02509027445976,2.748,236.503225055546,"",1,"Within range","adl",100
"5","6",5099.35590090489,319.762166710114,6.27063834970552,1.23966666666667,5099.35590090489,"",50,"Within range","adl",100
