"","IDs","H2S_mean","H2S_sd","H2S_cv","abs_mean","Conc_mean","QAQC_flag","Dilution","H2S_cv_flag","H2S_flag"
"1","38",1061.39152773064,44.0025456383469,4.14574117926386,0.33,1061.39152773064,"MC 10 out of range",50,"Within range","Within_Range"
"2","38 Dup",1290.3053374639,34.5734287158439,2.67947653257005,0.3815,1290.3053374639,"MC 10 out of range",50,"Within range","Within_Range"
"3","45",2010.38372924618,15.715194870838,0.781701256442751,0.5435,2010.38372924618,"MC 10 out of range",50,"Within range","Within_Range"
"4","91",54.6152577387428,15.7151948708381,28.7743673132757,0.1035,54.6152577387428,"MC 10 out of range",50,"High CV","Within_Range"
"5","July_34",1.22565300510491,0,0,0.105,1.22565300510491,"MC 10 out of range",1,"Within range","Within_Range"
"6","20",1850.36630885012,128.864597940873,6.96427498298723,0.5075,1850.36630885012,"MC 10 out of range",50,"Within range","Within_Range"
"7","39",719.132045216837,56.5747015350174,7.86708114473728,0.253,719.132045216837,"MC 10 out of range",50,"Within range","Within_Range"
"8","43",2094.83736778854,47.145584612514,2.25056060854424,0.5625,2094.83736778854,"MC 10 out of range",50,"Within range","Within_Range"
"9","116",0,0,0,0.0673333333333333,-2.12285968096085,"MC 10 out of range",1,"Within range","bdl"
"10","117",0,0,0,0.0663333333333333,-2.21175824784755,"MC 10 out of range",1,"Within range","bdl"
"11","118",0,0,0,0.0673333333333333,-2.12285968096085,"MC 10 out of range",1,"Within range","bdl"
"12","119",0,0,0,0.062,-2.59698537102326,"MC 10 out of range",1,"Within range","bdl"
"13","120",0,0,0,0.0643333333333333,-2.38955538162096,"MC 10 out of range",1,"Within range","bdl"
"14","121",0,0,0,0.0676666666666667,-2.09322682533195,"MC 10 out of range",1,"Within range","bdl"
"15","122",0,0,0,0.0666666666666667,-2.18212539221865,"MC 10 out of range",1,"Within range","bdl"
"16","123",0,0,0,0.068,-2.06359396970305,"MC 10 out of range",1,"Within range","bdl"
"17","124",0,0,0,0.0713333333333333,-1.76726541341405,"MC 10 out of range",1,"Within range","bdl"
"18","19",2070.3902618947,338.603193257749,16.3545588235079,0.557,2070.3902618947,"MC 10 out of range",50,"High CV","Within_Range"
"19","36",2504.51159685809,347.311732384892,13.8674435694606,0.654666666666667,2504.51159685809,"MC 10 out of range",50,"High CV","Within_Range"
"20","39 Spike",785.805970381864,59.8003948608659,7.61007132992459,0.268,785.805970381864,"MC 10 out of range",50,"Within range","Within_Range"
"21","44",2538.58938083133,156.79533300108,6.1764747849742,0.662333333333333,2538.58938083133,"MC 10 out of range",50,"Within range","Within_Range"
"22","98",74.6174352882507,24.7483136309219,33.1669314756237,0.108,74.6174352882507,"MC 10 out of range",50,"High CV","Within_Range"
"23","July_42",236.629058121091,11.4961349904122,4.85829385524125,2.753,236.629058121091,"MC 10 out of range",1,"Within range","adl"
"24","July_44",3.38885146601465,0.336564542281716,9.93152239503498,0.129333333333333,3.38885146601465,"MC 10 out of range",1,"Within range","Within_Range"
