"","IDs","H2S_mean","H2S_sd","H2S_cv","abs_mean","Conc_mean","QAQC_flag","Dilution","H2S_cv_flag","H2S_flag"
"1","80 Spike",1.03651098448744,0,0,0.115,1.03651098448744,"",1,"Within range","Within_Range"
"2","82",15.9175114042472,1.41117489840231,8.86554978704628,0.2865,15.9175114042472,"",1,"Within range","Within_Range"
"3","83",5.50514959450277,0.429488012557225,7.80156842578983,0.1665,5.50514959450277,"",1,"Within range","Within_Range"
"4","72",2.72851977857092,0.552198873287861,20.2380381342546,0.1345,2.72851977857092,"",1,"High CV","Within_Range"
"5","79",8.3685490921825,0.552198873287859,6.59850192913007,0.1995,8.3685490921825,"",1,"Within range","Within_Range"
"6","85",19.6486077194057,1.77930748059421,9.05564152943471,0.3295,19.6486077194057,"",1,"Within range","Within_Range"
"7","87",27.9784971672012,0.552198873287861,1.97365451756714,0.4255,27.9784971672012,"",1,"Within range","Within_Range"
"8","67",0,0,0,0.0613333333333333,-90.5032150662068,"",25,"Within range","bdl"
"9","68",0,0,0,0.078,-2.17396724018376,"",1,"Within range","bdl"
"10","69",0,0,0,0.0713333333333333,-2.75243178516957,"",1,"Within range","bdl"
"11","70",0,0,0,0.077,-2.26073692193163,"",1,"Within range","bdl"
"12","71",0,0,0,0.0636666666666667,-3.41766601190324,"",1,"Within range","bdl"
"13","73",0,0,0,0.0636666666666667,-3.41766601190324,"",1,"Within range","bdl"
"14","74",0,0,0,0.0613333333333333,-3.62012860264827,"",1,"Within range","bdl"
"15","75",0,0,0,0.065,-3.30197310290608,"",1,"Within range","bdl"
"16","76",7.48639066107915,1.86974738892566,24.9752848010759,0.189333333333333,7.48639066107915,"",1,"High CV","Within_Range"
"17","77",0,0,0,0.071,-2.78135501241886,"",1,"Within range","bdl"
"18","78",0,0,0,0.0666666666666667,-3.15735696665963,"",1,"Within range","bdl"
"19","79 Dup",8.61439652380146,0.557851004945978,6.47579901162714,0.202333333333333,8.61439652380146,"",1,"Within range","Within_Range"
"20","80",0,0,0,0.069,-2.9548943759146,"",1,"Within range","bdl"
"21","81",10.9282547037447,0.08676968174787,0.793993955120185,0.229,10.9282547037447,"",1,"Within range","Within_Range"
"22","84",NA,NA,NA,0.395666666666667,NA,"",25,NA,NA
"23","86",17.1178253350928,1.71209870425082,10.0018470263328,0.300333333333333,17.1178253350928,"",1,"High CV","Within_Range"
"24","88",28.5714233258117,0.530171512849127,1.8556006356539,0.432333333333333,28.5714233258117,"",1,"Within range","Within_Range"
