"","IDs","H2S_mean","H2S_sd","H2S_cv","abs_mean","Conc_mean","QAQC_flag","Dilution","H2S_cv_flag","H2S_flag"
"1","101",25.4171257591823,2.13868870289056,8.41436094369532,0.3895,25.4171257591823,"MC 20 out of range",1,"Within range","Within_Range"
"2","102 Spike",6.98364307317956,0.693628768505047,9.93219099597034,0.164,6.98364307317956,"MC 20 out of range",1,"Within range","Within_Range"
"3","104",29.2182652044112,0.115604794750841,0.395659338232673,0.436,29.2182652044112,"MC 20 out of range",1,"Within range","Within_Range"
"4","97",22.9647777300023,2.36989829239224,10.3197092532539,0.3595,22.9647777300023,"MC 20 out of range",1,"High CV","Within_Range"
"5","102",1.54760494183065,0.173407192126262,11.2048745412469,0.0975,1.54760494183065,"MC 20 out of range",1,"High CV","Within_Range"
"6","105",13.5232378176595,0.693628768505047,5.12916194965724,0.244,13.5232378176595,"MC 20 out of range",1,"Within range","Within_Range"
"7","100",0.229761043872553,0.397957801587324,173.205080756888,0.079,0.035323657169671,"MC 20 out of range",1,"High CV","Within_Range"
"8","101 Dup",23.38712655725,1.75767450085502,7.51556415685512,0.364666666666667,23.38712655725,"MC 20 out of range",1,"Within range","Within_Range"
"9","103",11.6703526400568,1.03507724203508,8.86928847790194,0.221333333333333,11.6703526400568,"MC 20 out of range",1,"Within range","Within_Range"
"10","106",0,0,0,0.0663333333333333,-1.00011217737298,"MC 20 out of range",1,"Within range","bdl"
"11","107",0,0,0,0.0643333333333333,-1.16360204598498,"MC 20 out of range",1,"Within range","bdl"
"12","108",0,0,0,0.0643333333333333,-1.16360204598498,"MC 20 out of range",1,"Within range","bdl"
"13","109",12.6785401631641,1.02208412561794,8.0615284761843,0.233666666666667,12.6785401631641,"MC 20 out of range",1,"Within range","Within_Range"
"14","110",18.48243049889,1.29336227817315,6.99779327318895,0.304666666666667,18.48243049889,"MC 20 out of range",1,"Within range","Within_Range"
"15","89",22.8694086399786,1.82848148849647,7.99531600174413,0.358333333333333,22.8694086399786,"MC 20 out of range",1,"Within range","Within_Range"
"16","90",10.7166617398202,0.759539044362924,7.08745934884449,0.209666666666667,10.7166617398202,"MC 20 out of range",1,"Within range","Within_Range"
"17","91",118.102257106467,5.60256029388589,4.74382152479549,1.52333333333333,118.102257106467,"MC 20 out of range",1,"Within range","adl"
"18","92",18.6731686789374,0.617160719932374,3.30506691469299,0.307,18.6731686789374,"MC 20 out of range",1,"Within range","Within_Range"
"19","93",9.89921239676018,0.262773199309121,2.65448592046698,0.199666666666667,9.89921239676018,"MC 20 out of range",1,"Within range","Within_Range"
"20","94",113.987762079732,7.1277645350077,6.25309630170825,1.473,113.987762079732,"MC 20 out of range",1,"Within range","adl"
"21","95",22.6241738370606,1.14540182085933,5.06273435268187,0.355333333333333,22.6241738370606,"MC 20 out of range",1,"Within range","Within_Range"
"22","96",4.64028828974093,0.0943909196529134,2.03416067621487,0.135333333333333,4.64028828974093,"MC 20 out of range",1,"Within range","Within_Range"
"23","98",107.502663958123,2.96693949455793,2.75987532338147,1.39366666666667,107.502663958123,"MC 20 out of range",1,"Within range","adl"
"24","99",15.1853848152148,0.793950523766615,5.22838593442248,0.264333333333333,15.1853848152148,"MC 20 out of range",1,"Within range","Within_Range"
