"","IDs","H2S_mean","H2S_sd","H2S_cv","abs_mean","Conc_mean","QAQC_flag","Dilution","H2S_cv_flag","H2S_flag","Top_STD"
"1","24",105.054545394599,1.40409012714401,1.3365343897021,1.10766666666667,105.054545394599,"Std curve r2 low",1,"Within range","adl",100
"2","27",119.752015219298,2.68400349250744,2.24130131554973,1.24666666666667,119.752015219298,"Std curve r2 low",1,"Within range","adl",100
