"","ID_full","H2S_mean","H2S_sd","H2S_cv","IDs","Plate","QAQC_flag","Dilution","H2S_cv_flag","H2S_flag"
"1","Plate1_1_11",28.8202137854949,4.66754943961619,16.1954018605002,"11","Plate1","MC 20 out of range",1,"High CV","Within Range"
"2","Plate1_1_12",4.37770734200107,0.947039016733721,21.6332190059289,"12","Plate1","MC 20 out of range",1,"High CV","Within Range"
"3","Plate1_1_3",4.47337272925545,0.541165152419269,12.0974751082131,"3","Plate1","MC 20 out of range",1,"High CV","Within Range"
"4","Plate1_1_9",9.49580556011035,1.01468466078613,10.685609076165,"9","Plate1","MC 20 out of range",1,"High CV","Within Range"
"5","Plate2_1_23",2.847061145931,0.947039016733719,33.2637399827966,"23","Plate2","Std curve r2 low",1,"High CV","Within Range"
"6","Plate2_1_31",0.742422626334663,0.270582576209635,36.4458957218881,"31","Plate2","Std curve r2 low",1,"High CV","Within Range"
"7","Plate2_1_36 Spike",9.7349690282463,2.02936932157226,20.846181592196,"36 Spike","Plate2","Std curve r2 low",1,"High CV","Within Range"
"8","Plate2_1_44",1.5077457243697,0.270582576209635,17.9461677016362,"44","Plate2","Std curve r2 low",1,"High CV","Within Range"
"9","Plate4_250_13 Dup",5602.65820986288,625.722207484779,11.1683094710875,"13 Dup","Plate4","Std curve r2 low; MC 10 out of range",250,"High CV","Within Range"
"10","Plate4_50_15",493.923355456393,98.0861838759924,19.858583886028,"15","Plate4","Std curve r2 low; MC 10 out of range",50,"High CV","Within Range"
"11","Plate4_50_35",417.39104565289,43.9696686340656,10.5344063060307,"35","Plate4","Std curve r2 low; MC 10 out of range",50,"High CV","Within Range"
"12","Plate4_50_38",2036.52772493326,324.699091451561,15.9437599339436,"38","Plate4","Std curve r2 low; MC 10 out of range",50,"High CV","Within Range"
"13","Plate5_1_27",0.311928383689957,0.202936932157226,65.0588220785116,"27","Plate5","Std curve r2 low",1,"High CV","Within Range"
"14","Plate6_1_32",2.03390535426878,1.01468466078613,49.8884895826888,"32","Plate6","",1,"High CV","Within Range"
"15","Plate6_250_10",5363.49474172694,761.013495589596,14.1887618471789,"10","Plate6","",250,"High CV","Within Range"
