"","Project","Region","Site","Zone","Replicate","Depth_cm","Sample_ID","Year","Month","Day","Time","Time_Zone","npoc_mgL","npoc_uM","npoc_flag","tdn_mgL","tdn_uM","tdn_flag","Analysis_runtime","Run_notes","Field_notes"
"1","COMPASS: Synoptic","CB","MSM","UP","B",10,"202308_MSM_UP_LysB_10cm",2023,8,17,NA,NA,32.22,2682.54100407959,"",0.7694,54.9308545196227,"","9/2/2023 8:17:35 AM","NA",""
"2","COMPASS: Synoptic","CB","MSM","UP","B",20,"202308_MSM_UP_LysB_20cm",2023,8,17,NA,NA,24.39,2030.63858130047,"",1.783,127.296222522079,"","9/2/2023 8:42:06 AM","NA",""
"3","COMPASS: Synoptic","CB","MSM","UP","B",45,"202308_MSM_UP_LysB_45cm",2023,8,17,NA,NA,24.96,2078.09507951045,"",1.75,124.940207186561,"","9/2/2023 9:08:28 AM","NA",""
"4","COMPASS: Synoptic","CB","MSM","UP","C",10,"202308_MSM_UP_LysC_10cm",2023,8,17,NA,NA,42.87,3569.22820747648,"",1.125,80.3187046199319,"","9/2/2023 9:34:14 AM","NA",""
"5","COMPASS: Synoptic","CB","MSM","UP","C",20,"202308_MSM_UP_LysC_20cm",2023,8,17,NA,NA,35.41,2948.13088002664,"",2.929,209.114209628249,"","9/2/2023 11:04:12 AM","NA",""
"6","COMPASS: Synoptic","CB","SWH","UP","A",10,"202308_SWH_UP_LysA_10cm",2023,8,23,NA,NA,9.022,751.144783948048,"",0.9562,68.2673292067368,"","9/3/2023 12:08:57 AM","NA",""
"7","COMPASS: Synoptic","CB","SWH","UP","A",20,"202308_SWH_UP_LysA_20cm",2023,8,23,NA,NA,9.002,749.479643659979,"",1.812,129.36666024117,"","9/3/2023 12:19:03 AM","NA",""
"8","COMPASS: Synoptic","CB","SWH","UP","A",45,"202308_SWH_UP_LysA_45cm",2023,8,23,NA,NA,10.55,878.36150195654,"",1.72,122.798375063363,"","9/3/2023 3:00:00 AM","NA",""
"9","COMPASS: Synoptic","CB","SWH","UP","B",10,"202308_SWH_UP_LysB_10cm",2023,8,23,NA,NA,12.32,1025.72641745067,"",1.456,103.950252379219,"","9/3/2023 3:20:47 AM","NA",""
"10","COMPASS: Synoptic","CB","SWH","UP","B",20,"202308_SWH_UP_LysB_20cm",2023,8,23,NA,NA,18.42,1533.5942053118,"",1.831,130.723153919196,"","9/3/2023 3:38:14 AM","NA",""
"11","COMPASS: Synoptic","CB","SWH","UP","B",45,"202308_SWH_UP_LysB_45cm",2023,8,23,NA,NA,6.641,552.909832653401,"",1.031,73.6076306339109,"","9/3/2023 4:02:54 AM","NA",""
"12","COMPASS: Synoptic","CB","SWH","UP","C",20,"202308_SWH_UP_LysC_20cm",2023,8,23,NA,NA,8.416,700.691033219549,"",0.9859,70.387743008703,"","9/3/2023 5:22:04 AM","NA",""
"13","COMPASS: Synoptic","CB","SWH","UP","C",45,"202308_SWH_UP_LysC_45cm",2023,8,23,NA,NA,12.65,1053.20123220381,"",1.497,106.877422947589,"","9/3/2023 5:47:55 AM","NA",""
"14","COMPASS: Synoptic","CB","GWI","UP","A",20,"202308_GWI_UP_LysA_20cm",2023,8,24,NA,NA,28.93,2408.6254266922,"",0.8969,64.033641043215,"","9/3/2023 12:42:33 PM","NA",""
"15","COMPASS: Synoptic","CB","GWI","UP","A",45,"202308_GWI_UP_LysA_45cm",2023,8,24,NA,NA,18.01,1499.45882940638,"",0.713,50.9042101280102,"","9/3/2023 1:07:20 PM","NA",""
"16","COMPASS: Synoptic","CB","GWI","UP","B",10,"202308_GWI_UP_LysB_10cm",2023,8,24,NA,NA,28.75,2393.63916409958,"",0.9153,65.3472980787766,"","9/3/2023 1:32:28 PM","NA",""
"17","COMPASS: Synoptic","CB","GWI","UP","B",20,"202308_GWI_UP_LysB_20cm",2023,8,24,NA,NA,53.86,4484.22279577054,"",1.443,103.022125125833,"","9/3/2023 1:59:38 PM","NA",""
"18","COMPASS: Synoptic","CB","GWI","UP","C",10,"202308_GWI_UP_LysC_10cm",2023,8,24,NA,NA,48.74,4057.94688202481,"",1.473,105.163957249031,"","9/3/2023 3:25:24 PM","NA",""
"19","COMPASS: Synoptic","CB","GWI","UP","C",20,"202308_GWI_UP_LysC_20cm",2023,8,24,NA,NA,115.8,9641.16226792107,"value above cal curve",3.056,218.181298949788,"value above cal curve","9/3/2023 3:53:35 PM","NA",""
"20","COMPASS: Synoptic","CB","GCW","TR","A",20,"202308_GCW_TR_LysA_20cm",2023,8,15,NA,NA,52.45,4366.83040546166,"",2.412,172.203302705134,"","9/2/2023 12:52:17 AM","NA",""
