,1,2,3,4,5,6,7,8,9,10,11,12
A,0.062,0.057,0.055,0.057,0.059,0.059,1.04,0.986,0.968,0.528,0.511,0.511
B,0.117,0.149,0.123,0.073,0.056,0.063,1.054,1.113,1.308,0.803,0.936,0.81
C,0.304,0.243,0.214,0.057,0.06,0.058,0.724,0.623,0.586,0.057,0.065,0.057
D,0.451,0.401,0.422,0.059,0.066,0.059,0.857,0.863,0.822,0.057,0.057,0.06
E,0.628,0.766,0.747,0.063,0.064,0.065,0.588,0.751,0.701,0.056,0.059,0.059
F,1.171,1.277,1.182,0.057,0.058,0.058,0.794,0.717,0.811,0.063,0.058,0.059
G,1.153,1.296,1.231,0.059,0.063,0.057,0.559,0.484,0.546,0.06,0.061,0.059
H,1.209,1.12,1.172,0.798,0.81,0.763,0.699,0.788,0.741,0.059,0.062,0.062
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,GCW_TR_A_10,GCW_TR_A_10,GCW_TR_A_10,GCW_WC_A_20,GCW_WC_A_20,GCW_WC_A_20,GCW_WC_C_20,GCW_WC_C_20,GCW_WC_C_20
B,Std 1,Std 1,Std 1,GCW_TR_A_20,GCW_TR_A_20,GCW_TR_A_20,GCW_WC_A_45,GCW_WC_A_45,GCW_WC_A_45,GCW_WC_C_45,GCW_WC_C_45,GCW_WC_C_45
C,Std 2,Std 2,Std 2,GCW_TR_B_10,GCW_TR_B_10,GCW_TR_B_10,GCW_WC_B_10,GCW_WC_B_10,GCW_WC_B_10,GCW_SW_A,GCW_SW_A,GCW_SW_A
D,Std 3,Std 3,Std 3,GCW_TR_B_20,GCW_TR_B_20,GCW_TR_B_20,GCW_WC_B_20,GCW_WC_B_20,GCW_WC_B_20,GCW_SW_B,GCW_SW_B,GCW_SW_B
E,Std 4,Std 4,Std 4,GCW_TR_B_45,GCW_TR_B_45,GCW_TR_B_45,GCW_WC_B_45,GCW_WC_B_45,GCW_WC_B_45,GCW_SW_C,GCW_SW_C,GCW_SW_C
F,Std 5,Std 5,Std 5,GCW_TR_C_20,GCW_TR_C_20,GCW_TR_C_20,GCW_WC_B_45 dup,GCW_WC_B_45 dup,GCW_WC_B_45 dup,MSM_UP_A_10,MSM_UP_A_10,MSM_UP_A_10
G,MC: 10ppt S5,MC: 10ppt S5,MC: 10ppt S5,GCW_TR_C_45,GCW_TR_C_45,GCW_TR_C_45,GCW_WC_C_10,GCW_WC_C_10,GCW_WC_C_10,MSM_UP_A_20,MSM_UP_A_20,MSM_UP_A_20
H,MC: 20ppt S5,MC: 20ppt S5,MC: 20ppt S5,GCW_WC_A_10,GCW_WC_A_10,GCW_WC_A_10,GCW_WC_C_10 spk,GCW_WC_C_10 spk,GCW_WC_C_10 spk,MSM_UP_A_45,MSM_UP_A_45,MSM_UP_A_45
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,50,50,50,50,50,50
B,1,1,1,1,1,1,50,50,50,50,50,50
C,1,1,1,1,1,1,50,50,50,1,1,1
D,1,1,1,1,1,1,50,50,50,1,1,1
E,1,1,1,1,1,1,50,50,50,1,1,1
F,1,1,1,1,1,1,50,50,50,1,1,1
G,1,1,1,1,1,1,50,50,50,1,1,1
H,1,1,1,50,50,50,50,50,50,1,1,1
