"","Year","Site","Zone_1","Depth","min_mV","max_mV","mean_mV"
"1",2021,"SWH","Upland",10,151.68,151.68,151.68
"2",2021,"SWH","Upland",20,90.86,90.86,90.86
"3",2021,"SWH","Upland",35,-106.36,-106.36,-106.36
"4",2021,"SWH","Swamp",10,-123.3,-123.3,-123.3
"5",2021,"SWH","Swamp",20,-153.74,-153.74,-153.74
"6",2021,"SWH","Swamp",35,-123.8,-123.8,-123.8
"7",2022,"GCW","Upland",10,264.45,373.55,325.1528
"8",2022,"GCW","Upland",20,367.5333,461.35,432.6889
"9",2022,"GCW","Upland",30,366.6,480.7,437.0556
"10",2022,"GCW","Upland",35,473.5,475.4667,474.4833
"11",2022,"GCW","Transition",10,-146.3833,54.6,-23.3194
"12",2022,"GCW","Transition",20,-145.6667,-43.2333,-98.7222
"13",2022,"GCW","Transition",35,-182.5333,-102.0667,-136.4611
"14",2022,"GCW","Wetland",10,-282.8,-190.2333,-226.1972
"15",2022,"GCW","Wetland",20,-292.3167,-258.7333,-275.8417
"16",2022,"GCW","Wetland",35,-317.6833,-196.3167,-270.2111
"17",2022,"MSM","Upland",10,53.85,304.0333,143.8671
"18",2022,"MSM","Upland",20,69.34,306.8333,181.7843
"19",2022,"MSM","Upland",35,96,309,198.2319
"20",2022,"MSM","Transition",10,-174.7667,207.72,19.6314
"21",2022,"MSM","Transition",20,-222.45,-25.42,-103.729
"22",2022,"MSM","Transition",35,-145.3667,5.7167,-82.2126
"23",2022,"MSM","Wetland",10,-296.4833,-97.52,-199.879
"24",2022,"MSM","Wetland",20,-405.6167,-84.38,-250.7448
"25",2022,"MSM","Wetland",35,-281.1667,-116.98,-243.2471
"26",2022,"GWI","Upland",10,270.5,349.3667,323.9667
"27",2022,"GWI","Upland",20,349.8167,403.9,370.5872
"28",2022,"GWI","Upland",35,246.5,403.1667,339.7028
"29",2022,"GWI","Transition",10,-124.6667,46.35,-3.8683
"30",2022,"GWI","Transition",20,-96.4667,10.46,-36.24
"31",2022,"GWI","Transition",35,-45,5.2,-20.9389
"32",2022,"GWI","Wetland",10,1.1333,77.4167,50.8056
"33",2022,"GWI","Wetland",20,-106.8333,15.4,-37.3583
"34",2022,"GWI","Wetland",35,-139.3333,-2.78,-58.6744
"35",2023,"SWH","Upland",10,-112.1167,396.7333,289.368
"36",2023,"SWH","Upland",20,26.6167,437.2667,346.1353
"37",2023,"SWH","Upland",35,-18.2667,471.3833,250.7353
"38",2023,"SWH","Swamp",10,-138.0833,90.8,-36.6733
"39",2023,"SWH","Swamp",20,-188.1667,-72.4,-102.9067
"40",2023,"SWH","Swamp",35,-193.5333,-67.78,-105.896
"41",2023,"SWH","Transition-Hummock",10,-36.85,269.4,127.1967
"42",2023,"SWH","Transition-Hummock",20,-72.1833,64.3,-5.306
"43",2023,"SWH","Transition-Hummock",35,-170.7333,-146.12,-160.3013
"44",2023,"SWH","Transition-Hollow",10,-177.85,-40.04,-123.6467
"45",2023,"SWH","Transition-Hollow",20,-175.8667,-80.7,-140.1056
"46",2023,"SWH","Transition-Hollow",35,-174.0167,-147.86,-158.5867
"47",2023,"SWH","Wetland",10,-124.4667,-21.58,-85.1575
"48",2023,"SWH","Wetland",20,-117.7667,-34.54,-69.9808
"49",2023,"SWH","Wetland",35,-126.1333,-49.7,-69.3483
"50",2023,"GCW","Upland",10,222.1167,387.3333,335.3861
"51",2023,"GCW","Upland",20,352.9667,443.075,414.5883
"52",2023,"GCW","Upland",35,453.6167,473.4,463.5083
"53",2023,"GCW","Transition",10,-101.5667,210.35,47.7472
"54",2023,"GCW","Transition",20,-116,92.1,-46.9611
"55",2023,"GCW","Transition",35,-144.4833,53.1,-72.1911
"56",2023,"GCW","Wetland",10,-263.9,-198.7,-240.1289
"57",2023,"GCW","Wetland",20,-272.0667,-228.3833,-259.0811
"58",2023,"GCW","Wetland",35,-291.9833,-262.8,-278.4728
"59",2023,"MSM","Upland",10,113.5833,319.4667,259.2886
"60",2023,"MSM","Upland",20,142.7167,381.65,243.6708
"61",2023,"MSM","Upland",35,118.1333,391.8667,241.8833
"62",2023,"MSM","Transition",10,-95.8,29.8667,-30.9248
"63",2023,"MSM","Transition",20,-121.3667,-47.88,-93.921
"64",2023,"MSM","Transition",30,-99.8833,-99.8833,-99.8833
"65",2023,"MSM","Transition",35,-94.9833,-36.9,-70.5
"66",2023,"MSM","Wetland",10,-279.525,-169.3,-247.8774
"67",2023,"MSM","Wetland",20,-284.7,-202.0333,-254.6881
"68",2023,"MSM","Wetland",30,-278.875,-278.875,-278.875
"69",2023,"MSM","Wetland",35,-272.3167,-245.3667,-257.8172
"70",2023,"GWI","Upland",10,173.3333,343.7833,300.6661
"71",2023,"GWI","Upland",20,222.2667,380.6167,327.9328
"72",2023,"GWI","Upland",35,284.3,465.2167,351.3778
"73",2023,"GWI","Transition",10,-37.85,233.7667,32.1972
"74",2023,"GWI","Transition",20,-83.28,164.1667,-16.2939
"75",2023,"GWI","Transition",35,-85.55,-19.7333,-41.9372
"76",2023,"GWI","Wetland",10,-46.0833,197.0333,32.5539
"77",2023,"GWI","Wetland",20,-52.6833,13.8167,-16.9408
"78",2023,"GWI","Wetland",35,-57.3,-24.3667,-35.8106
"79",2024,"SWH","Upland",10,98.1667,386.42,283.7922
"80",2024,"SWH","Upland",20,-67.82,366.4,129.9017
"81",2024,"SWH","Upland",35,-223.46,275.46,-24.6683
"82",2024,"SWH","Swamp",10,-145.84,-19.56,-83.8339
"83",2024,"SWH","Swamp",20,-165.02,-56.1167,-109.2217
"84",2024,"SWH","Swamp",35,-192,-25.2667,-113.67
"85",2024,"SWH","Transition-Hummock",10,-226.66,145.15,6.84
"86",2024,"SWH","Transition-Hummock",20,-344.96,58.0167,-90.5612
"87",2024,"SWH","Transition-Hummock",30,-176.9,-176.9,-176.9
"88",2024,"SWH","Transition-Hummock",35,-330.98,-121.18,-167.2046
"89",2024,"SWH","Transition-Hollow",10,-252.86,-152.4667,-186.0653
"90",2024,"SWH","Transition-Hollow",20,-299.18,-158.95,-211.178
"91",2024,"SWH","Transition-Hollow",35,-308.24,-168.34,-210.2387
"92",2024,"SWH","Wetland",10,-353.02,-24.18,-114.44
"93",2024,"SWH","Wetland",20,-248.7,-50.32,-106.9721
"94",2024,"SWH","Wetland",35,-289.74,-39.5,-115.08
"95",2024,"GCW","Upland",10,156.8667,385.1,328.305
"96",2024,"GCW","Upland",20,210,432.9167,357.8389
"97",2024,"GCW","Upland",30,440.075,440.075,440.075
"98",2024,"GCW","Upland",35,489.1333,489.1333,489.1333
"99",2024,"GCW","Transition",10,-219.2833,334.95,35.2513
"100",2024,"GCW","Transition",20,-244.02,250.84,3.4133
"101",2024,"GCW","Transition",35,-309.7167,150.42,-101.5008
"102",2024,"GCW","Wetland",10,-365.58,-139.32,-239.4854
"103",2024,"GCW","Wetland",20,-362.36,-102.04,-247.2671
"104",2024,"GCW","Wetland",35,-298.95,-204.16,-273.0817
"105",2024,"MSM","Upland",10,-72.02,299.88,115.9405
"106",2024,"MSM","Upland",20,-10.12,311.9833,188.3151
"107",2024,"MSM","Upland",30,26.48,26.48,26.48
"108",2024,"MSM","Upland",35,-55.5833,360.3,135.0867
"109",2024,"MSM","Transition",10,-211.4,16.4333,-89.9279
"110",2024,"MSM","Transition",20,-351.58,-50.66,-130.0642
"111",2024,"MSM","Transition",30,-459.24,-51.62,-255.43
"112",2024,"MSM","Transition",35,-169.0333,-60.76,-111.7744
"113",2024,"MSM","Wetland",10,-264.2,-185,-220.7317
"114",2024,"MSM","Wetland",20,-287.64,-202.92,-242.6337
"115",2024,"MSM","Wetland",30,-258.8,-207.35,-238.4333
"116",2024,"MSM","Wetland",35,-277.5167,-239.74,-261.1462
"117",2024,"GWI","Upland",10,95.18,385.52,283.8371
"118",2024,"GWI","Upland",20,-41.22,392.7833,226.2638
"119",2024,"GWI","Upland",35,-107.32,365.95,224.2738
"120",2024,"GWI","Transition",10,-136.76,155.32,23.91
"121",2024,"GWI","Transition",20,-151.8,119.72,-40.3143
"122",2024,"GWI","Transition",35,-188.82,24.78,-75.3881
"123",2024,"GWI","Wetland",10,-204.9,287.58,-3.4986
"124",2024,"GWI","Wetland",20,-133.08,282.78,-8.9495
"125",2024,"GWI","Wetland",30,-179.56,-179.56,-179.56
"126",2024,"GWI","Wetland",35,-77.92,162.68,-4.125
"127",2025,"SWH","Upland",10,-301.08,127.28,-60.4
"128",2025,"SWH","Upland",20,-311.8,12.48,-149.66
"129",2025,"SWH","Upland",25,66.96,66.96,66.96
"130",2025,"SWH","Upland",30,63.16,63.16,63.16
"131",2025,"SWH","Upland",35,-310.16,-18.32,-164.24
"132",2025,"SWH","Swamp",10,-437.7,8.48,-154.3067
"133",2025,"SWH","Swamp",20,-450.88,23.34,-213.77
"134",2025,"SWH","Swamp",25,-35.82,-35.82,-35.82
"135",2025,"SWH","Swamp",30,-0.82,-0.82,-0.82
"136",2025,"SWH","Swamp",35,-398.74,-43.14,-220.94
"137",2025,"SWH","Transition-Hummock",10,-176.7,7.84,-68.3267
"138",2025,"SWH","Transition-Hummock",20,-229.76,-78.24,-154
"139",2025,"SWH","Transition-Hummock",25,-47.88,-47.88,-47.88
"140",2025,"SWH","Transition-Hummock",30,-66.52,-66.52,-66.52
"141",2025,"SWH","Transition-Hummock",35,-261,-142.48,-201.74
"142",2025,"SWH","Transition-Hollow",10,-260.3,-139.14,-199.72
"143",2025,"SWH","Transition-Hollow",20,-283.06,-102.18,-192.62
"144",2025,"SWH","Transition-Hollow",35,-302.36,-139.96,-221.16
"145",2025,"SWH","Wetland",10,-115.26,-13.22,-66.2533
"146",2025,"SWH","Wetland",20,-98.84,-59.24,-79.04
"147",2025,"SWH","Wetland",25,-19.86,-19.86,-19.86
"148",2025,"SWH","Wetland",30,-32.88,-32.88,-32.88
"149",2025,"SWH","Wetland",35,-143.04,-81.36,-112.2
"150",2025,"GCW","Upland",10,-78.88,252.42,99.0133
