"","Site","Zone_1","min_mV","max_mV","mean_mV"
"1","SWH","Upland",-109.8,673.3833,340.281
"2","SWH","Swamp",-248.88,292.8,94.4988
"3","SWH","Transition-Hummock",-142.96,471.4,134.7579
"4","SWH","Transition-Hollow",-106.24,161.96,17.6191
"5","SWH","Wetland",-151.02,188.78,108.1364
"6","GCW","Upland",121,691.1333,541.562
"7","GCW","Transition",-107.7167,536.95,172.7612
"8","GCW","Wetland",-163.58,165.18,-43.8218
"9","MSM","Upland",5,593.8667,366.384
"10","MSM","Transition",-257.24,409.72,121.7259
"11","MSM","Wetland",-203.6167,229.56,-20.3476
"12","GWI","Upland",-141.38,667.2167,470.5128
"13","GWI","Transition",-252.86,435.7667,161.7616
"14","GWI","Wetland",-104.82,489.58,176.4567
