"","Site","Zone_1","Depth","min_mV","max_mV","mean_mV"
"1","SWH","Upland",10,-301.08,396.7333,208.0049
"2","SWH","Upland",20,-311.8,437.2667,157.9058
"3","SWH","Upland",35,-310.16,471.3833,48.9324
"4","SWH","Swamp",10,-437.7,90.8,-84.8393
"5","SWH","Swamp",20,-450.88,23.34,-119.1309
"6","SWH","Swamp",35,-398.74,-0.82,-118.5333
"7","SWH","Transition-Hummock",10,-226.66,269.4,30.3577
"8","SWH","Transition-Hummock",20,-344.96,64.3,-69.1812
"9","SWH","Transition-Hummock",35,-330.98,-66.52,-162.9027
"10","SWH","Transition-Hollow",10,-260.3,-40.04,-170.0707
"11","SWH","Transition-Hollow",20,-299.18,-80.7,-186.1447
"12","SWH","Transition-Hollow",35,-308.24,-139.96,-196.9273
"13","SWH","Wetland",10,-353.02,-13.22,-96.994
"14","SWH","Wetland",20,-248.7,-19.86,-87.576
"15","SWH","Wetland",35,-289.74,-32.88,-97.0209
"16","GCW","Upland",10,-78.88,387.3333,296.6716
"17","GCW","Upland",20,-48.3,461.35,355.872
"18","GCW","Upland",35,-81,489.1333,403.5358
"19","GCW","Transition",10,-219.2833,334.95,29.5615
"20","GCW","Transition",20,-244.02,293.04,-26.1847
"21","GCW","Transition",35,-309.7167,150.42,-91.0933
"22","GCW","Wetland",10,-365.58,-104.2,-224.3292
"23","GCW","Wetland",20,-362.36,-36.82,-248.9347
"24","GCW","Wetland",35,-317.6833,-71.42,-264.2015
"25","MSM","Upland",10,-72.02,319.4667,158.399
"26","MSM","Upland",20,-178.84,381.65,175.2923
"27","MSM","Upland",35,-197,391.8667,160.4115
"28","MSM","Transition",10,-211.4,207.72,-33.0711
"29","MSM","Transition",20,-351.58,43,-99.8681
"30","MSM","Transition",35,-459.24,5.7167,-107.8831
"31","MSM","Wetland",10,-296.4833,27.56,-200.8507
"32","MSM","Wetland",20,-405.6167,-60.62,-233.0888
"33","MSM","Wetland",35,-281.1667,-76.84,-233.1031
"34","GWI","Upland",10,-218.92,385.52,269.5689
"35","GWI","Upland",20,-334.08,403.9,266.2585
"36","GWI","Upland",35,-343.38,465.2167,269.7109
"37","GWI","Transition",10,-449.12,233.7667,-5.1817
"38","GWI","Transition",20,-454.86,164.1667,-47.7874
"39","GWI","Transition",35,-420.22,24.78,-67.7461
"40","GWI","Wetland",10,-304.84,287.58,7.6176
"41","GWI","Wetland",20,-306.82,282.78,-30.8828
"42","GWI","Wetland",35,-264,162.68,-53.3645
