"","Analysis_No","Site","Zone","Replicate","Depth","Sample_ID","SO4_ppm","Cl_ppm","SO4_mM","Cl_mM","salinity"
"1","COMPASS","20220502","MSM","SipA","10cm","COMPASS_20220502_MSM_SipA_10cm",924.7531,5530.7409,28.84445102932,156.015258110014,9.9940748063
"2","COMPASS","20220502","MSM","SipA","20cm","COMPASS_20220502_MSM_SipA_20cm",686.1893,5431.4492,21.4032844666251,153.214363892807,9.8146547044
"3","COMPASS","20220502","MSM","SipA","45cm","COMPASS_20220502_MSM_SipA_45cm",399.7609,6610.5489,12.4691484716157,186.475286318759,11.9452878623
"4","COMPASS","20220502","MSM","SipB","10cm","COMPASS_20220502_MSM_SipB_10cm",747.5236,5169.8182,23.3163942607611,145.83408180536,9.3418874874
"5","COMPASS","20220502","MSM","SipB","20cm","COMPASS_20220502_MSM_SipB_20cm",706.2678,5130.6569,22.0295633187773,144.729390691114,9.2711230183
"6","COMPASS","20220502","MSM","SipC","10cm","COMPASS_20220502_MSM_SipC_10cm",869.9081,5414.163,27.1337523393637,152.726741889986,9.783418541
"7","COMPASS","20220502","MSM","SipC","20cm","COMPASS_20220502_MSM_SipC_20cm",707.5838,5871.7714,22.0706113537118,165.635300423131,10.6103169198
"8","COMPASS","20220505","GWI","SipA","10cm","COMPASS_20220505_GWI_SipA_10cm",1122.2131,8620.2723,35.0035277604492,243.167060648801,15.5768580461
"9","COMPASS","20220505","GWI","SipA","20cm","COMPASS_20220505_GWI_SipA_20cm",1068.0465,8895.0238,33.3139893948846,250.917455571227,16.0733340066
"10","COMPASS","20220505","GWI","SipB","10cm","COMPASS_20220505_GWI_SipB_10cm",853.2639,6491.3243,26.6145945102932,183.112110014104,11.7298490101
"11","COMPASS","20220505","GWI","SipC","10cm","COMPASS_20220505_GWI_SipC_10cm",939.1756,7313.1045,29.2943106674984,206.293497884344,13.2148058315
