"","Analysis_No","Date","Site","Zone","Replicate","Depth","Tree","Sample_ID","SO4_ppm","Cl_ppm","SO4_mM","Cl_mM","salinity"
"1","1","GCrew","202208","UP","LysA","20cm","1","1_GCrew_202208_UP_LysA_20cm",2.4251,10.7228,0.0756425452276981,0.302476727785614,0.0194020996
"2","10","GCrew","202208","TR","LysB","20cm","10","10_GCrew_202208_TR_LysB_20cm",1.9019,6.6606,0.0593231441048035,0.187887165021157,0.0120617042
"3","11","GCrew","202208","TR","LysB","45cm","11","11_GCrew_202208_TR_LysB_45cm",2.7212,3.1153,0.0848783530879601,0.0878787023977433,0.0056553471
"4","12","GCrew","202208","TR","LysC","10cm","12","12_GCrew_202208_TR_LysC_10cm",5.3369,27.0484,0.166466001247661,0.763001410437235,0.0489024588
"5","13","GCrew","202208","TR","LysC","20cm","13","13_GCrew_202208_TR_LysC_20cm",2.5114,35.9906,0.0783343730505303,1.01524964739069,0.0650610142
"6","14","GCrew","202208","TR","LysC","45cm","14","14_GCrew_202208_TR_LysC_45cm",20.8843,4.861,0.651412975670618,0.137122708039492,0.008809827
"7","15","GCrew","202208","WC","SipA","10cm","15","15_GCrew_202208_WC_SipA_10cm",710.1337,5209.6065,22.1501466001248,146.956459802539,9.4137849455
"8","16","GCrew","202208","WC","SipA","20cm","16","16_GCrew_202208_WC_SipA_20cm",553.5093,4928.4763,17.264794135995,139.026129760226,8.9057826741
"9","17","GCrew","202208","WC","SipA","45cm","17","17_GCrew_202208_WC_SipA_45cm",118.7673,4916.3779,3.70453212726138,138.684849083216,8.8839208653
"10","18","GCrew","202208","WC","SipB","10cm","18","18_GCrew_202208_WC_SipB_10cm",708.2103,4182.2435,22.0901528384279,117.975839210155,7.5573400045
"11","19","GCrew","202208","WC","SipB","20cm","19","19_GCrew_202208_WC_SipB_20cm",629.882,4134.7125,19.646974422957,116.635049365303,7.4714514875
"12","2","GCrew","202208","UP","LysB","10cm","2","2_GCrew_202208_UP_LysB_10cm",2.1244,2.74,0.0662632563942608,0.0772919605077574,0.00497718
"13","20","GCrew","202208","WC","SipB","45cm","20","20_GCrew_202208_WC_SipB_45cm",412.4507,4032.578,12.8649625701809,113.753963328632,7.286894446
"14","21","GCrew","202208","WC","SipC","10cm","21","21_GCrew_202208_WC_SipC_10cm",658.8369,3826.1704,20.550121646912,107.93146403385,6.9139159128
"15","22","GCrew","202208","WC","SipC","20cm","22","22_GCrew_202208_WC_SipC_20cm",651.7556,4745.6648,20.329245165315,133.869246826516,8.5754422936
"16","23","GCrew","202208","WC","SipC","45cm","23","23_GCrew_202208_WC_SipC_45cm",312.5123,3818.39,9.74773237679351,107.711988716502,6.89985673
"17","24","GCrew","202208","WC","LysA","10cm","24","24_GCrew_202208_WC_LysA_10cm",726.8367,4848.3842,22.6711384903306,136.766832157969,8.7610562494
"18","25","GCrew","202208","WC","LysA","20cm","25","25_GCrew_202208_WC_LysA_20cm",521.7319,8833.1347,16.2736088583905,249.171641748942,15.9615004029
"19","26","GCrew","202208","WC","LysA","45cm","26","26_GCrew_202208_WC_LysA_45cm",25.4716,4759.3224,0.794497816593886,134.254510578279,8.6001215768
"20","27","GCrew","202208","SW","A","27","GCrew","27_GCrew_202208_SW_A",676.2962,5025.4214,21.0947036805989,141.760829337094,9.0809624698
"21","28","GCrew","202208","SW","B","28","GCrew","28_GCrew_202208_SW_B",706.1613,5249.1061,22.0262414223331,148.07069393512,9.4851607227
"22","29","GCrew","202208","SW","C","29","GCrew","29_GCrew_202208_SW_C",649.4723,4840.8344,20.258025577043,136.553861777151,8.7474137608
"23","3","GCrew","202208","UP","LysB","20cm","3","3_GCrew_202208_UP_LysB_20cm",2.8035,1.5278,0.0874454148471616,0.0430973201692525,0.0027867346
"24","30","GWI","202208","UP","LysA","10cm","30","30_GWI_202208_UP_LysA_10cm",486.9415,3506.9076,15.1884435433562,98.925461212976,6.3370080332
"25","31","GWI","202208","UP","LysA","20cm","31","31_GWI_202208_UP_LysA_20cm",536.3795,4064.2796,16.7304897067997,114.648225669958,7.3441792372
"26","32","GWI","202208","UP","LysA","45cm","32","32_GWI_202208_UP_LysA_45cm",1185.7101,9581.8268,36.9840954460387,270.29130606488,17.3143870276
"27","33","GWI","202208","UP","LysB","10cm","33","33_GWI_202208_UP_LysB_10cm",419.6273,3434.7029,13.0888116032439,96.8886572637518,6.2065341403
"28","33","GWI","202208","UP","LysB","10cm","33","33_GWI_202208_UP_LysB_10cm",419.6273,2259.7299,13.0888116032439,63.744143864598,4.0833579293
"29","33","GWI","202208","UP","LysB","10cm","33","33_GWI_202208_UP_LysB_10cm",419.6273,3438.2963,13.0888116032439,96.9900225669958,6.2130274141
"30","33","GWI","202208","UP","LysB","10cm","33","33_GWI_202208_UP_LysB_10cm",419.6273,3434.2094,13.0888116032439,96.874736248237,6.2056423858
"31","33","GWI","202208","UP","LysB","10cm","33","33_GWI_202208_UP_LysB_10cm",281.8372,3434.7029,8.79092950717405,96.8886572637518,6.2065341403
"32","33","GWI","202208","UP","LysB","10cm","33","33_GWI_202208_UP_LysB_10cm",281.8372,2259.7299,8.79092950717405,63.744143864598,4.0833579293
"33","33","GWI","202208","UP","LysB","10cm","33","33_GWI_202208_UP_LysB_10cm",281.8372,3438.2963,8.79092950717405,96.9900225669958,6.2130274141
"34","33","GWI","202208","UP","LysB","10cm","33","33_GWI_202208_UP_LysB_10cm",281.8372,3434.2094,8.79092950717405,96.874736248237,6.2056423858
"35","33","GWI","202208","UP","LysB","10cm","33","33_GWI_202208_UP_LysB_10cm",420.5175,3434.7029,13.1165782907049,96.8886572637518,6.2065341403
"36","33","GWI","202208","UP","LysB","10cm","33","33_GWI_202208_UP_LysB_10cm",420.5175,2259.7299,13.1165782907049,63.744143864598,4.0833579293
"37","33","GWI","202208","UP","LysB","10cm","33","33_GWI_202208_UP_LysB_10cm",420.5175,3438.2963,13.1165782907049,96.9900225669958,6.2130274141
"38","33","GWI","202208","UP","LysB","10cm","33","33_GWI_202208_UP_LysB_10cm",420.5175,3434.2094,13.1165782907049,96.874736248237,6.2056423858
"39","33","GWI","202208","UP","LysB","10cm","33","33_GWI_202208_UP_LysB_10cm",420.0492,3434.7029,13.1019713038054,96.8886572637518,6.2065341403
"40","33","GWI","202208","UP","LysB","10cm","33","33_GWI_202208_UP_LysB_10cm",420.0492,2259.7299,13.1019713038054,63.744143864598,4.0833579293
"41","33","GWI","202208","UP","LysB","10cm","33","33_GWI_202208_UP_LysB_10cm",420.0492,3438.2963,13.1019713038054,96.9900225669958,6.2130274141
"42","33","GWI","202208","UP","LysB","10cm","33","33_GWI_202208_UP_LysB_10cm",420.0492,3434.2094,13.1019713038054,96.874736248237,6.2056423858
"43","34","GWI","202208","UP","LysB","20cm","34","34_GWI_202208_UP_LysB_20cm",421.24,3438.0829,13.1391141609482,96.9840028208745,6.2126418003
"44","35","GWI","202208","UP","LysB","45cm","35","35_GWI_202208_UP_LysB_45cm",545.7102,4284.8729,17.0215283842795,120.870885754584,7.7427913303
"45","36","GWI","202208","UP","LysC","10cm","36","36_GWI_202208_UP_LysC_10cm",618.2517,5109.2591,19.2842077354959,144.12578561354,9.2324571937
"46","37","GWI","202208","UP","LysC","20cm","37","37_GWI_202208_UP_LysC_20cm",535.7515,4748.0596,16.7109014348097,133.93680112835,8.5797696972
"47","38","GWI","202208","TR","LysA","10cm","38","38_GWI_202208_TR_LysA_10cm",778.0269,6604.1369,24.2678384279476,186.294411847673,11.9337013783
"48","39","GWI","202208","TR","LysA","20cm","39","39_GWI_202208_TR_LysA_20cm",533.0071,8009.3099,16.6252994385527,225.932578279267,14.4728489893
"49","4","GCrew","202208","UP","LysB","45cm","4","4_GCrew_202208_UP_LysB_45cm",6.1576,26.9899,0.192064878353088,0.76135119887165,0.0487967493
"50","40","GWI","202208","TR","LysA","45cm","40","40_GWI_202208_TR_LysA_45cm",658.9266,7268.5465,20.552919525889,205.036572637518,13.1342895255
"51","41","GWI","202208","TR","LysB","10cm","41","41_GWI_202208_TR_LysB_10cm",1023.1981,6852.2538,31.9150998128509,193.293478138223,12.3820486166
"52","42","GWI","202208","TR","LysB","20cm","42","42_GWI_202208_TR_LysB_20cm",150.2146,7523.8989,4.68542108546475,212.239743300423,13.5957113123
"53","43","GWI","202208","TR","LysB","45cm","43","43_GWI_202208_TR_LysB_45cm",921.8022,8193.0316,28.7524079850281,231.115136812412,14.8048341012
"54","44","GWI","202208","TR","LysC","10cm","44","44_GWI_202208_TR_LysC_10cm",861.6755,5741.8935,26.8769650655022,161.971607898448,10.3756275545
"55","45","GWI","202208","TR","LysC","20cm","45","45_GWI_202208_TR_LysC_20cm",741.0385,6654.258,23.1141141609482,187.7082651622,12.024270206
"56","46","GWI","202208","TR","LysC","45cm","46","46_GWI_202208_TR_LysC_45cm",1066.1956,7915.2705,33.2562570180911,223.279844851904,14.3029197935
"57","47","GWI","202208","WC","SipA","10cm","47","47_GWI_202208_WC_SipA_10cm",1713.0345,8571.1659,53.4321428571428,241.781830747532,15.4881227813
"58","48","GWI","202208","WC","SipA","20cm","48","48_GWI_202208_WC_SipA_20cm",1370.2667,8826.5345,42.7406955708047,248.985458392102,15.9495738415
"59","49","GWI","202208","WC","SipA","45cm","49","49_GWI_202208_WC_SipA_45cm",2148.3213,11375.3832,67.009398003743,320.88528067701,20.5553434424
"60","5","GCrew","202208","UP","LysC","20cm","5","5_GCrew_202208_UP_LysC_20cm",3.0541,26.3339,0.0952620087336244,0.742846262341326,0.0476113573
"61","50","GWI","202208","WC","SipB","10cm","50","50_GWI_202208_WC_SipB_10cm",1397.058,9892.3338,43.576356830942,279.050318758815,17.8754731766
"62","51","GWI","202208","WC","SipB","20cm","51","51_GWI_202208_WC_SipB_20cm",1821.5671,11525.3524,56.817439176544,325.115723554302,20.8263377868
"63","52","GWI","202208","WC","SipB","45cm","52","52_GWI_202208_WC_SipB_45cm",1382.6705,10189.8429,43.1275888958203,287.442677009873,18.4130721203
"64","53","GWI","202208","WC","SipC","10cm","53","53_GWI_202208_WC_SipC_10cm",2298.1676,10217.167,71.6833312538989,288.213455571227,18.462446769
"65","54","GWI","202208","WC","SipC","20cm","54","54_GWI_202208_WC_SipC_20cm",1750.8574,9031.4554,54.6118964441672,254.766019746121,16.3198659078
"66","55","GWI","202208","WC","SipC","45cm","55","55_GWI_202208_WC_SipC_45cm",98.6823,1028.8181,3.07805053025577,29.0216671368124,1.8591003067
"67","56","GWI","202208","SW","A","56","GWI","56_GWI_202208_SW_A",2659.6013,14576.8593,82.9569962570181,411.194902679831,26.3404107551
"68","57","GWI","202208","SW","B","57","GWI","57_GWI_202208_SW_B",1772.3515,12965.0314,55.2823300062383,365.727260930889,23.4278377398
"69","58","GWI","202208","SW","C","58","GWI","58_GWI_202208_SW_C",1714.6325,12548.6343,53.4819868995633,353.981221438646,22.6754081801
"70","59","GWI","202208","RHZ","TR","SF","1","59_GWI_202208_RHZ_TR_SF_1",680.0869,4753.0864,21.2129413599501,134.078600846262,8.5888531248
"71","6","GCrew","202208","UP","LysC","45cm","6","6_GCrew_202208_UP_LysC_45cm",6.0238,5.314,0.187891453524641,0.149901269393512,0.009628398
"72","60","GWI","202208","RHZ","TR","SF","2","60_GWI_202208_RHZ_TR_SF_2",600.6481,4449.2865,18.7351247660636,125.508787023977,8.0398867055
"73","61","GWI","202208","RHZ","TR","SF","3","61_GWI_202208_RHZ_TR_SF_3",831.1571,5770.8449,25.9250499064254,162.788290550071,10.4279427343
"74","62","GWI","202208","RHZ","TR","SF","4","62_GWI_202208_RHZ_TR_SF_4",836.6127,5301.0474,26.0952183406114,149.53589280677,9.5790186518
"75","63","GWI","202208","RHZ","TR","SF","5","63_GWI_202208_RHZ_TR_SF_5",806.1031,6352.0897,25.1435776668746,179.184476727786,11.4782520879
"76","64","GWI","202208","RHZ","TR","SF","6","64_GWI_202208_RHZ_TR_SF_6",727.6633,5074.5708,22.6969213973799,143.147272214386,9.1697754356
"77","65","GWI","202208","RHZ","TR","SF","7","65_GWI_202208_RHZ_TR_SF_7",831.9884,5961.9625,25.9509794135995,168.179478138223,10.7732922375
"78","66","GWI","202208","RHZ","TR","SF","8","66_GWI_202208_RHZ_TR_SF_8",811.0166,5405.3731,25.296837180287,152.478789844852,9.7675351917
"79","7","GCrew","202208","TR","LysA","10cm","7","7_GCrew_202208_TR_LysA_10cm",6.2806,3.7362,0.195901434809732,0.105393511988716,0.0067773134
"80","8","GCrew","202208","TR","LysA","20cm","8","8_GCrew_202208_TR_LysA_20cm",11.2477,3.7475,0.350832813474735,0.105712270803949,0.0067977325
"81","9","GCrew","202208","TR","LysA","45cm","9","9_GCrew_202208_TR_LysA_45cm",16.6168,2.1285,0.518303181534623,0.0600423131170663,0.0038721995
