"","Analysis_No","Site","Zone","Replicate","Depth","Date","Sample_ID","Cl_Area","SO4_mM","Cl_mM","salinity"
"1","1","MSM","UP","LysA","10cm",202206,"1_MSM_UP_LysA_10cm","23.5520 ",3.93263880224579,44.2503554301834,2.8346219057
"2","10","MSM","TR","LysA","10cm",202206,"10_MSM_TR_LysA_10cm","41.3762 ",10.3374953212726,77.739167842031,4.9798532745
"3","11","MSM","TR","LysB","10cm",202206,"11_MSM_TR_LysB_10cm","45.4502 ",11.4514129756706,85.3934696755994,5.4701736895
"4","12","MSM","TR","LysC","10cm",202206,"12_MSM_TR_LysC_10cm","43.0689 ",9.79987835308796,80.91941325811,5.1835739124
"5","13","MSM","TR","LysA","20cm",202206,"13_MSM_TR_LysA_20cm","42.3007 ",13.08403930131,79.476,5.0911115294
"6","14","MSM","TR","LysB","20cm",202206,"14_MSM_TR_LysB_20cm","44.3281 ",10.8777417342483,83.2852383638928,5.3351242919
"7","15","MSM","TR","LysC","20cm",202206,"15_MSM_TR_LysC_20cm","43.8109 ",9.62530567685589,82.3135768688293,5.2728814541
"8","16","MSM","TR","LysA","45cm",202206,"16_MSM_TR_LysA_45cm","50.5426 ",15.2620711166563,94.9613568406206,6.0830748407
"9","17","MSM","TR","LysB","45cm",202206,"17_MSM_TR_LysB_45cm","56.1692 ",14.4023487211478,105.532679830748,6.7602542345
"10","18","MSM","TR","LysC","45cm",202206,"18_MSM_TR_LysC_45cm","45.4714 ",14.0674048658765,85.4332440056417,5.4727215595
"11","19","MSM","WC","SipA","10cm",202206,"19_MSM_WC_SipA_10cm","98.8423 ",42.0622208359326,371.417026798307,23.7923136152
"12","2","MSM","UP","LysB","10cm",202206,"2_MSM_UP_LysB_10cm","16.0513 ",3.2303711790393,30.1578251057828,1.9318804843
"13","20","MSM","WC","SipB","10cm",202206,"20_MSM_WC_SipB_10cm","104.2732 ",57.9722925764192,391.82458674189,25.0995841512
"14","21","MSM","WC","SipC","10cm",202206,"21_MSM_WC_SipC_10cm","98.0269 ",48.7355396132252,368.35314809591,23.5960472137
"15","22","MSM","WC","SipA","20cm",202206,"22_MSM_WC_SipA_20cm","92.7421 ",40.1674266999376,348.494471086037,22.323937103
"16","23","MSM","WC","SipB","20cm",202206,"23_MSM_WC_SipB_20cm","100.4139 ",55.3150779787898,377.322552891396,24.1706106915
"17","24","MSM","WC","SipC","20cm",202206,"24_MSM_WC_SipC_20cm","87.4088 ",42.4493075483468,328.453622002821,21.0401573863
"18","25","MSM","WC","SipA","45cm",202206,"25_MSM_WC_SipA_45cm","71.8659 ",23.0252401746725,270.048335684062,17.2988227945
"19","27","MSM","WC","SipC","45cm",202206,"27_MSM_WC_SipC_45cm","110.4820 ",14.1492108546475,415.155246826516,26.5941030745
"20","28","GWI","UP","LysA","10cm",202206,"28_GWI_UP_LysA_10cm","37.3402 ",21.9959388646288,140.312282087447,8.9881712128
"21","29","GWI","UP","LysB","10cm",202206,"29_GWI_UP_LysB_10cm","29.3206 ",16.5715096693699,110.177368124118,7.0577843739
"22","3","MSM","UP","LysC","10cm",202206,"3_MSM_UP_LysC_10cm","22.9319 ",4.34217404865876,43.0852806770099,2.7599893724
"23","30","GWI","UP","LysC","10cm",202206,"30_GWI_UP_LysC_10cm","58.3528 ",35.45458827199,219.270722143865,14.0461028097
"24","31","GWI","UP","LysA","20cm",202206,"31_GWI_UP_LysA_20cm","38.0921 ",21.2822239550842,143.137486600846,9.1691485873
"25","32","GWI","UP","LysB","20cm",202206,"32_GWI_UP_LysB_20cm","37.3563 ",20.2854553961323,140.372550070522,8.9920318683
"26","33","GWI","UP","LysC","20cm",202206,"33_GWI_UP_LysC_20cm","45.6103 ",23.4139831565814,171.388386459803,10.9788489681
"27","34","GWI","UP","LysA","45cm",202206,"34_GWI_UP_LysA_45cm","38.7237 ",19.3508203368684,145.510916784203,9.321186134
"28","35","GWI","UP","LysB","45cm",202206,"35_GWI_UP_LysB_45cm","32.7098 ",17.642888334373,122.912629055007,7.8735816289
