"","Analysis_No","Date","Site","Zone","Replicate","Depth","Tree","Sample_ID","SO4_ppm","Cl_ppm","SO4_mM","Cl_mM","salinity"
"1","1","MSM","202208","UP","LysA","20cm","1","1_MSM_202208_UP_LysA_20cm",157.5194,1860.3225,4.91326887086712,52.4773624823695,3.3616287575
"2","10","MSM","202208","TR","LysA","20cm","10","10_MSM_202208_TR_LysA_20cm",406.2132,2697.0533,12.6704054897068,76.0804880112835,4.8736013131
"3","11","MSM","202208","TR","LysA","45cm","11","11_MSM_202208_TR_LysA_45cm",469.2068,3444.0709,14.6352713661884,97.1529167842031,6.2234621163
"4","12","MSM","202208","TR","LysB","10cm","12","12_MSM_202208_TR_LysB_10cm",378.0426,2925.5982,11.7917217716781,82.5274527503526,5.2865819474
"5","13","MSM","202208","TR","LysB","20cm","13","13_MSM_202208_TR_LysB_20cm",169.541,2694.2745,5.28824079850281,76.0021015514809,4.8685800215
"6","14","MSM","202208","TR","LysB","45cm","14","14_MSM_202208_TR_LysB_45cm",285.5842,3085.4377,8.9078041172801,87.0363244005642,5.5754119239
"7","15","MSM","202208","TR","LysC","10cm","15","15_MSM_202208_TR_LysC_10cm",401.9924,3133.7062,12.5387523393637,88.3979181946403,5.6626331034
"8","16","MSM","202208","TR","LysC","20cm","16","16_MSM_202208_TR_LysC_20cm",281.1557,2884.2085,8.76967248908297,81.3599012693935,5.2117907595
"9","17","MSM","202208","TR","LysC","45cm","17","17_MSM_202208_TR_LysC_45cm",500.6626,3680.3177,15.616425452277,103.817142454161,6.6503600839
"10","18","MSM","202208","WC","SipA","10cm","18","18_MSM_202208_WC_SipA_10cm",879.307,7411.5875,27.4269182782283,209.071579689704,13.3927646125
"11","19","MSM","202208","WC","SipA","20cm","19","19_MSM_202208_WC_SipA_20cm",789.0551,6994.7563,24.6118247036806,197.313294781382,12.6395506341
"12","2","MSM","202208","UP","LysA","45cm","2","2_MSM_202208_UP_LysA_45cm",185.4838,2505.1425,5.78552089831566,70.6669252468265,4.5268184975
"13","20","MSM","202208","WC","SipA","45cm","20","20_MSM_202208_WC_SipA_45cm",69.7056,6560.6049,2.1742233312539,185.06642877292,11.8550390543
"14","21","MSM","202208","WC","SipB","10cm","21","21_MSM_202208_WC_SipB_10cm",914.6513,7548.212,28.5293605739239,212.925585331453,13.639645084
"15","22","MSM","202208","WC","SipB","20cm","22","22_MSM_202208_WC_SipB_20cm",821.3436,7253.7586,25.6189519650655,204.619424541608,13.1075677902
"16","23","MSM","202208","WC","SipB","45cm","23","23_MSM_202208_WC_SipB_45cm",189.9997,6761.4243,5.92637866500312,190.731291960508,12.2179197101
"17","24","MSM","202208","WC","SipC","10cm","24","24_MSM_202208_WC_SipC_10cm",697.8872,6554.2609,21.7681597005614,184.887472496474,11.8435754463
"18","25","MSM","202208","WC","SipC","20cm","25","25_MSM_202208_WC_SipC_20cm",508.4243,6165.8604,15.8585246412976,173.931181946403,11.1417357428
"19","26","MSM","202208","WC","SipC","45cm","26","26_MSM_202208_WC_SipC_45cm",52.4325,6240.8845,1.63544915782907,176.047517630465,11.2773042915
