"","Analysis_No","Date","Site","Zone","Replicate","Depth","Tree_ID","Sample_ID","SO4_ppm","Cl_ppm","SO4_mM","Cl_mM","salinity"
"1","1","202207","GCrew","UP","LysB","10cm","1","1_202207_GCrew_UP_LysB_10cm",3.3588,12.7223,0.104766063630692,0.358880112834979,0.0230151961
"2","10","202207","GCrew","TR","LysA","20cm","10","10_202207_GCrew_TR_LysA_20cm",22.5506,4.2462,0.703387398627573,0.119779971791255,0.0076988834
"3","100","202207","MSM","TR","RHZ","Tree","6","100_202207_MSM_TR_RHZ_Tree_6",447.3915,3518.0358,13.9548190892077,99.2393737658674,6.3571166906
"4","101","202207","MSM","TR","RHZ","Tree","7","101_202207_MSM_TR_RHZ_Tree_7",440.3151,3027.336,13.7340954460387,85.3973483779972,5.470422152
"5","102","202207","MSM","TR","RHZ","Tree","8","102_202207_MSM_TR_RHZ_Tree_8",499.3243,3655.9609,15.5746818465377,103.130067700987,6.6063473463
"6","11","202207","GCrew","TR","LysB","20cm","11","11_202207_GCrew_TR_LysB_20cm",4.1594,24.038,0.129737991266376,0.678081805359661,0.043462666
"7","12","202207","GCrew","TR","LysC","20cm","12","12_202207_GCrew_TR_LysC_20cm",19.4722,44.7562,0.607367436057392,1.26251622002821,0.0809004534
"8","13","202207","GCrew","TR","LysA","45","13","13_202207_GCrew_TR_LysA_45",22.5602,2.5252,0.703686837180287,0.0712327221438646,0.0045890364
"9","14","202207","GCrew","TR","LysB","45cm","14","14_202207_GCrew_TR_LysB_45cm",23.8275,29.3885,0.743215845290081,0.82901269393512,0.0531310195
"10","15","202207","GCrew","TR","LysC","45cm","15","15_202207_GCrew_TR_LysC_45cm",26.1724,6.1883,0.816356830941984,0.174564174894217,0.0112082581
"11","16","202207","GCrew","WC","SipA","10cm","16","16_202207_GCrew_WC_SipA_10cm",342.0715,4065.332,10.6697286338116,114.677912552891,7.346080924
"12","17","202207","GCrew","WC","SipB","10cm","17","17_202207_GCrew_WC_SipB_10cm",583.0435,3937.3317,18.1860106051154,111.067184767278,7.1147843819
"13","18","202207","GCrew","WC","SipC","10cm","18","18_202207_GCrew_WC_SipC_10cm",581.2771,3733.0173,18.1309139114161,105.303732016925,6.7455882611
"14","19","202207","GCrew","WC","SipA","20cm","19","19_202207_GCrew_WC_SipA_20cm",381.8156,4296.7416,11.9094073611978,121.205686882934,7.7642380712
"15","2","202207","GCrew","UP","LysC","10cm","2","2_202207_GCrew_UP_LysC_10cm",3.3268,4.8228,0.103767935121647,0.136045133991537,0.0087407996
"16","20","202207","GCrew","WC","SipB","20cm","20","20_202207_GCrew_WC_SipB_20cm",554.4386,4062.0082,17.293780411728,114.584152327221,7.3400748174
"17","21","202207","GCrew","WC","SipC","20cm","21","21_202207_GCrew_WC_SipC_20cm",600.8407,4211.268,18.7411322520274,118.794583921016,7.609787276
"18","22","202207","GCrew","WC","SipA","45cm","22","22_202207_GCrew_WC_SipA_45cm",91.2859,4991.0281,2.84734560199626,140.79063751763,9.0188137767
"19","23","202207","GCrew","WC","SipB","45cm","23","23_202207_GCrew_WC_SipB_45cm",352.5223,3847.1959,10.9957049282595,108.524566995769,6.9519089913
"20","24","202207","GCrew","WC","SipC","45cm","24","24_202207_GCrew_WC_SipC_45cm",972.2943,10246.3301,30.3273331253899,289.036110014104,18.5151444907
"21","25","202207","GCrew","WC","LysA","10cm","25","25_202207_GCrew_WC_LysA_10cm",391.9489,4124.3958,12.225480349345,116.344028208745,7.4528092106
"22","26","202207","GCrew","WC","LysA","20cm","26","26_202207_GCrew_WC_LysA_20cm",277.7426,4099.0346,8.66321272613849,115.628620592384,7.4069815222
"23","27","202207","GCrew","WC","LysA","45cm","27","27_202207_GCrew_WC_LysA_45cm",65.6575,4824.411,2.04795695570805,136.090578279267,8.717736677
"24","28","202207","GWI","UP","LysA","10cm","28","28_202207_GWI_UP_LysA_10cm",342.7449,2303.3105,10.6907330006238,64.9734978843441,4.1621080735
"25","29","202207","GWI","UP","LysB","10cm","29","29_202207_GWI_UP_LysB_10cm",148.7517,1221.3071,4.63979101684342,34.4515401974612,2.2069279297
"26","3","202207","GCrew","UP","LysA","20cm","3","3_202207_GCrew_UP_LysA_20cm",4.5447,1.2245,0.141756082345602,0.0345416078984485,0.0022386715
"27","30","202207","GWI","UP","LysC","10cm","30","30_202207_GWI_UP_LysC_10cm",702.7388,5105.362,21.9194884591391,144.015853314528,9.225415134
"28","31","202207","GWI","UP","LysA","20cm","31","31_202207_GWI_UP_LysA_20cm",519.7981,3932.782,16.2132907049283,110.938843441467,7.106563074
