"","IDs","H2S_mean","H2S_sd","H2S_cv","abs_mean","Conc_mean","QAQC_flag","Dilution","H2S_cv_flag","H2S_flag"
"1","22 Spike",26.2172796156928,0,0,0.337,26.2172796156928,"MC 10 out of range",1,"Within range","Within_Range"
"2","8",2765.15484509926,26.2235793217545,0.948358438885659,0.6115,2765.15484509926,"MC 10 out of range",50,"Within range","Within_Range"
"3","25",1.05195500551263,0.374622561739349,35.6120328128285,0.0995,1.05195500551263,"MC 10 out of range",1,"High CV","Within_Range"
"4","27",2.11154762067811,0.22477353704361,10.6449665090397,0.1095,2.11154762067811,"MC 10 out of range",1,"High CV","Within_Range"
"5","1",0,0,0,0.0753333333333333,-1.50872714780395,"MC 10 out of range",1,"Within range","bdl"
"6","17",0,0,0,0.0696666666666667,-2.10916296306439,"MC 10 out of range",1,"Within range","bdl"
"7","18",0,0,0,0.0656666666666667,-2.53300000913058,"MC 10 out of range",1,"Within range","bdl"
"8","19",0,0,0,0.066,-2.49768025529173,"MC 10 out of range",1,"Within range","bdl"
"9","2",0,0,0,0.0776666666666667,-1.26148887093201,"MC 10 out of range",1,"Within range","bdl"
"10","20",0,0,0,0.07,-2.07384320922554,"MC 10 out of range",1,"Within range","bdl"
"11","21",0,0,0,0.0713333333333333,-1.93256419387014,"MC 10 out of range",1,"Within range","bdl"
"12","21 Dup",0,0,0,0.0706666666666667,-2.00320370154784,"MC 10 out of range",1,"Within range","bdl"
"13","22",0,0,0,0.0693333333333333,-2.14448271690324,"MC 10 out of range",1,"Within range","bdl"
"14","23",0,0,0,0.0683333333333333,-2.25044197841979,"MC 10 out of range",1,"Within range","bdl"
"15","24",0,0,0,0.0766666666666667,-1.36744813244855,"MC 10 out of range",1,"Within range","bdl"
"16","26",0,0,0,0.0706666666666667,-2.00320370154784,"MC 10 out of range",1,"Within range","bdl"
"17","28",0,0,0,0.068,-2.28576173225864,"MC 10 out of range",1,"Within range","bdl"
"18","29",0,0,0,0.0603333333333333,-3.09811607055217,"MC 10 out of range",1,"Within range","bdl"
"19","3",0,0,0,0.0633333333333333,-2.78023828600253,"MC 10 out of range",1,"Within range","bdl"
"20","30",0.524704567814171,0.554556082397427,105.68920425214,0.0936666666666667,0.433859313332763,"MC 10 out of range",1,"High CV","Within_Range"
"21","4",0,0,0,0.072,-1.86192468619244,"MC 10 out of range",1,"Within range","bdl"
"22","5",0,0,0,0.0603333333333333,-3.09811607055217,"MC 10 out of range",1,"Within range","bdl"
"23","6",0,0,0,0.0653333333333333,-2.56831976296943,"MC 10 out of range",1,"Within range","bdl"
"24","7",0,0,0,0.065,-2.60363951680828,"MC 10 out of range",1,"Within range","bdl"
