"","IDs","H2S_mean","H2S_sd","H2S_cv","abs_mean","Conc_mean","QAQC_flag","Dilution","H2S_cv_flag","H2S_flag"
"1","13 Dup",6310.473783838,729.369295276936,11.5580750393885,0.3405,6310.473783838,"Std curve r2 low",250,"High CV","Within_Range"
"2","15",718.47483751075,149.816395786614,20.852003155138,0.243,718.47483751075,"Std curve r2 low",50,"High CV","Within_Range"
"3","35",442.483186195734,51.252977505947,11.5830339106433,0.1935,442.483186195734,"Std curve r2 low",50,"High CV","Within_Range"
"4","38",2329.82003407721,378.483526197761,16.2451829180734,0.532,2329.82003407721,"Std curve r2 low",50,"High CV","Within_Range"
"5","12",3329.70897958211,499.453690578513,14.9999202224933,0.711333333333333,3329.70897958211,"Std curve r2 low",50,"High CV","Within_Range"
"6","16",1575.25700085231,242.030228818751,15.3644915520323,0.396666666666667,1575.25700085231,"Std curve r2 low",50,"High CV","Within_Range"
