"","Plate","IDs","QAQC_flag","H2S_Conc_Final"
"1","Plate1","1","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",0
"2","Plate1","1","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",0
"3","Plate1","1","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",0
"4","Plate1","9","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",10.2132959645182
"5","Plate1","9","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",5.43002660179924
"6","Plate1","9","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",8.77831515570251
"7","Plate1","15","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",3.13405730769414
"8","Plate1","15","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",3.03839192043976
"9","Plate1","15","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",3.22972269494852
"10","Plate1","2","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",0
"11","Plate1","2","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",0
"12","Plate1","2","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",0
"13","Plate1","10","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",27.3374002830521
"14","Plate1","10","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",29.5377041899028
"15","Plate1","10","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",33.7469812290955
"16","Plate1","16","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",56.6110087828921
"17","Plate1","16","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",30.2073619006834
"18","Plate1","16","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",27.815727219324
"19","Plate1","3","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",4.09071118023793
"20","Plate1","3","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",7.53466512139558
"21","Plate1","3","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",4.85603427827297
"22","Plate1","11","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",17.6751961703598
"23","Plate1","11","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",25.5197579252189
"24","Plate1","11","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",32.120669645771
"25","Plate1","17","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",48.766447028033
"26","Plate1","17","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",54.6020356505501
"27","Plate1","17","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",83.4929826013726
"28","Plate1","4","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",0
"29","Plate1","4","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",0
"30","Plate1","4","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",0
"31","Plate1","12","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",5.04736505278172
"32","Plate1","12","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",3.70804963122041
"33","Plate1","12","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",1.5077457243697
"34","Plate1","18","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",49.8187662878312
"35","Plate1","18","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",66.0818821210756
"36","Plate1","18","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",59.9592973367953
"37","Plate1","5","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",0
"38","Plate1","5","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",0
"39","Plate1","5","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",0
"40","Plate1","13","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",10.3089613517726
"41","Plate1","13","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",10.6916229007901
"42","Plate1","13","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",16.9098730723247
"43","Plate1","19","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",0
"44","Plate1","19","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",0.264095690062767
"45","Plate1","19","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",0
"46","Plate1","6","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",8.01299205766748
"47","Plate1","6","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",9.44797286648316
